Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-03-15,21.0,21.2,20.35,20.6,56,75,1,1
2023-03-16,20.8,21.35,20.6,21.0,56,75,1,1
2023-03-17,21.25,21.3,20.6,20.65,56,75,1,1
2023-03-20,20.5,20.8,19.96,20.55,56,75,1,1
2023-03-21,20.5,21.1,20.5,20.65,56,75,1,1
2023-03-22,21.05,21.3,20.9,21.0,56,75,1,1
2023-03-23,21.05,21.3,20.85,21.0,56,75,1,1
2023-03-24,21.1,21.2,20.6,20.75,56,75,1,1
2023-03-27,20.75,21.2,20.75,20.9,56,75,1,1
2023-03-28,21.0,21.0,20.7,20.9,56,75,1,1
2023-03-29,21.0,21.0,20.7,20.85,56,75,1,1
2023-03-30,21.0,21.45,20.8,20.95,56,75,1,1
2023-03-31,21.0,21.2,20.9,20.95,56,75,1,1
2023-04-03,21.0,21.15,20.9,20.9,56,75,1,1
2023-04-04,21.05,21.05,20.85,21.0,56,75,1,1
2023-04-05,21.0,21.55,20.85,21.0,56,75,1,1
2023-04-06,20.9,20.95,19.66,20.3,56,75,1,1
2023-04-11,20.05,21.15,20.05,20.95,56,75,1,1
2023-04-12,21.1,21.7,20.95,21.4,56,75,1,1
2023-04-13,21.65,21.7,21.05,21.2,56,75,1,1
2023-04-14,21.4,21.4,20.75,20.85,56,75,1,1
2023-04-17,20.9,21.15,20.9,21.0,56,75,1,1
2023-04-18,21.3,21.35,21.0,21.2,56,75,1,1
2023-04-19,17.62,18.88,17.5,18.7,56,75,1,1
2023-04-20,18.72,18.84,18.1,18.52,56,75,1,1
2023-04-21,18.5,18.9,18.2,18.86,56,75,1,1
2023-04-24,18.9,18.9,18.24,18.26,56,75,1,1
2023-04-25,18.2,18.48,17.9,18.3,56,75,1,1
2023-04-26,18.16,18.56,17.9,18.42,56,75,1,1
2023-04-27,18.32,18.36,18.1,18.12,56,75,1,1
2023-04-28,18.12,18.2,17.98,18.02,56,75,1,1
2023-05-02,18.0,18.14,17.64,17.64,56,75,1,1
2023-05-04,17.66,17.66,16.7,17.0,56,75,1,1
2023-05-05,16.9,16.98,16.16,16.66,56,75,1,1
2023-05-08,16.7,17.38,16.7,16.78,56,75,1,1
2023-05-09,16.98,17.06,16.46,16.56,56,75,1,1
2023-05-10,16.58,16.78,16.1,16.66,56,75,1,1
2023-05-11,16.64,17.28,16.4,17.24,56,75,1,1
2023-05-12,17.36,17.44,16.9,17.04,56,75,1,1
2023-05-15,17.2,17.28,16.72,16.82,56,75,1,1
2023-05-16,16.9,17.12,16.78,17.02,56,75,1,1
2023-05-17,17.06,17.1,16.84,17.0,56,75,1,1
2023-05-18,17.0,17.22,16.84,16.92,56,75,1,1
2023-05-19,16.96,17.18,16.94,17.06,56,75,1,1
2023-05-22,17.1,17.1,15.72,15.72,56,75,1,1
2023-05-23,15.6,16.0,15.4,15.42,56,75,1,1
2023-05-24,15.22,15.66,15.14,15.44,56,75,1,1
2023-05-25,15.4,15.4,14.66,14.8,56,75,1,1
2023-05-26,14.74,15.34,14.66,15.1,56,75,1,1
2023-05-29,15.34,15.34,15.0,15.06,56,75,1,1
2023-05-30,15.08,15.28,15.0,15.1,56,75,1,1
2023-05-31,15.1,15.18,15.0,15.0,56,75,1,1
2023-06-01,15.0,15.16,15.0,15.0,56,75,1,1
2023-06-02,15.02,15.16,15.0,15.1,56,75,1,1
2023-06-05,15.1,15.34,15.04,15.18,56,75,1,1
2023-06-06,15.08,16.32,15.0,16.1,56,75,1,1
2023-06-07,16.3,16.5,15.88,15.9,56,75,1,1
2023-06-09,16.02,16.2,15.82,15.82,56,75,1,1
2023-06-12,16.0,16.0,15.6,15.84,56,75,1,1
2023-06-13,15.8,15.84,15.4,15.44,56,75,1,1
2023-06-14,15.5,15.76,15.24,15.62,56,75,1,1
2023-06-15,15.5,15.8,15.44,15.5,56,75,1,1
2023-06-16,15.68,16.2,15.6,16.2,56,75,1,1
2023-06-19,16.2,16.86,16.06,16.54,56,75,1,1
2023-06-20,16.5,17.08,16.5,16.7,56,75,1,1
2023-06-21,16.88,17.34,16.76,16.76,56,75,1,1
2023-06-22,16.74,17.08,16.74,16.86,56,75,1,1
2023-06-23,16.98,16.98,16.34,16.68,56,75,1,1
2023-06-26,16.68,17.06,16.56,17.04,56,75,1,1
2023-06-27,17.06,17.3,16.88,17.04,56,75,1,1
2023-06-28,17.2,17.6,17.02,17.46,56,75,1,1
2023-06-29,17.54,17.72,17.42,17.62,56,75,1,1
2023-06-30,17.72,17.72,17.2,17.22,56,75,1,1
2023-07-03,17.2,17.4,17.06,17.22,56,75,1,1
2023-07-04,17.14,17.26,16.82,17.12,56,75,1,1
2023-07-05,17.14,17.2,16.9,17.06,56,75,1,1
2023-07-06,17.16,17.16,16.92,17.04,56,75,1,1
2023-07-07,17.02,17.22,16.96,17.16,56,75,1,1
2023-07-10,17.14,17.48,17.02,17.36,56,75,1,1
2023-07-11,17.4,18.38,17.4,18.3,56,75,1,1
2023-07-12,18.1,18.54,18.1,18.2,56,75,1,1
2023-07-13,18.4,18.4,17.92,17.96,56,75,1,1
2023-07-14,18.02,18.24,17.9,18.04,56,75,1,1
2023-07-17,18.16,18.38,18.0,18.2,56,75,1,1
2023-07-18,18.2,18.3,17.9,18.0,56,75,1,1
2023-07-19,18.1,18.24,17.82,17.9,56,75,1,1
2023-07-20,17.92,18.2,17.82,18.08,56,75,1,1
2023-07-21,17.86,17.98,17.5,17.68,56,75,1,1
2023-07-24,17.7,17.78,17.6,17.74,56,75,1,1
2023-07-25,17.76,18.18,17.7,18.08,56,75,1,1
2023-07-26,18.1,18.18,17.92,18.02,56,75,1,1
2023-07-27,18.0,18.02,17.82,18.0,56,75,1,1
2023-07-28,17.84,18.08,17.76,18.04,56,75,1,1
2023-07-31,18.0,18.08,17.8,17.98,56,75,1,1
2023-08-01,18.0,18.08,17.9,18.0,56,75,1,1
2023-08-02,17.98,17.98,17.6,17.68,56,75,1,1
2023-08-03,17.62,17.68,17.2,17.38,56,75,1,1
2023-08-04,17.38,18.0,17.2,17.5,56,75,1,1
2023-08-07,17.7,17.7,17.2,17.3,56,75,1,1
2023-08-08,17.48,17.48,17.06,17.34,56,75,1,1
2023-08-09,17.36,17.68,17.18,17.38,56,75,1,1
2023-08-10,17.4,17.56,17.28,17.5,56,75,1,1
2023-08-11,17.5,17.6,17.16,17.48,56,75,1,1
2023-08-14,17.46,17.56,17.22,17.4,56,75,1,1
2023-08-16,17.2,17.34,17.12,17.2,56,75,1,1
2023-08-17,17.38,17.38,17.14,17.24,56,75,1,1
2023-08-18,17.24,17.3,17.06,17.18,56,75,1,1
2023-08-21,17.2,17.2,16.92,16.96,56,75,1,1
2023-08-22,16.9,16.9,16.64,16.84,56,75,1,1
2023-08-23,16.84,16.9,16.62,16.66,56,75,1,1
2023-08-24,16.7,16.72,16.0,16.48,56,75,1,1
2023-08-25,16.08,16.72,16.08,16.6,56,75,1,1
2023-08-28,16.6,16.72,16.32,16.5,56,75,1,1
2023-08-29,16.5,16.54,15.86,16.04,56,75,1,1
2023-08-30,16.1,16.2,15.5,15.8,56,75,1,1
2023-08-31,15.9,16.06,15.66,15.84,56,75,1,1
