Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-07-18,50.6,55.0,50.6,54.85,81,109,1,1
2022-07-19,55.5,56.9,53.7,56.4,81,109,1,1
2022-07-20,57.0,58.2,55.1,56.0,81,109,1,1
2022-07-21,56.4,56.75,53.5,55.7,81,109,1,1
2022-07-22,55.4,56.5,54.5,55.5,81,109,1,1
2022-07-25,55.7,55.8,53.65,54.4,81,109,1,1
2022-07-26,54.7,55.8,53.5,54.2,81,109,1,1
2022-07-27,54.2,54.5,52.2,52.9,81,109,1,1
2022-07-28,53.65,55.0,52.65,52.85,81,109,1,1
2022-07-29,53.5,54.7,52.65,54.0,81,109,1,1
2022-08-01,54.2,55.35,53.5,54.5,81,109,1,1
2022-08-02,54.1,54.1,51.6,51.95,81,109,1,1
2022-08-03,52.75,52.75,51.2,52.4,81,109,1,1
2022-08-04,52.0,52.0,50.3,50.8,81,109,1,1
2022-08-05,51.0,51.4,48.1,49.8,81,109,1,1
2022-08-08,50.9,51.4,49.22,50.75,81,109,1,1
2022-08-09,50.8,51.0,49.62,50.2,81,109,1,1
2022-08-10,50.3,52.25,49.76,50.9,81,109,1,1
2022-08-11,51.5,51.85,50.2,50.65,81,109,1,1
2022-08-12,50.95,52.75,50.5,52.0,81,109,1,1
2022-08-16,52.3,53.15,51.55,51.8,81,109,1,1
2022-08-17,52.0,52.15,49.6,51.55,81,109,1,1
2022-08-18,51.2,54.2,50.6,53.7,81,109,1,1
2022-08-19,54.2,55.15,52.6,53.0,81,109,1,1
2022-08-22,53.0,53.85,52.0,53.35,81,109,1,1
2022-08-23,53.7,54.9,53.0,54.4,81,109,1,1
2022-08-24,54.15,54.65,52.65,52.8,81,109,1,1
2022-08-25,53.15,53.75,52.0,52.5,81,109,1,1
2022-08-26,52.5,52.5,50.7,51.2,81,109,1,1
2022-08-29,50.6,52.5,49.4,51.3,81,109,1,1
2022-08-30,51.4,53.1,49.5,49.5,81,109,1,1
2022-08-31,49.7,50.8,49.0,49.42,81,109,1,1
2022-09-01,49.06,49.3,46.46,46.46,81,109,1,1
2022-09-02,47.02,47.5,44.82,45.8,81,109,1,1
2022-09-05,45.7,48.0,45.62,46.98,81,109,1,1
2022-09-06,47.5,48.08,44.4,44.5,81,109,1,1
2022-09-07,44.5,44.96,41.84,42.78,81,109,1,1
2022-09-08,43.12,43.66,40.56,41.78,81,109,1,1
2022-09-09,42.3,43.44,41.4,43.0,81,109,1,1
2022-09-12,43.2,44.1,42.0,43.4,81,109,1,1
2022-09-13,42.8,43.36,41.24,41.3,81,109,1,1
2022-09-14,40.78,42.1,39.5,41.4,81,109,1,1
2022-09-15,40.82,41.5,38.52,38.88,81,109,1,1
2022-09-16,38.1,39.0,37.38,38.88,81,109,1,1
2022-09-19,38.38,38.78,37.16,38.36,81,109,1,1
2022-09-20,38.68,39.48,37.34,37.36,81,109,1,1
2022-09-21,37.0,38.34,35.6,38.0,81,109,1,1
2022-09-22,37.98,40.5,37.4,39.94,81,109,1,1
2022-09-23,39.8,39.8,37.08,37.5,81,109,1,1
2022-09-26,36.0,36.36,33.64,34.56,81,109,1,1
2022-09-27,34.56,35.2,33.4,34.24,81,109,1,1
2022-09-28,33.4,33.96,32.2,32.5,81,109,1,1
2022-09-29,33.0,33.8,31.0,31.04,81,109,1,1
2022-09-30,31.0,32.58,31.0,32.38,81,109,1,1
2022-10-03,32.58,33.68,31.5,33.66,81,109,1,1
2022-10-04,34.6,34.98,32.8,33.98,81,109,1,1
2022-10-05,34.0,34.12,33.2,33.54,81,109,1,1
2022-10-06,33.96,34.24,32.84,33.9,81,109,1,1
2022-10-07,33.08,34.08,33.08,33.8,81,109,1,1
2022-10-10,33.6,33.8,31.52,31.52,81,109,1,1
2022-10-11,31.54,33.52,31.14,33.3,81,109,1,1
2022-10-12,33.2,33.42,32.02,32.86,81,109,1,1
2022-10-13,32.9,33.3,31.62,32.9,81,109,1,1
2022-10-14,33.4,33.88,32.52,32.54,81,109,1,1
2022-10-17,32.6,33.52,32.44,33.0,81,109,1,1
2022-10-18,32.88,32.98,30.1,30.52,81,109,1,1
2022-10-19,30.66,32.08,29.96,31.12,81,109,1,1
2022-10-20,31.34,31.34,30.2,30.86,81,109,1,1
2022-10-21,30.9,31.1,30.08,30.24,81,109,1,1
2022-10-24,30.26,30.88,29.68,29.96,81,109,1,1
2022-10-25,30.5,30.8,29.62,29.76,81,109,1,1
2022-10-26,29.98,31.72,29.88,31.48,81,109,1,1
2022-10-27,31.6,32.82,30.9,32.22,81,109,1,1
2022-10-28,32.34,33.0,31.54,32.7,81,109,1,1
2022-10-31,33.36,34.68,33.0,33.5,81,109,1,1
2022-11-02,33.9,34.72,33.48,33.8,81,109,1,1
2022-11-03,33.48,34.88,33.0,34.8,81,109,1,1
2022-11-04,35.4,37.82,35.4,37.4,81,109,1,1
2022-11-07,37.1,39.96,35.32,35.6,81,109,1,1
2022-11-08,35.98,37.76,35.14,37.28,81,109,1,1
2022-11-09,37.94,37.98,36.64,36.92,81,109,1,1
2022-11-10,36.16,36.7,35.32,36.62,81,109,1,1
2022-11-14,37.0,39.24,36.64,38.5,81,109,1,1
2022-11-15,39.12,39.12,37.62,38.0,81,109,1,1
2022-11-16,37.0,38.36,36.8,37.58,81,109,1,1
2022-11-17,37.8,38.56,37.38,38.38,81,109,1,1
2022-11-18,38.38,40.36,37.14,39.66,81,109,1,1
2022-11-21,39.66,39.96,37.72,37.74,81,109,1,1
2022-11-22,38.0,38.84,37.6,37.74,81,109,1,1
2022-11-23,37.54,38.8,37.54,38.02,81,109,1,1
2022-11-24,37.3,38.7,37.3,38.5,81,109,1,1
2022-11-25,38.6,39.48,38.1,38.44,81,109,1,1
2022-11-28,39.0,40.14,38.4,40.12,81,109,1,1
2022-11-29,40.58,42.5,40.54,42.2,81,109,1,1
2022-11-30,42.5,43.44,41.1,42.48,81,109,1,1
2022-12-01,43.76,43.76,40.82,41.4,81,109,1,1
