Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-08-16,8.77,8.98,8.77,8.94,61,82,1,1
2022-08-17,8.925,8.925,8.6,8.685,61,82,1,1
2022-08-18,8.69,8.74,8.6,8.695,61,82,1,1
2022-08-19,8.65,8.66,8.5,8.5,61,82,1,1
2022-08-22,8.41,8.51,8.08,8.285,61,82,1,1
2022-08-23,8.28,8.385,8.11,8.15,61,82,1,1
2022-08-24,8.11,8.24,7.97,8.07,61,82,1,1
2022-08-25,8.185,8.185,7.95,7.95,61,82,1,1
2022-08-26,7.96,7.995,7.76,7.76,61,82,1,1
2022-08-29,7.76,7.765,7.55,7.625,61,82,1,1
2022-08-30,7.62,7.74,7.535,7.565,61,82,1,1
2022-08-31,7.565,7.745,7.5,7.58,61,82,1,1
2022-09-01,7.52,7.78,7.43,7.54,61,82,1,1
2022-09-02,7.57,7.75,7.49,7.7,61,82,1,1
2022-09-05,7.59,7.64,7.5,7.535,61,82,1,1
2022-09-06,7.54,7.6,7.405,7.46,61,82,1,1
2022-09-07,7.415,7.85,7.35,7.7,61,82,1,1
2022-09-08,7.7,7.76,7.56,7.635,61,82,1,1
2022-09-09,7.675,7.89,7.67,7.82,61,82,1,1
2022-09-12,7.755,7.86,7.68,7.735,61,82,1,1
2022-09-13,7.83,7.83,7.6,7.75,61,82,1,1
2022-09-14,7.69,7.71,7.465,7.5,61,82,1,1
2022-09-15,7.62,8.16,7.35,7.54,61,82,1,1
2022-09-16,7.5,7.815,7.47,7.565,61,82,1,1
2022-09-19,7.58,7.7,7.47,7.6,61,82,1,1
2022-09-20,7.64,7.66,7.43,7.505,61,82,1,1
2022-09-21,7.53,7.53,7.305,7.305,61,82,1,1
2022-09-22,7.39,7.47,7.27,7.42,61,82,1,1
2022-09-23,7.46,7.46,7.12,7.2,61,82,1,1
2022-09-26,7.1,7.18,6.145,6.515,61,82,1,1
2022-09-27,6.57,6.69,6.305,6.435,61,82,1,1
2022-09-28,6.445,6.445,6.125,6.24,61,82,1,1
2022-09-29,6.35,6.35,6.02,6.025,61,82,1,1
2022-09-30,6.01,6.26,6.01,6.175,61,82,1,1
2022-10-03,6.175,6.32,6.0,6.32,61,82,1,1
2022-10-04,6.4,6.49,6.325,6.49,61,82,1,1
2022-10-05,6.515,6.515,6.2,6.2,61,82,1,1
2022-10-06,6.3,6.37,6.16,6.24,61,82,1,1
2022-10-07,6.16,6.195,6.03,6.08,61,82,1,1
2022-10-10,6.08,6.08,5.76,5.76,61,82,1,1
2022-10-11,5.79,5.845,5.595,5.62,61,82,1,1
2022-10-12,5.65,5.65,5.41,5.435,61,82,1,1
2022-10-13,5.48,5.48,5.26,5.3,61,82,1,1
2022-10-14,5.3,5.47,5.155,5.2,61,82,1,1
2022-10-17,5.27,5.465,5.245,5.3,61,82,1,1
2022-10-18,5.4,5.4,4.94,5.0,61,82,1,1
2022-10-19,5.03,5.06,4.84,4.91,61,82,1,1
2022-10-20,4.9,4.93,4.63,4.66,61,82,1,1
2022-10-21,4.73,4.8,4.53,4.57,61,82,1,1
2022-10-24,4.6,4.776,4.506,4.52,61,82,1,1
2022-10-25,4.54,4.884,4.52,4.75,61,82,1,1
2022-10-26,4.79,4.962,4.77,4.806,61,82,1,1
2022-10-27,4.87,4.936,4.722,4.812,61,82,1,1
2022-10-28,4.87,5.16,4.8,5.11,61,82,1,1
2022-10-31,5.11,5.345,5.07,5.215,61,82,1,1
2022-11-02,5.29,5.68,5.29,5.615,61,82,1,1
2022-11-03,5.59,5.72,5.365,5.665,61,82,1,1
2022-11-04,5.7,5.82,5.545,5.74,61,82,1,1
2022-11-07,5.77,5.995,5.145,5.21,61,82,1,1
2022-11-08,5.23,5.32,5.065,5.215,61,82,1,1
2022-11-09,5.255,5.49,5.2,5.245,61,82,1,1
2022-11-10,5.205,5.48,5.145,5.425,61,82,1,1
2022-11-14,5.475,5.525,5.37,5.42,61,82,1,1
2022-11-15,5.45,5.6,5.33,5.505,61,82,1,1
2022-11-16,5.4,5.48,5.355,5.41,61,82,1,1
2022-11-17,5.4,5.6,5.33,5.43,61,82,1,1
2022-11-18,5.49,5.555,5.38,5.5,61,82,1,1
2022-11-21,5.52,5.6,5.435,5.515,61,82,1,1
2022-11-22,5.5,5.79,5.5,5.745,61,82,1,1
2022-11-23,5.75,5.85,5.605,5.61,61,82,1,1
2022-11-24,5.625,5.65,5.41,5.54,61,82,1,1
2022-11-25,5.55,5.685,5.5,5.6,61,82,1,1
2022-11-28,5.615,5.72,5.575,5.64,61,82,1,1
2022-11-29,5.69,5.73,5.51,5.7,61,82,1,1
2022-11-30,5.7,5.815,5.65,5.81,61,82,1,1
2022-12-01,5.85,6.08,5.825,6.02,61,82,1,1
2022-12-02,6.05,6.05,5.915,5.96,61,82,1,1
2022-12-05,5.965,6.075,5.96,5.99,61,82,1,1
2022-12-06,6.045,6.045,5.855,5.86,61,82,1,1
2022-12-07,5.85,6.0,5.765,5.925,61,82,1,1
2022-12-08,5.98,6.07,5.92,6.07,61,82,1,1
2022-12-09,6.07,6.11,5.94,5.96,61,82,1,1
2022-12-12,5.97,6.035,5.855,5.975,61,82,1,1
2022-12-13,6.03,6.03,5.8,5.96,61,82,1,1
2022-12-14,5.98,6.05,5.935,6.0,61,82,1,1
2022-12-15,5.94,5.985,5.665,5.7,61,82,1,1
2022-12-16,5.705,5.795,5.665,5.795,61,82,1,1
2022-12-19,5.725,5.97,5.705,5.82,61,82,1,1
2022-12-20,5.84,5.84,5.705,5.8,61,82,1,1
2022-12-21,5.81,5.91,5.8,5.89,61,82,1,1
2022-12-22,5.88,5.895,5.69,5.695,61,82,1,1
2022-12-23,5.705,5.745,5.6,5.63,61,82,1,1
2022-12-27,5.64,5.68,5.56,5.6,61,82,1,1
2022-12-28,5.58,5.685,5.55,5.59,61,82,1,1
2022-12-29,5.58,5.75,5.58,5.75,61,82,1,1
2022-12-30,5.75,6.095,5.7,6.0,61,82,1,1
2023-01-02,6.08,6.18,5.955,6.13,61,82,1,1
2023-01-03,6.16,6.35,6.13,6.28,61,82,1,1
2023-01-04,6.28,6.31,6.115,6.18,61,82,1,1
2023-01-05,6.19,6.28,6.14,6.21,61,82,1,1
2023-01-09,6.275,6.345,5.945,6.0,61,82,1,1
2023-01-10,6.02,6.02,5.78,5.825,61,82,1,1
2023-01-11,5.85,6.17,5.845,6.0,61,82,1,1
2023-01-12,6.005,6.295,6.005,6.26,61,82,1,1
2023-01-13,6.29,6.33,6.22,6.31,61,82,1,1
2023-01-16,6.32,6.33,6.145,6.2,61,82,1,1
2023-01-17,6.23,6.3,6.18,6.29,61,82,1,1
2023-01-18,6.255,6.475,6.255,6.395,61,82,1,1
2023-01-19,6.37,6.45,6.295,6.43,61,82,1,1
2023-01-20,6.43,6.46,6.365,6.39,61,82,1,1
2023-01-23,6.42,6.595,6.36,6.58,61,82,1,1
2023-01-24,6.6,7.06,6.6,6.73,61,82,1,1
2023-01-25,6.74,6.75,6.6,6.675,61,82,1,1
2023-01-26,6.675,6.755,6.56,6.615,61,82,1,1
2023-01-27,6.67,6.77,6.56,6.56,61,82,1,1
2023-01-30,6.55,6.68,6.5,6.555,61,82,1,1
2023-01-31,6.58,6.785,6.535,6.75,61,82,1,1
2023-02-01,6.79,6.79,6.42,6.42,61,82,1,1
2023-02-02,6.52,6.6,6.45,6.48,61,82,1,1
2023-02-03,6.48,6.52,6.36,6.39,61,82,1,1
2023-02-06,6.39,6.39,6.22,6.25,61,82,1,1
2023-02-07,6.225,6.38,6.2,6.38,61,82,1,1
2023-02-08,6.38,6.425,6.3,6.35,61,82,1,1
2023-02-09,6.35,6.485,6.32,6.46,61,82,1,1
2023-02-10,6.36,6.395,6.23,6.35,61,82,1,1
2023-02-13,6.35,6.41,6.32,6.35,61,82,1,1
2023-02-14,6.38,6.445,6.325,6.415,61,82,1,1
2023-02-15,6.435,6.435,6.29,6.375,61,82,1,1
2023-02-16,6.4,6.545,6.39,6.5,61,82,1,1
2023-02-17,6.45,6.575,6.41,6.575,61,82,1,1
2023-02-20,6.51,6.605,6.485,6.57,61,82,1,1
2023-02-21,6.58,6.58,6.34,6.4,61,82,1,1
2023-02-22,6.39,6.39,6.22,6.335,61,82,1,1
2023-02-23,6.4,6.45,6.35,6.425,61,82,1,1
2023-02-24,6.43,6.45,6.36,6.43,61,82,1,1
2023-02-27,6.44,6.5,6.335,6.48,61,82,1,1
2023-02-28,6.4,6.535,6.33,6.475,61,82,1,1
2023-03-01,6.52,6.57,6.455,6.475,61,82,1,1
2023-03-02,6.525,6.525,6.29,6.3,61,82,1,1
2023-03-03,6.35,6.365,6.19,6.31,61,82,1,1
2023-03-06,6.38,6.48,6.355,6.44,61,82,1,1
2023-03-07,6.47,6.635,6.44,6.54,61,82,1,1
2023-03-08,6.445,6.445,6.22,6.4,61,82,1,1
2023-03-09,6.4,6.75,6.36,6.7,61,82,1,1
2023-03-10,6.625,6.63,6.45,6.63,61,82,1,1
