Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-05-27,225.0,226.5,224.0,225.5,93,124,1,1
2022-05-30,205.0,223.0,203.5,222.0,93,124,1,1
2022-05-31,222.0,222.0,211.0,221.0,93,124,1,1
2022-06-01,218.0,218.5,211.0,214.0,93,124,1,1
2022-06-02,217.0,221.5,216.5,220.0,93,124,1,1
2022-06-03,220.5,224.0,215.0,224.0,93,124,1,1
2022-06-06,225.0,225.0,217.5,217.5,93,124,1,1
2022-06-07,217.5,220.0,214.0,214.5,93,124,1,1
2022-06-08,214.0,216.5,212.5,212.5,93,124,1,1
2022-06-09,212.0,216.5,211.5,216.5,93,124,1,1
2022-06-10,216.5,216.5,211.0,212.0,93,124,1,1
2022-06-13,212.0,212.0,204.0,207.0,93,124,1,1
2022-06-14,209.0,210.0,206.0,210.0,93,124,1,1
2022-06-15,210.0,210.0,206.5,210.0,93,124,1,1
2022-06-17,206.0,212.5,206.0,208.0,93,124,1,1
2022-06-20,208.0,219.5,207.5,219.0,93,124,1,1
2022-06-21,219.0,223.5,216.5,222.0,93,124,1,1
2022-06-22,223.5,232.0,220.0,232.0,93,124,1,1
2022-06-23,232.0,232.5,221.0,221.5,93,124,1,1
2022-06-24,222.0,225.0,216.5,217.0,93,124,1,1
2022-06-27,217.0,228.0,217.0,228.0,93,124,1,1
2022-06-28,229.0,231.0,222.5,230.0,93,124,1,1
2022-06-29,229.0,232.0,226.0,232.0,93,124,1,1
2022-06-30,226.0,230.0,226.0,230.0,93,124,1,1
2022-07-01,230.0,234.0,226.5,233.5,93,124,1,1
2022-07-04,233.5,235.5,230.0,235.5,93,124,1,1
2022-07-05,236.0,239.5,231.0,231.5,93,124,1,1
2022-07-06,233.0,237.0,227.0,229.0,93,124,1,1
2022-07-07,230.0,235.0,230.0,235.0,93,124,1,1
2022-07-08,236.0,236.0,227.0,229.0,93,124,1,1
2022-07-11,230.0,234.0,230.0,234.0,93,124,1,1
2022-07-12,234.0,235.5,226.0,226.0,93,124,1,1
2022-07-13,227.0,231.0,222.0,230.0,93,124,1,1
2022-07-14,231.0,231.5,224.0,230.0,93,124,1,1
2022-07-15,230.0,231.0,226.0,228.0,93,124,1,1
2022-07-18,228.0,233.5,227.0,233.5,93,124,1,1
2022-07-19,234.0,234.0,228.5,229.5,93,124,1,1
2022-07-20,232.0,232.5,230.0,232.0,93,124,1,1
2022-07-21,233.5,235.0,230.0,232.0,93,124,1,1
2022-07-22,233.0,234.5,232.0,232.0,93,124,1,1
2022-07-25,231.0,235.0,230.0,233.0,93,124,1,1
2022-07-26,233.0,235.5,233.0,234.5,93,124,1,1
2022-07-27,236.0,250.5,234.5,247.0,93,124,1,1
2022-07-28,249.0,256.0,247.5,251.0,93,124,1,1
2022-07-29,251.0,253.0,248.5,253.0,93,124,1,1
2022-08-01,251.5,255.5,250.0,254.0,93,124,1,1
2022-08-02,254.0,255.0,250.0,253.5,93,124,1,1
2022-08-03,254.5,274.0,252.5,274.0,93,124,1,1
2022-08-04,274.5,274.5,265.0,266.0,93,124,1,1
2022-08-05,270.0,270.0,265.0,269.0,93,124,1,1
2022-08-08,270.0,270.0,254.0,254.0,93,124,1,1
2022-08-09,255.5,261.0,253.5,254.0,93,124,1,1
2022-08-10,251.5,262.0,249.0,256.0,93,124,1,1
2022-08-11,250.0,260.0,249.0,260.0,93,124,1,1
2022-08-12,253.0,259.0,253.0,258.0,93,124,1,1
2022-08-16,258.0,268.5,256.0,256.0,93,124,1,1
2022-08-17,258.0,265.0,253.0,265.0,93,124,1,1
2022-08-18,264.0,264.5,255.0,257.0,93,124,1,1
2022-08-19,258.0,258.0,245.0,245.0,93,124,1,1
2022-08-22,242.0,258.0,230.0,255.0,93,124,1,1
2022-08-23,255.0,257.5,250.5,250.5,93,124,1,1
2022-08-24,256.5,256.5,241.0,241.0,93,124,1,1
2022-08-25,242.0,251.0,242.0,250.0,93,124,1,1
2022-08-26,251.0,264.0,251.0,264.0,93,124,1,1
