Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-09-05,511,512,501,508.0,21,29,1,1
2022-09-06,510,510,492,498.5,21,29,1,1
2022-09-07,495,509,489,501.0,21,29,1,1
2022-09-08,504,512,500,505.0,21,29,1,1
2022-09-09,505,511,504,510.0,21,29,1,1
2022-09-12,516,521,507,521.0,21,29,1,1
2022-09-13,523,529,514,526.0,21,29,1,1
2022-09-14,505,528,505,528.0,21,29,1,1
2022-09-15,528,539,525,534.0,21,29,1,1
2022-09-16,534,547,507,507.0,21,29,1,1
2022-09-19,512,529,509,529.0,21,29,1,1
2022-09-20,523,532,516,522.0,21,29,1,1
2022-09-21,522,522,512,514.0,21,29,1,1
2022-09-22,517,522,511,520.0,21,29,1,1
2022-09-23,513,524,510,521.0,21,29,1,1
2022-09-26,521,533,521,527.0,21,29,1,1
2022-09-27,523,532,522,524.0,21,29,1,1
2022-09-28,525,525,510,513.0,21,29,1,1
2022-09-29,513,527,511,512.0,21,29,1,1
2022-09-30,506,529,502,529.0,21,29,1,1
2022-10-03,529,533,516,525.0,21,29,1,1
2022-10-04,520,528,520,524.0,21,29,1,1
2022-10-05,521,525,513,513.0,21,29,1,1
2022-10-06,515,522,511,519.0,21,29,1,1
2022-10-07,522,538,515,538.0,21,29,1,1
2022-10-10,535,535,525,530.0,21,29,1,1
2022-10-11,530,534,521,534.0,21,29,1,1
2022-10-12,534,539,530,530.0,21,29,1,1
2022-10-13,532,548,527,538.0,21,29,1,1
2022-10-14,545,545,536,539.0,21,29,1,1
2022-10-17,540,541,532,541.0,21,29,1,1
2022-10-18,547,547,526,526.0,21,29,1,1
2022-10-19,528,528,512,512.0,21,29,1,1
2022-10-20,517,528,514,522.0,21,29,1,1
2022-10-21,524,526,518,526.0,21,29,1,1
2022-10-24,528,530,520,520.0,21,29,1,1
2022-10-25,521,525,520,522.0,21,29,1,1
2022-10-26,522,540,521,539.0,21,29,1,1
2022-10-27,537,537,524,525.0,21,29,1,1
2022-10-28,521,532,521,531.0,21,29,1,1
2022-10-31,531,548,528,539.0,21,29,1,1
2022-11-02,538,540,531,540.0,21,29,1,1
2022-11-03,540,541,531,532.0,21,29,1,1
2022-11-04,531,566,531,550.0,21,29,1,1
2022-11-07,550,559,542,542.0,21,29,1,1
2022-11-08,554,554,546,551.0,21,29,1,1
2022-11-09,555,555,535,535.0,21,29,1,1
2022-11-10,535,540,524,540.0,21,29,1,1
