Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-08-01,15.38,15.4,15.1,15.36,49,66,1,1
2022-08-02,15.36,15.4,14.84,14.94,49,66,1,1
2022-08-03,14.94,15.4,14.9,15.4,49,66,1,1
2022-08-04,15.06,15.4,14.96,15.24,49,66,1,1
2022-08-05,15.28,15.4,15.18,15.4,49,66,1,1
2022-08-08,15.42,15.42,14.6,14.9,49,66,1,1
2022-08-09,15.1,15.1,14.76,14.76,49,66,1,1
2022-08-10,14.96,15.06,14.76,15.06,49,66,1,1
2022-08-11,15.0,15.0,14.72,14.78,49,66,1,1
2022-08-12,14.78,14.88,14.7,14.88,49,66,1,1
2022-08-16,15.0,15.1,14.88,15.04,49,66,1,1
2022-08-17,15.06,15.16,14.6,14.78,49,66,1,1
2022-08-18,14.82,14.84,13.7,14.06,49,66,1,1
2022-08-19,14.04,14.28,14.04,14.28,49,66,1,1
2022-08-22,14.28,14.28,14.0,14.16,49,66,1,1
2022-08-23,14.06,14.18,13.96,14.0,49,66,1,1
2022-08-24,14.0,14.06,13.9,13.98,49,66,1,1
2022-08-25,14.0,14.08,13.84,13.92,49,66,1,1
2022-08-26,13.84,13.98,13.7,13.7,49,66,1,1
2022-08-29,14.0,14.0,13.58,13.88,49,66,1,1
2022-08-30,13.88,14.4,13.8,14.22,49,66,1,1
2022-08-31,14.1,14.1,13.8,13.98,49,66,1,1
2022-09-01,13.98,14.0,13.5,13.96,49,66,1,1
2022-09-02,13.96,13.98,13.8,13.98,49,66,1,1
2022-09-05,13.96,13.96,13.84,13.84,49,66,1,1
2022-09-06,13.84,13.96,13.8,13.8,49,66,1,1
2022-09-07,13.8,13.92,13.7,13.88,49,66,1,1
2022-09-08,13.9,13.9,13.7,13.86,49,66,1,1
2022-09-09,13.86,13.9,13.76,13.9,49,66,1,1
2022-09-12,13.9,14.5,13.9,14.14,49,66,1,1
2022-09-13,14.48,14.48,14.12,14.22,49,66,1,1
2022-09-14,14.22,14.42,13.84,14.36,49,66,1,1
2022-09-15,14.36,14.56,13.8,14.24,49,66,1,1
2022-09-16,14.0,14.0,13.72,14.0,49,66,1,1
2022-09-19,13.9,13.98,13.6,13.78,49,66,1,1
2022-09-20,13.88,13.88,13.56,13.56,49,66,1,1
2022-09-21,13.8,13.8,13.5,13.78,49,66,1,1
2022-09-22,13.72,13.82,13.68,13.68,49,66,1,1
2022-09-23,13.92,13.92,13.64,13.72,49,66,1,1
2022-09-26,13.86,13.86,13.3,13.3,49,66,1,1
2022-09-27,13.34,13.58,13.24,13.3,49,66,1,1
2022-09-28,13.28,13.4,13.24,13.4,49,66,1,1
2022-09-29,13.56,13.6,13.22,13.24,49,66,1,1
2022-09-30,13.24,13.64,13.24,13.6,49,66,1,1
2022-10-03,13.38,13.58,13.22,13.3,49,66,1,1
2022-10-04,13.56,13.58,13.32,13.58,49,66,1,1
2022-10-05,13.6,13.7,13.46,13.62,49,66,1,1
2022-10-06,13.42,13.66,13.32,13.66,49,66,1,1
2022-10-07,13.64,13.78,13.64,13.76,49,66,1,1
2022-10-10,13.76,13.78,13.5,13.68,49,66,1,1
2022-10-11,13.7,13.7,13.36,13.68,49,66,1,1
2022-10-12,13.68,13.78,13.5,13.76,49,66,1,1
2022-10-13,13.56,13.78,13.54,13.62,49,66,1,1
2022-10-14,13.6,13.78,13.6,13.78,49,66,1,1
2022-10-17,13.6,13.76,13.34,13.66,49,66,1,1
2022-10-18,13.56,13.74,13.56,13.6,49,66,1,1
2022-10-19,13.6,13.7,13.42,13.5,49,66,1,1
2022-10-20,13.6,13.6,13.5,13.6,49,66,1,1
2022-10-21,13.6,13.74,13.5,13.66,49,66,1,1
2022-10-24,13.6,13.64,13.34,13.64,49,66,1,1
2022-10-25,13.64,13.64,13.4,13.56,49,66,1,1
2022-10-26,13.54,13.6,13.4,13.48,49,66,1,1
2022-10-27,13.62,13.66,13.56,13.66,49,66,1,1
2022-10-28,13.6,13.78,13.46,13.76,49,66,1,1
2022-10-31,13.76,13.84,13.56,13.82,49,66,1,1
2022-11-02,13.82,14.08,13.82,14.06,49,66,1,1
2022-11-03,14.0,14.0,13.7,13.7,49,66,1,1
2022-11-04,13.9,14.14,13.74,14.1,49,66,1,1
2022-11-07,14.2,14.5,14.1,14.3,49,66,1,1
2022-11-08,14.3,14.46,14.1,14.46,49,66,1,1
2022-11-09,14.44,14.46,14.12,14.4,49,66,1,1
2022-11-10,14.4,14.66,14.2,14.66,49,66,1,1
2022-11-14,14.9,15.0,14.72,14.98,49,66,1,1
2022-11-15,15.0,15.0,14.76,14.88,49,66,1,1
2022-11-16,14.76,15.0,14.6,14.76,49,66,1,1
2022-11-17,14.58,14.58,14.2,14.22,49,66,1,1
2022-11-18,14.28,14.6,14.1,14.58,49,66,1,1
2022-11-21,14.56,14.68,14.46,14.62,49,66,1,1
2022-11-22,15.36,15.36,15.02,15.3,49,66,1,1
2022-11-23,15.3,15.36,15.08,15.2,49,66,1,1
2022-11-24,15.14,15.28,15.08,15.1,49,66,1,1
2022-11-25,15.04,15.04,14.9,15.04,49,66,1,1
2022-11-28,15.0,15.04,14.48,14.8,49,66,1,1
2022-11-29,15.0,15.04,14.66,14.76,49,66,1,1
2022-11-30,14.7,15.04,14.7,15.04,49,66,1,1
2022-12-01,15.04,15.2,14.9,15.18,49,66,1,1
2022-12-02,15.18,15.18,14.96,15.18,49,66,1,1
