Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-07-29,9395,9925,9300,9885,29,39,1,1
2022-08-01,9965,9965,9650,9940,29,39,1,1
2022-08-02,9705,9855,9450,9550,29,39,1,1
2022-08-03,9495,9590,9205,9280,29,39,1,1
2022-08-04,9320,9550,9020,9165,29,39,1,1
2022-08-05,9175,9320,8910,8910,29,39,1,1
2022-08-08,9010,9405,9010,9330,29,39,1,1
2022-08-09,9375,9405,9025,9105,29,39,1,1
2022-08-10,9110,9425,8950,9340,29,39,1,1
2022-08-11,9345,9430,9275,9380,29,39,1,1
2022-08-12,9400,9550,9360,9530,29,39,1,1
2022-08-16,9530,9850,9485,9735,29,39,1,1
2022-08-17,9795,9795,9310,9320,29,39,1,1
2022-08-18,9320,9630,9320,9605,29,39,1,1
2022-08-19,9440,9890,9415,9680,29,39,1,1
2022-08-22,9440,9720,9425,9525,29,39,1,1
2022-08-23,9525,9740,9470,9615,29,39,1,1
2022-08-24,9515,9785,9480,9500,29,39,1,1
2022-08-25,9650,9820,9565,9600,29,39,1,1
2022-08-26,9670,9740,9515,9595,29,39,1,1
2022-08-29,9600,9600,9060,9095,29,39,1,1
2022-08-30,9220,9265,8400,8500,29,39,1,1
2022-08-31,8595,8705,8105,8490,29,39,1,1
2022-09-01,8505,8615,8215,8215,29,39,1,1
2022-09-02,8435,8575,8210,8380,29,39,1,1
2022-09-05,8320,8580,8300,8330,29,39,1,1
2022-09-06,8495,8500,7820,7860,29,39,1,1
2022-09-07,7750,8500,7700,8500,29,39,1,1
2022-09-08,8595,8670,8330,8505,29,39,1,1
2022-09-09,8510,8680,8400,8675,29,39,1,1
2022-09-12,8705,8740,8305,8545,29,39,1,1
2022-09-13,8640,8645,8200,8210,29,39,1,1
2022-09-14,8225,8400,8070,8355,29,39,1,1
2022-09-15,8355,8505,8285,8440,29,39,1,1
2022-09-16,8350,8510,8200,8225,29,39,1,1
2022-09-19,8225,8550,8225,8530,29,39,1,1
2022-09-20,8530,8530,8300,8325,29,39,1,1
2022-09-21,8305,8540,8265,8470,29,39,1,1
2022-09-22,8345,8890,8325,8800,29,39,1,1
2022-09-23,8805,8805,8300,8300,29,39,1,1
2022-09-26,8250,8485,8115,8235,29,39,1,1
2022-09-27,8240,8695,8180,8610,29,39,1,1
2022-09-28,8410,8550,8180,8180,29,39,1,1
2022-09-29,8200,8260,7805,7805,29,39,1,1
2022-09-30,7995,7995,7695,7795,29,39,1,1
2022-10-03,7990,7990,7565,7735,29,39,1,1
2022-10-04,7915,8200,7755,8180,29,39,1,1
2022-10-05,8200,8260,7915,8030,29,39,1,1
2022-10-06,8200,8830,8120,8275,29,39,1,1
2022-10-07,8195,8520,8165,8250,29,39,1,1
2022-10-10,8085,8375,8025,8155,29,39,1,1
2022-10-11,8115,8440,8025,8040,29,39,1,1
2022-10-12,8125,8190,7825,7825,29,39,1,1
2022-10-13,7825,7845,7300,7360,29,39,1,1
2022-10-14,7500,7850,7195,7850,29,39,1,1
2022-10-17,7850,7945,7555,7875,29,39,1,1
2022-10-18,7925,8040,7800,7900,29,39,1,1
2022-10-19,7900,7970,7655,7780,29,39,1,1
2022-10-20,7685,7905,7685,7770,29,39,1,1
2022-10-21,7770,7795,7605,7680,29,39,1,1
2022-10-24,7770,8050,7670,7930,29,39,1,1
2022-10-25,8020,8115,7875,8110,29,39,1,1
2022-10-26,8100,8420,8040,8420,29,39,1,1
2022-10-27,8470,8470,8205,8460,29,39,1,1
2022-10-28,8460,8460,8215,8250,29,39,1,1
2022-10-31,8300,8325,8120,8290,29,39,1,1
2022-11-02,8370,8370,7950,8175,29,39,1,1
2022-11-03,8095,8100,7930,8100,29,39,1,1
2022-11-04,8105,8380,8050,8175,29,39,1,1
