Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-08-05,39.95,40.3,39.8,40.3,24,33,1,1
2022-08-08,40.35,40.4,39.9,39.95,24,33,1,1
2022-08-09,39.9,40.3,39.85,39.85,24,33,1,1
2022-08-10,40.0,40.0,38.6,39.2,24,33,1,1
2022-08-11,39.35,40.45,39.25,39.7,24,33,1,1
2022-08-12,40.2,40.45,40.0,40.35,24,33,1,1
2022-08-16,40.4,40.4,39.8,40.0,24,33,1,1
2022-08-17,40.35,40.35,39.1,39.7,24,33,1,1
2022-08-18,39.65,40.0,39.2,39.85,24,33,1,1
2022-08-19,39.85,39.85,39.85,39.85,24,33,1,1
2022-08-22,40.0,40.0,38.6,39.0,24,33,1,1
2022-08-23,40.1,40.25,39.2,40.0,24,33,1,1
2022-08-24,40.0,40.0,39.95,39.95,24,33,1,1
2022-08-25,40.0,40.0,39.2,39.6,24,33,1,1
2022-08-26,39.6,39.6,38.6,38.6,24,33,1,1
2022-08-29,38.5,38.5,37.65,37.65,24,33,1,1
2022-08-30,37.65,38.5,37.0,37.6,24,33,1,1
2022-08-31,36.85,37.2,36.05,36.2,24,33,1,1
2022-09-01,37.0,37.0,36.05,36.7,24,33,1,1
2022-09-02,36.25,36.4,36.0,36.4,24,33,1,1
2022-09-05,36.0,36.2,35.85,36.2,24,33,1,1
2022-09-06,36.0,36.6,35.55,35.55,24,33,1,1
2022-09-07,35.55,35.95,35.45,35.75,24,33,1,1
2022-09-08,36.2,36.4,34.3,34.75,24,33,1,1
2022-09-09,35.0,36.25,34.9,36.25,24,33,1,1
2022-09-12,36.25,37.9,36.2,37.45,24,33,1,1
2022-09-13,37.7,37.8,37.35,37.45,24,33,1,1
2022-09-14,36.8,36.85,36.8,36.8,24,33,1,1
2022-09-15,37.0,37.6,37.0,37.6,24,33,1,1
2022-09-16,37.3,37.85,37.05,37.6,24,33,1,1
2022-09-19,37.4,38.55,36.9,38.55,24,33,1,1
2022-09-20,38.55,38.7,38.05,38.7,24,33,1,1
2022-09-21,38.7,40.0,37.8,39.9,24,33,1,1
2022-09-22,39.9,39.9,39.5,39.75,24,33,1,1
2022-09-23,39.75,39.75,38.8,39.05,24,33,1,1
2022-09-26,38.6,38.95,38.0,38.0,24,33,1,1
2022-09-27,38.1,39.15,38.1,38.7,24,33,1,1
2022-09-28,39.0,39.75,37.6,37.6,24,33,1,1
2022-09-29,37.5,37.5,36.0,36.0,24,33,1,1
2022-09-30,36.5,38.45,36.5,38.0,24,33,1,1
2022-10-03,38.8,38.8,37.3,37.55,24,33,1,1
2022-10-04,38.0,38.0,37.6,37.6,24,33,1,1
2022-10-05,37.6,37.8,37.4,37.8,24,33,1,1
2022-10-06,38.2,38.25,37.8,38.25,24,33,1,1
2022-10-07,38.25,38.4,37.7,38.4,24,33,1,1
2022-10-10,38.35,39.3,38.35,39.0,24,33,1,1
2022-10-11,39.0,39.9,38.95,39.9,24,33,1,1
2022-10-12,40.7,40.75,38.75,38.9,24,33,1,1
2022-10-13,38.9,39.3,38.65,39.3,24,33,1,1
2022-10-14,39.5,40.6,39.5,40.6,24,33,1,1
2022-10-17,40.3,40.45,40.3,40.4,24,33,1,1
2022-10-18,40.4,43.0,40.4,43.0,24,33,1,1
2022-10-19,43.65,43.65,41.55,43.0,24,33,1,1
2022-10-20,43.0,43.0,42.35,42.9,24,33,1,1
2022-10-21,43.25,43.25,42.35,42.5,24,33,1,1
2022-10-24,42.5,43.0,41.75,42.35,24,33,1,1
2022-10-25,42.7,42.95,42.35,42.95,24,33,1,1
2022-10-26,43.05,43.05,42.2,42.25,24,33,1,1
2022-10-27,42.4,42.45,41.75,42.0,24,33,1,1
2022-10-28,42.0,42.0,41.15,41.5,24,33,1,1
