Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-05-10,43.0,43.8,42.4,43.7,37,51,1,1
2023-05-11,43.3,44.0,43.2,44.0,37,51,1,1
2023-05-12,43.8,44.0,43.6,44.0,37,51,1,1
2023-05-15,44.0,44.0,41.4,43.1,37,51,1,1
2023-05-16,43.3,43.4,43.1,43.3,37,51,1,1
2023-05-17,43.4,43.7,42.1,43.7,37,51,1,1
2023-05-18,43.7,44.0,43.5,43.5,37,51,1,1
2023-05-19,43.9,44.5,43.9,44.5,37,51,1,1
2023-05-22,44.5,47.0,44.4,46.6,37,51,1,1
2023-05-23,46.9,47.2,46.1,46.9,37,51,1,1
2023-05-24,47.0,47.8,45.5,47.8,37,51,1,1
2023-05-25,42.2,46.4,42.2,45.6,37,51,1,1
2023-05-26,44.8,45.4,43.6,45.4,37,51,1,1
2023-05-29,45.2,45.2,44.0,45.0,37,51,1,1
2023-05-30,43.6,45.1,43.6,45.0,37,51,1,1
2023-05-31,44.8,45.0,44.1,44.8,37,51,1,1
2023-06-01,44.1,44.6,41.5,44.6,37,51,1,1
2023-06-02,44.5,45.2,43.8,45.2,37,51,1,1
2023-06-05,44.1,45.2,44.1,45.0,37,51,1,1
2023-06-06,44.6,45.0,44.2,44.7,37,51,1,1
2023-06-07,44.4,44.9,44.0,44.9,37,51,1,1
2023-06-09,44.7,44.9,44.2,44.9,37,51,1,1
2023-06-12,44.7,44.7,43.5,44.2,37,51,1,1
2023-06-13,44.1,45.4,44.1,45.0,37,51,1,1
2023-06-14,45.0,45.4,44.2,44.2,37,51,1,1
2023-06-15,44.2,44.9,42.0,43.1,37,51,1,1
2023-06-16,43.3,44.0,42.6,43.3,37,51,1,1
2023-06-19,43.5,44.0,42.5,44.0,37,51,1,1
2023-06-20,42.9,44.7,42.0,44.2,37,51,1,1
2023-06-21,44.1,44.2,43.3,44.2,37,51,1,1
2023-06-22,44.0,45.0,43.6,44.5,37,51,1,1
2023-06-23,44.5,45.0,43.9,44.7,37,51,1,1
2023-06-26,44.6,44.9,43.9,44.8,37,51,1,1
2023-06-27,45.0,45.0,43.7,44.5,37,51,1,1
2023-06-28,43.6,44.5,41.4,43.0,37,51,1,1
2023-06-29,41.7,43.6,41.7,43.0,37,51,1,1
2023-06-30,42.5,43.3,42.4,43.3,37,51,1,1
2023-07-03,43.5,44.9,42.9,43.1,37,51,1,1
2023-07-04,43.3,43.9,42.2,43.0,37,51,1,1
2023-07-05,43.5,43.9,42.5,43.0,37,51,1,1
2023-07-06,43.0,45.0,42.7,44.9,37,51,1,1
2023-07-07,44.9,44.9,43.5,44.4,37,51,1,1
2023-07-10,44.7,44.7,43.8,44.0,37,51,1,1
2023-07-11,44.2,44.9,44.2,44.2,37,51,1,1
2023-07-12,44.0,45.3,43.8,45.3,37,51,1,1
2023-07-13,45.3,45.4,44.5,44.5,37,51,1,1
2023-07-14,45.2,45.6,44.0,45.6,37,51,1,1
2023-07-17,45.6,45.6,44.6,45.5,37,51,1,1
2023-07-18,45.0,45.6,45.0,45.6,37,51,1,1
2023-07-19,45.0,45.0,44.7,44.8,37,51,1,1
2023-07-20,44.5,45.5,44.5,45.4,37,51,1,1
2023-07-21,45.4,45.4,44.5,45.2,37,51,1,1
2023-07-24,45.4,45.4,44.8,45.2,37,51,1,1
2023-07-25,45.0,45.0,44.6,45.0,37,51,1,1
2023-07-26,45.0,45.0,44.2,44.2,37,51,1,1
2023-07-27,44.8,44.8,43.4,44.1,37,51,1,1
2023-07-28,44.3,45.0,44.3,45.0,37,51,1,1
2023-07-31,44.9,45.0,44.7,44.7,37,51,1,1
2023-08-01,44.7,45.1,44.7,45.1,37,51,1,1
2023-08-02,45.1,45.1,44.3,44.4,37,51,1,1
2023-08-03,44.4,45.0,44.3,45.0,37,51,1,1
2023-08-04,44.5,45.0,44.4,44.9,37,51,1,1
2023-08-07,45.0,45.0,44.2,44.9,37,51,1,1
2023-08-08,44.8,45.1,44.2,44.3,37,51,1,1
2023-08-09,44.9,44.9,44.1,44.5,37,51,1,1
2023-08-10,44.9,45.0,43.8,45.0,37,51,1,1
2023-08-11,44.9,45.0,43.8,44.0,37,51,1,1
2023-08-14,44.0,44.5,43.8,43.9,37,51,1,1
2023-08-16,43.8,44.2,43.5,43.6,37,51,1,1
2023-08-17,44.0,44.5,43.7,43.7,37,51,1,1
2023-08-18,43.7,44.4,40.0,42.9,37,51,1,1
2023-08-21,42.1,44.4,41.2,42.6,37,51,1,1
2023-08-22,44.4,44.4,43.0,43.0,37,51,1,1
2023-08-23,43.5,45.0,43.5,44.7,37,51,1,1
2023-08-24,44.9,44.9,44.0,44.0,37,51,1,1
2023-08-25,44.7,44.9,44.5,44.5,37,51,1,1
2023-08-28,44.5,45.0,40.8,45.0,37,51,1,1
2023-08-29,45.0,45.0,44.4,44.4,37,51,1,1
2023-08-30,44.8,44.8,43.0,44.7,37,51,1,1
2023-08-31,43.9,44.7,43.9,44.7,37,51,1,1
