Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-03-20,35.8,36.16,35.4,35.8,38,52,1,1
2023-03-21,36.2,36.82,36.2,36.52,38,52,1,1
2023-03-22,36.8,36.8,36.42,36.5,38,52,1,1
2023-03-23,36.8,36.8,36.2,36.4,38,52,1,1
2023-03-24,36.2,36.2,35.62,35.68,38,52,1,1
2023-03-27,36.0,36.12,35.68,35.96,38,52,1,1
2023-03-28,35.8,36.0,35.64,35.7,38,52,1,1
2023-03-29,35.96,35.96,35.7,35.7,38,52,1,1
2023-03-30,35.7,35.98,35.64,35.66,38,52,1,1
2023-03-31,35.7,36.0,35.66,35.94,38,52,1,1
2023-04-03,35.94,36.12,35.32,35.54,38,52,1,1
2023-04-04,35.7,35.8,35.64,35.68,38,52,1,1
2023-04-05,35.86,35.86,35.1,35.34,38,52,1,1
2023-04-06,35.48,35.5,35.06,35.14,38,52,1,1
2023-04-11,35.6,35.98,35.6,35.8,38,52,1,1
2023-04-12,35.8,36.18,35.8,36.04,38,52,1,1
2023-04-13,36.06,36.18,35.9,36.08,38,52,1,1
2023-04-14,36.2,36.26,36.06,36.1,38,52,1,1
2023-04-17,36.2,36.36,36.14,36.18,38,52,1,1
2023-04-18,36.2,36.36,36.16,36.3,38,52,1,1
2023-04-19,36.3,36.44,36.2,36.3,38,52,1,1
2023-04-20,36.2,36.82,36.2,36.3,38,52,1,1
2023-04-21,36.5,36.64,36.48,36.58,38,52,1,1
2023-04-24,36.5,36.6,36.32,36.46,38,52,1,1
2023-04-25,36.58,36.58,36.1,36.1,38,52,1,1
2023-04-26,36.1,36.36,36.0,36.02,38,52,1,1
2023-04-27,36.06,36.54,36.06,36.28,38,52,1,1
2023-04-28,36.28,36.42,36.08,36.16,38,52,1,1
2023-05-02,36.34,36.7,36.22,36.24,38,52,1,1
2023-05-04,36.44,36.6,36.24,36.4,38,52,1,1
2023-05-05,36.4,36.5,36.24,36.34,38,52,1,1
2023-05-08,36.5,36.98,36.36,36.94,38,52,1,1
2023-05-09,36.94,37.48,36.76,36.98,38,52,1,1
2023-05-10,37.0,37.28,36.9,37.24,38,52,1,1
2023-05-11,37.24,37.46,36.84,36.96,38,52,1,1
2023-05-12,36.9,37.1,36.58,36.88,38,52,1,1
2023-05-15,36.6,37.1,36.6,37.04,38,52,1,1
2023-05-16,37.02,37.36,36.72,36.9,38,52,1,1
2023-05-17,37.0,37.14,36.6,36.74,38,52,1,1
2023-05-18,37.0,37.12,36.62,36.72,38,52,1,1
2023-05-19,37.08,37.2,36.9,36.9,38,52,1,1
2023-05-22,37.14,37.46,37.0,37.4,38,52,1,1
2023-05-23,37.46,37.8,37.38,37.78,38,52,1,1
2023-05-24,37.5,37.62,37.04,37.26,38,52,1,1
2023-05-25,37.26,37.42,37.02,37.18,38,52,1,1
2023-05-26,37.2,38.0,37.2,37.9,38,52,1,1
2023-05-29,37.9,38.38,37.9,38.16,38,52,1,1
2023-05-30,38.16,38.18,37.9,38.08,38,52,1,1
2023-05-31,38.0,38.54,37.56,38.1,38,52,1,1
2023-06-01,38.1,38.3,38.02,38.2,38,52,1,1
2023-06-02,38.28,38.46,38.2,38.44,38,52,1,1
2023-06-05,38.3,38.6,38.0,38.08,38,52,1,1
2023-06-06,38.24,38.36,38.08,38.22,38,52,1,1
2023-06-07,38.16,38.34,38.02,38.1,38,52,1,1
2023-06-09,38.42,38.42,38.1,38.4,38,52,1,1
2023-06-12,38.42,38.7,38.2,38.4,38,52,1,1
2023-06-13,38.68,38.68,38.14,38.3,38,52,1,1
2023-06-14,38.12,38.68,38.12,38.68,38,52,1,1
2023-06-15,38.6,38.8,38.24,38.52,38,52,1,1
2023-06-16,38.52,38.68,38.3,38.54,38,52,1,1
2023-06-19,38.58,38.74,38.34,38.34,38,52,1,1
2023-06-20,38.4,38.52,37.94,38.24,38,52,1,1
2023-06-21,38.22,38.3,38.06,38.1,38,52,1,1
2023-06-22,38.12,38.42,38.1,38.3,38,52,1,1
2023-06-23,38.34,38.36,37.86,38.04,38,52,1,1
2023-06-26,37.54,37.94,37.5,37.66,38,52,1,1
2023-06-27,37.66,37.82,37.5,37.5,38,52,1,1
2023-06-28,37.52,37.76,37.52,37.58,38,52,1,1
2023-06-29,37.58,37.9,37.5,37.6,38,52,1,1
2023-06-30,37.78,38.06,37.4,38.06,38,52,1,1
2023-07-03,38.02,38.58,37.7,38.44,38,52,1,1
2023-07-04,38.44,39.06,38.4,39.0,38,52,1,1
2023-07-05,39.0,39.28,38.8,38.8,38,52,1,1
2023-07-06,38.94,39.18,38.62,39.08,38,52,1,1
2023-07-07,39.08,39.38,39.04,39.32,38,52,1,1
2023-07-10,39.34,39.34,38.78,38.78,38,52,1,1
2023-07-11,39.0,39.2,38.86,39.08,38,52,1,1
2023-07-12,39.1,39.4,38.92,39.26,38,52,1,1
2023-07-13,39.4,39.42,39.28,39.42,38,52,1,1
2023-07-14,39.42,39.56,39.26,39.42,38,52,1,1
2023-07-17,39.42,40.36,39.42,40.14,38,52,1,1
2023-07-18,40.28,40.5,39.9,40.14,38,52,1,1
2023-07-19,40.2,40.78,40.2,40.54,38,52,1,1
2023-07-20,40.6,40.74,40.0,40.42,38,52,1,1
2023-07-21,37.86,38.84,37.86,38.2,38,52,1,1
