Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-01-16,5.35,5.37,5.26,5.29,58,74,1,1
2023-01-17,5.29,5.37,5.27,5.32,58,74,1,1
2023-01-18,5.4,5.4,5.3,5.35,58,74,1,1
2023-01-19,5.34,5.34,5.2,5.24,58,74,1,1
2023-01-20,5.24,5.34,5.17,5.33,58,74,1,1
2023-01-23,5.33,5.34,5.25,5.33,58,74,1,1
2023-01-24,5.32,5.33,5.26,5.31,58,74,1,1
2023-01-25,5.28,5.31,5.2,5.31,58,74,1,1
2023-01-26,5.31,5.4,5.2,5.31,58,74,1,1
2023-01-27,5.35,5.62,5.25,5.62,58,74,1,1
2023-01-30,5.62,5.66,5.44,5.45,58,74,1,1
2023-01-31,5.5,5.64,5.41,5.61,58,74,1,1
2023-02-01,5.64,5.7,5.58,5.63,58,74,1,1
2023-02-02,5.6,5.74,5.57,5.67,58,74,1,1
2023-02-03,5.68,5.69,5.54,5.66,58,74,1,1
2023-02-06,5.66,5.68,5.5,5.6,58,74,1,1
2023-02-07,5.6,5.66,5.48,5.55,58,74,1,1
2023-02-08,5.67,5.74,5.56,5.7,58,74,1,1
2023-02-09,5.7,5.77,5.66,5.77,58,74,1,1
2023-02-10,5.7,5.76,5.6,5.72,58,74,1,1
2023-02-13,5.7,5.7,5.41,5.65,58,74,1,1
2023-02-14,5.52,5.64,5.52,5.58,58,74,1,1
2023-02-15,5.58,5.6,5.54,5.58,58,74,1,1
2023-02-16,5.59,5.64,5.54,5.63,58,74,1,1
2023-02-17,5.58,5.6,5.56,5.6,58,74,1,1
2023-02-20,5.6,5.6,5.51,5.52,58,74,1,1
2023-02-21,5.53,5.56,5.48,5.56,58,74,1,1
2023-02-22,5.51,5.56,5.23,5.56,58,74,1,1
2023-02-23,5.57,5.59,5.43,5.57,58,74,1,1
2023-02-24,5.57,5.57,5.5,5.56,58,74,1,1
2023-02-27,5.56,5.96,5.56,5.89,58,74,1,1
2023-02-28,5.9,5.97,5.8,5.8,58,74,1,1
2023-03-01,5.89,5.97,5.82,5.84,58,74,1,1
2023-03-02,5.9,5.91,5.82,5.91,58,74,1,1
2023-03-03,5.96,6.15,5.91,6.1,58,74,1,1
2023-03-06,6.05,6.24,6.05,6.14,58,74,1,1
2023-03-07,6.2,6.38,6.15,6.16,58,74,1,1
2023-03-08,6.13,6.28,6.12,6.2,58,74,1,1
2023-03-09,6.26,6.33,6.16,6.31,58,74,1,1
2023-03-10,6.25,6.27,6.2,6.24,58,74,1,1
2023-03-13,6.22,6.23,5.61,6.05,58,74,1,1
2023-03-14,6.05,6.09,5.94,6.0,58,74,1,1
2023-03-15,5.98,6.03,5.77,5.84,58,74,1,1
2023-03-16,5.79,5.89,5.46,5.82,58,74,1,1
2023-03-17,5.78,5.8,5.56,5.8,58,74,1,1
2023-03-20,5.63,5.67,5.42,5.63,58,74,1,1
2023-03-21,5.66,5.66,5.31,5.31,58,74,1,1
2023-03-22,5.31,5.41,5.08,5.4,58,74,1,1
