Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-06-15,35.17,35.75,34.57,35.67,26,34,1,1
2023-06-16,35.96,36.92,35.88,36.6,26,34,1,1
2023-06-19,36.4,36.81,35.66,35.66,26,34,1,1
2023-06-20,35.55,35.8,34.96,35.05,26,34,1,1
2023-06-21,34.96,35.69,34.82,35.39,26,34,1,1
2023-06-22,35.11,35.71,34.65,35.33,26,34,1,1
2023-06-23,35.14,35.14,33.75,33.95,26,34,1,1
2023-06-26,33.97,35.17,33.55,35.04,26,34,1,1
2023-06-27,35.01,35.25,33.32,33.9,26,34,1,1
2023-06-28,34.57,34.69,33.59,34.16,26,34,1,1
2023-06-29,34.33,34.8,34.33,34.7,26,34,1,1
2023-06-30,34.95,34.95,34.15,34.52,26,34,1,1
2023-07-03,34.65,35.53,34.65,35.5,26,34,1,1
2023-07-04,35.31,35.36,34.65,34.8,26,34,1,1
2023-07-05,34.35,34.39,33.26,33.3,26,34,1,1
2023-07-06,32.7,33.44,32.35,33.04,26,34,1,1
2023-07-07,32.95,34.0,32.95,33.95,26,34,1,1
2023-07-10,33.78,34.2,33.52,34.2,26,34,1,1
2023-07-11,34.61,34.78,34.24,34.61,26,34,1,1
2023-07-12,34.8,36.69,34.75,36.3,26,34,1,1
2023-07-13,36.65,37.21,36.5,36.7,26,34,1,1
2023-07-14,36.68,37.62,36.31,36.99,26,34,1,1
2023-07-17,37.04,37.86,36.95,37.55,26,34,1,1
2023-07-18,37.29,38.4,37.29,38.4,26,34,1,1
2023-07-19,38.6,39.0,38.26,38.65,26,34,1,1
2023-07-20,38.33,38.9,37.8,37.8,26,34,1,1
2023-07-21,37.92,38.17,37.59,37.98,26,34,1,1
2023-07-24,38.39,38.83,38.23,38.37,26,34,1,1
2023-07-25,38.98,39.1,38.48,38.89,26,34,1,1
2023-07-26,39.05,39.05,38.02,38.42,26,34,1,1
2023-07-27,38.55,39.45,38.49,39.45,26,34,1,1
2023-07-28,39.19,39.37,38.62,39.29,26,34,1,1
2023-07-31,39.5,39.56,39.11,39.56,26,34,1,1
2023-08-01,39.61,39.91,38.7,39.04,26,34,1,1
2023-08-02,38.21,38.21,37.57,37.63,26,34,1,1
2023-08-03,37.43,37.54,36.72,37.54,26,34,1,1
2023-08-04,37.9,38.56,37.83,38.54,26,34,1,1
2023-08-07,38.28,38.46,37.6,37.72,26,34,1,1
2023-08-08,37.46,37.46,36.1,36.61,26,34,1,1
2023-08-09,37.22,37.45,36.37,36.7,26,34,1,1
2023-08-10,36.8,38.2,36.8,37.79,26,34,1,1
2023-08-11,37.4,37.4,36.7,37.06,26,34,1,1
2023-08-14,36.49,36.8,36.02,36.35,26,34,1,1
2023-08-16,35.73,35.82,34.48,34.66,26,34,1,1
2023-08-17,34.5,34.94,33.44,33.88,26,34,1,1
2023-08-18,33.5,33.8,33.1,33.8,26,34,1,1
2023-08-21,34.0,34.17,33.38,33.72,26,34,1,1
2023-08-22,34.28,34.31,33.44,33.45,26,34,1,1
2023-08-23,33.81,33.83,32.82,33.73,26,34,1,1
2023-08-24,34.12,34.47,33.42,33.61,26,34,1,1
2023-08-25,32.85,33.64,32.85,33.1,26,34,1,1
2023-08-28,33.55,34.58,33.25,34.49,26,34,1,1
2023-08-29,34.73,34.9,34.21,34.66,26,34,1,1
2023-08-30,34.68,34.98,34.4,34.74,26,34,1,1
2023-08-31,34.88,35.02,34.0,34.17,26,34,1,1
