Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-01-19,73.95,74.05,73.0,73.55,51,66,1,1
2023-01-20,73.4,73.7,71.75,71.75,51,66,1,1
2023-01-23,71.8,74.2,71.8,73.45,51,66,1,1
2023-01-24,74.05,75.15,73.55,73.55,51,66,1,1
2023-01-25,73.9,74.5,73.15,73.4,51,66,1,1
2023-01-26,74.85,75.45,73.2,75.05,51,66,1,1
2023-01-27,75.25,75.6,74.5,74.65,51,66,1,1
2023-01-30,74.05,75.1,74.05,74.05,51,66,1,1
2023-01-31,74.05,77.0,74.0,76.15,51,66,1,1
2023-02-01,77.0,77.0,75.75,75.75,51,66,1,1
2023-02-02,76.9,78.9,76.5,78.15,51,66,1,1
2023-02-03,78.5,79.8,78.15,79.0,51,66,1,1
2023-02-06,79.0,79.0,77.05,77.3,51,66,1,1
2023-02-07,77.85,78.4,77.0,78.2,51,66,1,1
2023-02-08,78.45,78.85,77.85,78.15,51,66,1,1
2023-02-09,78.0,81.65,78.0,81.65,51,66,1,1
2023-02-10,81.65,81.65,78.35,78.7,51,66,1,1
2023-02-13,79.0,79.95,78.55,79.55,51,66,1,1
2023-02-14,80.05,80.5,78.5,79.1,51,66,1,1
2023-02-15,80.05,80.8,79.0,80.5,51,66,1,1
2023-02-16,80.7,80.9,79.45,80.5,51,66,1,1
2023-02-17,80.5,80.5,79.5,79.75,51,66,1,1
2023-02-20,80.0,80.1,78.8,79.25,51,66,1,1
2023-02-21,79.25,79.45,77.65,78.8,51,66,1,1
2023-02-22,79.0,79.0,77.9,78.5,51,66,1,1
2023-02-23,78.65,79.0,77.5,78.45,51,66,1,1
2023-02-24,79.0,79.7,78.45,78.9,51,66,1,1
2023-02-27,78.9,80.6,78.7,80.25,51,66,1,1
2023-02-28,80.0,80.3,78.8,79.85,51,66,1,1
2023-03-01,80.0,80.7,79.75,80.4,51,66,1,1
2023-03-02,80.5,80.55,78.6,78.95,51,66,1,1
2023-03-03,79.4,79.85,78.65,79.6,51,66,1,1
2023-03-06,80.4,80.65,80.0,80.3,51,66,1,1
2023-03-07,80.4,80.7,79.7,80.1,51,66,1,1
2023-03-08,80.0,80.9,79.45,80.05,51,66,1,1
2023-03-09,80.15,80.85,79.55,80.1,51,66,1,1
2023-03-10,78.6,78.9,77.3,77.5,51,66,1,1
2023-03-13,77.6,77.6,75.55,76.75,51,66,1,1
2023-03-14,77.5,77.5,74.55,74.8,51,66,1,1
2023-03-15,75.6,75.9,74.3,75.15,51,66,1,1
2023-03-16,75.45,75.8,74.1,75.45,51,66,1,1
2023-03-17,75.5,76.15,72.3,73.05,51,66,1,1
2023-03-20,73.0,74.0,71.75,73.0,51,66,1,1
2023-03-21,73.0,75.3,73.0,75.0,51,66,1,1
2023-03-22,75.7,75.95,74.8,75.45,51,66,1,1
2023-03-23,75.9,76.0,75.2,75.4,51,66,1,1
2023-03-24,74.75,76.35,74.75,75.05,51,66,1,1
2023-03-27,75.05,75.8,74.9,75.1,51,66,1,1
2023-03-28,75.0,75.65,74.9,75.0,51,66,1,1
2023-03-29,75.7,76.35,74.8,75.0,51,66,1,1
2023-03-30,75.0,75.9,74.8,75.35,51,66,1,1
2023-03-31,76.3,76.65,75.5,76.1,51,66,1,1
2023-04-03,76.6,76.65,75.0,75.0,51,66,1,1
2023-04-04,75.6,75.6,74.75,75.05,51,66,1,1
2023-04-05,75.3,76.45,74.7,76.0,51,66,1,1
2023-04-06,76.25,76.25,75.0,75.1,51,66,1,1
2023-04-11,75.6,76.3,75.05,75.65,51,66,1,1
2023-04-12,76.0,77.75,75.9,77.3,51,66,1,1
2023-04-13,77.9,79.65,76.9,77.95,51,66,1,1
2023-04-14,78.2,79.85,78.1,79.1,51,66,1,1
2023-04-17,79.45,82.3,79.3,81.95,51,66,1,1
2023-04-18,82.0,84.0,80.9,83.45,51,66,1,1
2023-04-19,83.95,84.25,81.8,83.5,51,66,1,1
2023-04-20,84.2,85.3,83.7,84.4,51,66,1,1
2023-04-21,84.05,84.7,82.9,83.05,51,66,1,1
2023-04-24,83.05,83.9,82.25,83.3,51,66,1,1
2023-04-25,83.3,84.05,82.65,82.65,51,66,1,1
2023-04-26,83.6,84.3,82.5,83.35,51,66,1,1
2023-04-27,83.35,85.45,83.3,85.1,51,66,1,1
2023-04-28,85.2,85.95,84.2,84.4,51,66,1,1
2023-05-02,84.35,87.3,84.35,86.35,51,66,1,1
2023-05-04,86.35,88.2,86.0,87.3,51,66,1,1
2023-05-05,87.35,87.4,85.95,85.95,51,66,1,1
2023-05-08,86.0,87.5,85.55,86.8,51,66,1,1
2023-05-09,86.85,88.2,86.65,87.8,51,66,1,1
2023-05-10,88.35,90.45,87.8,89.95,51,66,1,1
2023-05-11,90.35,90.95,88.1,88.15,51,66,1,1
2023-05-12,88.8,89.4,88.15,88.85,51,66,1,1
2023-05-15,88.55,88.8,86.35,87.3,51,66,1,1
2023-05-16,87.95,88.95,87.4,87.75,51,66,1,1
2023-05-17,87.6,89.2,86.9,87.75,51,66,1,1
2023-05-18,89.5,90.95,87.9,87.95,51,66,1,1
2023-05-19,88.05,89.95,87.65,89.35,51,66,1,1
2023-05-22,89.35,91.45,88.95,91.0,51,66,1,1
2023-05-23,90.05,91.85,90.0,91.85,51,66,1,1
2023-05-24,91.5,91.5,89.15,90.05,51,66,1,1
2023-05-25,90.9,90.9,86.55,87.1,51,66,1,1
2023-05-26,86.8,87.15,83.55,84.9,51,66,1,1
2023-05-29,84.9,85.8,83.95,84.15,51,66,1,1
2023-05-30,84.15,84.55,81.7,82.3,51,66,1,1
2023-05-31,82.4,83.65,81.7,82.35,51,66,1,1
2023-06-01,83.05,84.45,82.7,83.6,51,66,1,1
2023-06-02,83.8,84.5,83.1,83.8,51,66,1,1
2023-06-05,84.2,86.15,83.95,85.0,51,66,1,1
2023-06-06,85.5,85.95,83.85,85.45,51,66,1,1
2023-06-07,85.65,85.65,83.75,83.95,51,66,1,1
2023-06-09,85.0,85.0,83.8,84.35,51,66,1,1
2023-06-12,84.5,84.8,83.2,83.2,51,66,1,1
2023-06-13,84.0,84.65,82.7,82.85,51,66,1,1
2023-06-14,83.4,84.6,82.3,83.85,51,66,1,1
2023-06-15,84.1,84.65,83.05,84.0,51,66,1,1
2023-06-16,80.6,84.2,80.6,81.65,51,66,1,1
2023-06-19,81.65,83.75,81.3,81.9,51,66,1,1
2023-06-20,81.55,82.3,81.1,81.1,51,66,1,1
2023-06-21,81.0,83.15,80.9,82.05,51,66,1,1
2023-06-22,82.95,82.95,81.1,81.55,51,66,1,1
2023-06-23,81.2,82.0,80.15,80.15,51,66,1,1
2023-06-26,80.1,80.65,79.3,80.1,51,66,1,1
2023-06-27,80.1,80.75,77.7,78.0,51,66,1,1
2023-06-28,78.5,78.6,77.6,78.4,51,66,1,1
2023-06-29,78.5,79.1,77.9,78.45,51,66,1,1
2023-06-30,79.05,81.1,78.6,80.25,51,66,1,1
2023-07-03,80.0,81.25,79.35,80.95,51,66,1,1
2023-07-04,81.45,81.6,79.35,79.6,51,66,1,1
2023-07-05,79.6,80.35,78.65,78.65,51,66,1,1
2023-07-06,78.35,79.4,78.1,78.5,51,66,1,1
