Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-02-01,3.315,3.37,3.22,3.365,50,64,1,1
2023-02-02,3.365,3.45,3.265,3.34,50,64,1,1
2023-02-03,3.34,3.38,3.28,3.345,50,64,1,1
2023-02-06,3.26,3.355,3.26,3.26,50,64,1,1
2023-02-07,3.225,3.345,3.225,3.345,50,64,1,1
2023-02-08,3.3,3.3,3.22,3.265,50,64,1,1
2023-02-09,3.265,3.335,3.22,3.3,50,64,1,1
2023-02-10,3.315,3.315,3.12,3.245,50,64,1,1
2023-02-13,3.26,3.42,3.17,3.415,50,64,1,1
2023-02-14,3.27,3.3,3.17,3.24,50,64,1,1
2023-02-15,3.19,3.2,3.105,3.115,50,64,1,1
2023-02-16,3.12,3.27,3.12,3.15,50,64,1,1
2023-02-17,3.23,3.23,3.23,3.23,50,64,1,1
2023-02-20,3.265,3.29,3.2,3.275,50,64,1,1
2023-02-21,3.265,3.285,3.13,3.13,50,64,1,1
2023-02-22,3.13,3.24,3.13,3.23,50,64,1,1
2023-02-23,3.23,3.23,3.215,3.215,50,64,1,1
2023-02-24,3.215,3.225,3.15,3.15,50,64,1,1
2023-02-27,3.16,3.335,3.12,3.33,50,64,1,1
2023-02-28,3.33,3.345,3.32,3.32,50,64,1,1
2023-03-01,3.32,3.35,3.155,3.345,50,64,1,1
2023-03-02,3.34,3.34,3.17,3.24,50,64,1,1
2023-03-03,3.23,3.32,3.23,3.25,50,64,1,1
2023-03-06,3.22,3.505,3.22,3.32,50,64,1,1
2023-03-07,3.27,3.29,3.2,3.28,50,64,1,1
2023-03-08,3.275,3.275,3.19,3.265,50,64,1,1
2023-03-09,3.26,3.26,3.21,3.21,50,64,1,1
2023-03-10,3.21,3.295,3.2,3.2,50,64,1,1
2023-03-13,3.2,3.2,3.17,3.2,50,64,1,1
2023-03-14,3.125,3.245,3.125,3.2,50,64,1,1
2023-03-15,3.245,3.28,3.16,3.24,50,64,1,1
2023-03-16,3.19,3.19,3.14,3.165,50,64,1,1
2023-03-17,3.22,3.22,3.17,3.17,50,64,1,1
2023-03-20,3.2,3.29,3.125,3.125,50,64,1,1
2023-03-21,3.125,3.25,3.125,3.25,50,64,1,1
2023-03-22,3.24,3.3,3.21,3.3,50,64,1,1
2023-03-23,3.285,3.285,3.285,3.285,50,64,1,1
2023-03-24,3.295,3.32,3.295,3.31,50,64,1,1
2023-03-27,3.21,3.3,3.21,3.3,50,64,1,1
2023-03-28,3.3,3.38,3.3,3.36,50,64,1,1
2023-03-29,3.205,3.205,2.905,3.15,50,64,1,1
2023-03-30,3.1,3.195,3.1,3.195,50,64,1,1
2023-03-31,3.19,3.3,3.17,3.275,50,64,1,1
2023-04-03,3.22,3.22,3.14,3.14,50,64,1,1
2023-04-04,3.25,3.28,3.18,3.18,50,64,1,1
2023-04-05,3.26,3.28,3.13,3.16,50,64,1,1
2023-04-06,3.27,3.27,3.18,3.18,50,64,1,1
2023-04-11,3.2,3.24,3.115,3.24,50,64,1,1
2023-04-12,3.21,3.275,3.21,3.24,50,64,1,1
2023-04-13,3.21,3.24,3.02,3.19,50,64,1,1
2023-04-14,3.19,3.22,3.1,3.145,50,64,1,1
2023-04-17,3.18,3.215,3.12,3.12,50,64,1,1
2023-04-18,3.195,3.195,3.01,3.165,50,64,1,1
2023-04-19,3.165,3.185,3.015,3.155,50,64,1,1
2023-04-20,3.15,3.17,3.1,3.17,50,64,1,1
2023-04-21,3.09,3.17,3.05,3.17,50,64,1,1
2023-04-24,3.17,3.37,3.12,3.36,50,64,1,1
2023-04-25,3.38,3.38,3.21,3.29,50,64,1,1
2023-04-26,3.3,3.39,3.21,3.29,50,64,1,1
2023-04-27,3.3,3.36,3.3,3.3,50,64,1,1
2023-04-28,3.35,3.35,3.22,3.27,50,64,1,1
2023-05-02,3.3,3.44,3.24,3.3,50,64,1,1
2023-05-04,3.31,3.35,3.25,3.34,50,64,1,1
2023-05-05,3.34,3.44,3.24,3.44,50,64,1,1
2023-05-08,3.46,3.48,3.3,3.45,50,64,1,1
2023-05-09,3.48,3.48,3.32,3.47,50,64,1,1
2023-05-10,3.48,3.48,3.33,3.48,50,64,1,1
2023-05-11,3.45,3.45,3.37,3.37,50,64,1,1
2023-05-12,3.47,3.6,3.38,3.4,50,64,1,1
2023-05-15,3.55,3.55,3.42,3.42,50,64,1,1
2023-05-16,3.56,3.56,3.4,3.5,50,64,1,1
2023-05-17,3.5,3.5,3.4,3.49,50,64,1,1
2023-05-18,3.43,3.5,3.43,3.44,50,64,1,1
2023-05-19,3.44,3.47,3.38,3.46,50,64,1,1
2023-05-22,3.38,3.46,3.3,3.44,50,64,1,1
2023-05-23,3.44,3.53,3.44,3.53,50,64,1,1
2023-05-24,3.53,3.53,3.39,3.39,50,64,1,1
2023-05-25,3.39,3.49,3.32,3.32,50,64,1,1
2023-05-26,3.32,3.46,3.3,3.43,50,64,1,1
2023-05-29,3.43,3.47,3.35,3.45,50,64,1,1
2023-05-30,3.36,3.45,3.36,3.45,50,64,1,1
2023-05-31,3.5,3.5,3.33,3.33,50,64,1,1
2023-06-01,3.45,3.64,3.35,3.47,50,64,1,1
2023-06-02,3.43,3.55,3.3,3.55,50,64,1,1
2023-06-05,3.37,3.54,3.34,3.52,50,64,1,1
2023-06-06,3.5,3.5,3.4,3.4,50,64,1,1
2023-06-07,3.36,3.5,3.35,3.5,50,64,1,1
2023-06-09,3.53,3.54,3.31,3.47,50,64,1,1
2023-06-12,3.47,3.47,3.34,3.46,50,64,1,1
2023-06-13,3.39,3.46,3.39,3.46,50,64,1,1
