Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-04-11,1.05,1.085,1.005,1.015,40,54,1,1
2023-04-12,1.03,1.055,0.974,1.03,40,54,1,1
2023-04-13,1.03,1.125,1.02,1.075,40,54,1,1
2023-04-14,1.09,1.225,1.08,1.17,40,54,1,1
2023-04-17,1.2,1.28,1.16,1.175,40,54,1,1
2023-04-18,1.18,1.21,1.11,1.16,40,54,1,1
2023-04-19,1.16,1.17,1.12,1.13,40,54,1,1
2023-04-20,1.13,1.3,1.11,1.28,40,54,1,1
2023-04-21,1.3,1.3,1.18,1.235,40,54,1,1
2023-04-24,1.23,1.23,1.17,1.195,40,54,1,1
2023-04-25,1.195,1.22,1.16,1.18,40,54,1,1
2023-04-26,1.18,1.29,1.165,1.265,40,54,1,1
2023-04-27,1.29,1.35,1.23,1.31,40,54,1,1
2023-04-28,1.365,1.41,1.24,1.24,40,54,1,1
2023-05-02,1.24,1.3,1.18,1.275,40,54,1,1
2023-05-04,1.25,1.35,1.215,1.31,40,54,1,1
2023-05-05,1.31,1.38,1.28,1.3,40,54,1,1
2023-05-08,1.3,1.34,1.26,1.275,40,54,1,1
2023-05-09,1.29,1.32,1.23,1.235,40,54,1,1
2023-05-10,1.225,1.24,1.16,1.165,40,54,1,1
2023-05-11,1.165,1.22,1.13,1.195,40,54,1,1
2023-05-12,1.2,1.23,1.165,1.165,40,54,1,1
2023-05-15,1.165,1.205,1.16,1.175,40,54,1,1
2023-05-16,1.17,1.185,1.15,1.17,40,54,1,1
2023-05-17,1.15,1.22,1.15,1.195,40,54,1,1
2023-05-18,1.21,1.21,1.09,1.125,40,54,1,1
2023-05-19,1.125,1.15,1.03,1.055,40,54,1,1
2023-05-22,1.05,1.12,1.02,1.115,40,54,1,1
2023-05-23,1.12,1.15,1.09,1.125,40,54,1,1
2023-05-24,1.12,1.12,1.09,1.09,40,54,1,1
2023-05-25,1.1,1.1,1.025,1.085,40,54,1,1
2023-05-26,1.1,1.1,1.06,1.09,40,54,1,1
2023-05-29,1.1,1.11,1.06,1.09,40,54,1,1
2023-05-30,1.1,1.125,1.06,1.12,40,54,1,1
2023-05-31,1.025,1.06,0.966,1.03,40,54,1,1
2023-06-01,1.04,1.045,1.01,1.045,40,54,1,1
2023-06-02,1.05,1.1,1.03,1.075,40,54,1,1
2023-06-05,1.075,1.1,1.075,1.09,40,54,1,1
2023-06-06,1.08,1.09,1.045,1.09,40,54,1,1
2023-06-07,1.085,1.13,1.03,1.035,40,54,1,1
2023-06-09,1.05,1.11,1.04,1.09,40,54,1,1
2023-06-12,1.085,1.09,1.025,1.04,40,54,1,1
2023-06-13,1.035,1.085,0.99,1.04,40,54,1,1
2023-06-14,1.04,1.11,1.015,1.075,40,54,1,1
2023-06-15,1.1,1.105,1.065,1.085,40,54,1,1
2023-06-16,1.1,1.105,1.075,1.1,40,54,1,1
2023-06-19,1.115,1.145,1.085,1.125,40,54,1,1
2023-06-20,1.125,1.125,1.085,1.12,40,54,1,1
2023-06-21,1.095,1.12,1.03,1.09,40,54,1,1
2023-06-22,1.15,1.25,1.105,1.16,40,54,1,1
2023-06-23,1.17,1.185,1.115,1.155,40,54,1,1
2023-06-26,1.155,1.18,1.115,1.15,40,54,1,1
2023-06-27,1.12,1.15,1.11,1.125,40,54,1,1
2023-06-28,1.135,1.135,1.04,1.095,40,54,1,1
2023-06-29,1.09,1.12,1.04,1.095,40,54,1,1
2023-06-30,1.065,1.11,1.06,1.11,40,54,1,1
2023-07-03,1.11,1.11,1.05,1.075,40,54,1,1
2023-07-04,1.06,1.09,1.035,1.065,40,54,1,1
2023-07-05,1.04,1.08,1.02,1.02,40,54,1,1
2023-07-06,1.02,1.04,0.98,1.0,40,54,1,1
2023-07-07,0.994,1.02,0.992,1.0,40,54,1,1
2023-07-10,1.02,1.03,0.98,1.01,40,54,1,1
2023-07-11,1.01,1.09,0.97,1.07,40,54,1,1
2023-07-12,1.07,1.085,1.03,1.045,40,54,1,1
2023-07-13,1.05,1.06,1.02,1.04,40,54,1,1
2023-07-14,1.015,1.045,1.015,1.04,40,54,1,1
2023-07-17,1.005,1.04,1.005,1.01,40,54,1,1
2023-07-18,0.99,1.03,0.99,1.02,40,54,1,1
2023-07-19,1.0,1.03,0.984,1.01,40,54,1,1
2023-07-20,1.025,1.065,0.982,1.02,40,54,1,1
2023-07-21,1.025,1.06,0.99,1.045,40,54,1,1
2023-07-24,1.05,1.05,0.99,1.01,40,54,1,1
2023-07-25,1.01,1.02,0.98,0.98,40,54,1,1
2023-07-26,0.982,1.01,0.976,0.99,40,54,1,1
2023-07-27,0.972,1.005,0.93,1.005,40,54,1,1
2023-07-28,1.0,1.005,0.94,0.97,40,54,1,1
2023-07-31,0.944,0.984,0.93,0.936,40,54,1,1
2023-08-01,0.936,0.968,0.936,0.96,40,54,1,1
2023-08-02,0.96,0.97,0.924,0.924,40,54,1,1
2023-08-03,0.924,0.956,0.87,0.92,40,54,1,1
2023-08-04,0.92,0.92,0.88,0.914,40,54,1,1
2023-08-07,0.89,0.914,0.88,0.906,40,54,1,1
2023-08-08,0.904,0.914,0.878,0.89,40,54,1,1
2023-08-09,0.89,0.89,0.874,0.89,40,54,1,1
2023-08-10,0.88,0.918,0.88,0.9,40,54,1,1
2023-08-11,0.906,0.908,0.88,0.89,40,54,1,1
2023-08-14,0.898,0.906,0.882,0.898,40,54,1,1
2023-08-16,0.898,0.9,0.838,0.872,40,54,1,1
2023-08-17,0.87,0.898,0.85,0.89,40,54,1,1
2023-08-18,0.894,0.894,0.856,0.888,40,54,1,1
2023-08-21,0.896,0.896,0.85,0.862,40,54,1,1
2023-08-22,0.842,0.842,0.814,0.838,40,54,1,1
2023-08-23,0.86,0.86,0.824,0.834,40,54,1,1
2023-08-24,0.83,0.84,0.82,0.82,40,54,1,1
2023-08-25,0.8,0.89,0.8,0.874,40,54,1,1
2023-08-28,0.886,0.886,0.8,0.826,40,54,1,1
