Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-28,43.0,43.0,41.4,42.5,117,157,1,1
2022-11-29,42.5,42.85,40.85,40.9,117,157,1,1
2022-11-30,41.0,42.0,41.0,41.95,117,157,1,1
2022-12-01,42.0,42.95,41.5,41.9,117,157,1,1
2022-12-02,42.3,42.3,39.5,40.5,117,157,1,1
2022-12-05,40.5,44.0,40.5,41.1,117,157,1,1
2022-12-06,41.1,42.35,39.6,41.0,117,157,1,1
2022-12-07,40.95,41.65,39.7,40.0,117,157,1,1
2022-12-08,39.9,41.25,39.9,41.2,117,157,1,1
2022-12-09,41.4,41.95,40.25,41.95,117,157,1,1
2022-12-12,41.5,42.35,40.6,41.6,117,157,1,1
2022-12-13,41.95,43.5,41.95,43.5,117,157,1,1
2022-12-14,43.9,45.0,43.1,44.5,117,157,1,1
2022-12-15,45.3,45.5,44.0,44.5,117,157,1,1
2022-12-16,44.5,45.0,44.05,45.0,117,157,1,1
2022-12-19,45.95,47.0,45.0,45.8,117,157,1,1
2022-12-20,45.8,47.3,45.2,47.3,117,157,1,1
2022-12-21,48.0,48.0,45.0,47.6,117,157,1,1
2022-12-22,47.6,47.8,46.0,47.8,117,157,1,1
2022-12-23,47.9,47.9,46.5,47.0,117,157,1,1
2022-12-27,46.5,46.5,45.9,46.0,117,157,1,1
2022-12-28,46.0,46.2,45.95,46.0,117,157,1,1
2022-12-29,46.0,47.85,46.0,47.0,117,157,1,1
2022-12-30,46.0,46.95,46.0,46.95,117,157,1,1
2023-01-02,47.9,48.9,46.05,47.0,117,157,1,1
2023-01-03,47.0,47.7,46.05,46.75,117,157,1,1
2023-01-04,47.0,47.0,46.0,46.65,117,157,1,1
2023-01-05,46.65,47.15,46.0,46.8,117,157,1,1
2023-01-09,46.8,46.8,46.0,46.6,117,157,1,1
2023-01-10,46.7,46.85,45.5,46.7,117,157,1,1
2023-01-11,46.7,46.7,46.05,46.5,117,157,1,1
2023-01-12,46.6,46.75,46.3,46.75,117,157,1,1
2023-01-13,46.3,46.75,46.3,46.5,117,157,1,1
2023-01-16,46.5,47.2,46.5,47.2,117,157,1,1
2023-01-17,47.5,47.9,47.3,47.9,117,157,1,1
2023-01-18,47.1,48.95,46.7,47.9,117,157,1,1
2023-01-19,47.9,47.9,46.7,47.0,117,157,1,1
2023-01-20,47.0,47.25,47.0,47.0,117,157,1,1
2023-01-23,47.0,47.0,46.5,47.0,117,157,1,1
2023-01-24,47.0,47.4,46.6,46.6,117,157,1,1
2023-01-25,46.6,47.3,46.6,47.3,117,157,1,1
2023-01-26,47.3,48.0,46.5,48.0,117,157,1,1
2023-01-27,48.0,49.5,47.95,49.2,117,157,1,1
2023-01-30,49.0,49.0,47.5,48.9,117,157,1,1
2023-01-31,49.0,50.1,48.05,50.1,117,157,1,1
2023-02-01,50.0,50.8,48.1,49.35,117,157,1,1
2023-02-02,48.5,49.75,48.0,48.0,117,157,1,1
2023-02-03,48.7,48.7,47.5,48.4,117,157,1,1
2023-02-06,48.0,48.05,47.1,47.1,117,157,1,1
2023-02-07,47.95,48.0,45.95,47.95,117,157,1,1
2023-02-08,46.2,48.8,46.2,46.8,117,157,1,1
2023-02-09,49.85,49.85,48.0,48.5,117,157,1,1
2023-02-10,48.9,49.7,46.4,48.0,117,157,1,1
2023-02-13,49.85,49.85,46.7,46.7,117,157,1,1
2023-02-14,47.0,47.95,44.6,45.25,117,157,1,1
2023-02-15,45.0,47.0,44.9,47.0,117,157,1,1
2023-02-16,47.4,48.8,47.4,48.25,117,157,1,1
2023-02-17,47.6,47.6,44.75,47.0,117,157,1,1
2023-02-20,47.0,47.0,45.8,47.0,117,157,1,1
2023-02-21,47.0,47.3,45.5,46.4,117,157,1,1
2023-02-22,45.5,46.0,45.5,46.0,117,157,1,1
2023-02-23,47.0,48.0,46.6,46.65,117,157,1,1
2023-02-24,47.75,49.0,47.75,48.7,117,157,1,1
2023-02-27,48.6,48.6,46.65,48.1,117,157,1,1
2023-02-28,48.1,48.85,47.5,48.8,117,157,1,1
2023-03-01,47.2,48.15,47.2,48.0,117,157,1,1
2023-03-02,48.8,48.8,47.55,48.05,117,157,1,1
2023-03-03,48.6,48.6,47.8,48.55,117,157,1,1
2023-03-06,48.55,48.95,48.0,48.85,117,157,1,1
2023-03-07,48.8,51.8,48.8,51.0,117,157,1,1
2023-03-08,51.9,52.0,49.2,51.3,117,157,1,1
2023-03-09,52.1,52.4,50.5,52.3,117,157,1,1
2023-03-10,51.1,54.0,51.0,54.0,117,157,1,1
2023-03-13,54.0,54.0,52.3,52.7,117,157,1,1
2023-03-14,52.7,54.6,52.7,54.5,117,157,1,1
2023-03-15,54.5,55.2,50.6,53.0,117,157,1,1
2023-03-16,53.5,54.0,51.5,54.0,117,157,1,1
2023-03-17,54.2,54.9,54.0,54.9,117,157,1,1
2023-03-20,55.2,55.5,53.2,54.9,117,157,1,1
2023-03-21,55.3,55.3,53.7,53.7,117,157,1,1
2023-03-22,54.0,54.2,52.4,53.5,117,157,1,1
2023-03-23,54.0,54.0,53.4,53.4,117,157,1,1
2023-03-24,53.4,53.4,50.0,51.9,117,157,1,1
2023-03-27,52.0,52.0,50.0,51.8,117,157,1,1
2023-03-28,51.9,52.1,50.5,50.5,117,157,1,1
2023-03-29,51.0,51.0,50.0,51.0,117,157,1,1
2023-03-30,51.6,52.2,51.6,52.2,117,157,1,1
2023-03-31,53.4,54.9,53.0,53.5,117,157,1,1
2023-04-03,54.9,55.2,54.0,54.7,117,157,1,1
2023-04-04,55.9,56.0,54.4,54.5,117,157,1,1
2023-04-05,54.9,54.9,53.5,53.5,117,157,1,1
2023-04-06,54.5,54.5,52.7,53.0,117,157,1,1
2023-04-11,53.1,55.0,53.1,55.0,117,157,1,1
2023-04-12,55.0,55.9,53.0,54.7,117,157,1,1
2023-04-13,54.7,54.9,53.3,54.0,117,157,1,1
2023-04-14,54.5,55.2,53.8,54.0,117,157,1,1
2023-04-17,54.0,54.0,53.0,53.1,117,157,1,1
