Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-05-31,14.45,14.95,14.2,14.95,29,39,1,1
2023-06-01,14.75,14.85,13.9,14.4,29,39,1,1
2023-06-02,14.05,14.35,13.7,14.35,29,39,1,1
2023-06-05,14.4,14.7,13.85,14.7,29,39,1,1
2023-06-06,14.75,15.45,14.75,15.4,29,39,1,1
2023-06-07,15.5,15.5,15.1,15.35,29,39,1,1
2023-06-09,15.3,15.45,15.05,15.45,29,39,1,1
2023-06-12,15.05,15.7,15.05,15.7,29,39,1,1
2023-06-13,15.95,16.5,15.7,16.3,29,39,1,1
2023-06-14,16.45,16.45,15.4,15.8,29,39,1,1
2023-06-15,15.4,16.25,15.4,16.15,29,39,1,1
2023-06-16,16.15,16.15,15.2,16.0,29,39,1,1
2023-06-19,16.05,16.1,15.05,15.65,29,39,1,1
2023-06-20,16.0,16.2,15.95,16.0,29,39,1,1
2023-06-21,16.3,16.3,15.95,16.25,29,39,1,1
2023-06-22,16.25,16.3,15.85,16.3,29,39,1,1
2023-06-23,16.35,17.0,16.0,16.8,29,39,1,1
2023-06-26,16.85,17.9,16.05,17.5,29,39,1,1
2023-06-27,17.5,18.05,17.1,17.5,29,39,1,1
2023-06-28,17.6,17.6,16.55,17.0,29,39,1,1
2023-06-29,17.0,17.2,16.55,17.2,29,39,1,1
2023-06-30,17.25,17.3,16.6,16.9,29,39,1,1
2023-07-03,16.7,16.85,16.35,16.65,29,39,1,1
2023-07-04,16.25,16.5,16.2,16.4,29,39,1,1
2023-07-05,16.65,16.7,15.7,16.0,29,39,1,1
2023-07-06,16.0,16.0,15.5,16.0,29,39,1,1
2023-07-07,15.95,16.6,15.5,16.2,29,39,1,1
2023-07-10,16.2,16.25,15.3,15.75,29,39,1,1
2023-07-11,16.2,16.2,15.45,16.15,29,39,1,1
2023-07-12,16.35,16.5,15.85,16.15,29,39,1,1
2023-07-13,16.25,16.5,15.75,15.9,29,39,1,1
2023-07-14,16.0,16.0,15.55,15.8,29,39,1,1
2023-07-17,15.55,16.0,15.55,15.95,29,39,1,1
2023-07-18,16.2,16.4,15.95,16.1,29,39,1,1
2023-07-19,16.35,17.0,16.3,16.8,29,39,1,1
2023-07-20,16.8,16.8,16.1,16.45,29,39,1,1
2023-07-21,16.25,16.7,15.75,16.7,29,39,1,1
2023-07-24,16.85,16.85,16.5,16.85,29,39,1,1
2023-07-25,16.8,17.0,16.3,16.9,29,39,1,1
2023-07-26,16.4,17.0,16.4,16.8,29,39,1,1
2023-07-27,16.8,16.8,16.5,16.7,29,39,1,1
2023-07-28,16.7,16.9,16.45,16.9,29,39,1,1
2023-07-31,16.9,16.9,16.2,16.2,29,39,1,1
2023-08-01,16.2,16.5,15.85,16.4,29,39,1,1
2023-08-02,16.4,16.4,15.9,16.0,29,39,1,1
2023-08-03,16.0,16.45,16.0,16.45,29,39,1,1
2023-08-04,16.0,16.4,16.0,16.2,29,39,1,1
2023-08-07,16.05,16.2,15.8,15.95,29,39,1,1
2023-08-08,16.2,16.4,15.95,16.4,29,39,1,1
2023-08-09,16.4,16.45,16.0,16.2,29,39,1,1
2023-08-10,16.1,16.2,15.8,16.2,29,39,1,1
2023-08-11,15.9,16.2,15.8,16.1,29,39,1,1
2023-08-14,16.2,16.45,16.1,16.2,29,39,1,1
2023-08-16,16.25,16.25,15.8,16.0,29,39,1,1
2023-08-17,15.75,16.05,15.5,16.0,29,39,1,1
2023-08-18,15.9,15.9,15.55,15.8,29,39,1,1
2023-08-21,15.8,15.9,15.5,15.8,29,39,1,1
2023-08-22,15.8,16.0,15.45,16.0,29,39,1,1
2023-08-23,16.35,16.75,16.0,16.75,29,39,1,1
2023-08-24,16.85,16.85,15.8,16.65,29,39,1,1
2023-08-25,16.25,17.0,15.9,17.0,29,39,1,1
2023-08-28,17.0,17.0,16.15,16.2,29,39,1,1
2023-08-29,16.5,16.5,15.55,16.4,29,39,1,1
2023-08-30,16.75,17.0,16.05,16.4,29,39,1,1
2023-08-31,16.2,16.7,15.75,16.7,29,39,1,1
