Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-01-03,12.14,12.2,11.8,12.18,83,112,1,1
2023-01-04,12.16,12.18,11.84,12.06,83,112,1,1
2023-01-05,12.1,12.12,11.8,11.96,83,112,1,1
2023-01-09,12.7,14.92,12.7,14.78,83,112,1,1
2023-01-10,14.56,14.58,13.76,13.98,83,112,1,1
2023-01-11,14.0,14.18,13.1,13.48,83,112,1,1
2023-01-12,13.48,14.0,13.36,13.88,83,112,1,1
2023-01-13,13.78,13.78,12.96,13.3,83,112,1,1
2023-01-16,13.18,14.1,12.8,13.4,83,112,1,1
2023-01-17,13.16,13.66,12.9,13.36,83,112,1,1
2023-01-18,13.4,13.4,12.76,13.0,83,112,1,1
2023-01-19,13.1,16.44,12.8,14.52,83,112,1,1
2023-01-20,14.52,15.22,14.08,14.76,83,112,1,1
2023-01-23,14.76,15.3,14.46,15.1,83,112,1,1
2023-01-24,15.16,16.1,15.16,16.1,83,112,1,1
2023-01-25,16.2,18.7,16.0,17.7,83,112,1,1
2023-01-26,17.5,18.0,16.02,16.32,83,112,1,1
2023-01-27,16.34,16.56,15.86,16.18,83,112,1,1
2023-01-30,16.36,16.88,15.42,15.6,83,112,1,1
2023-01-31,15.76,16.74,15.56,16.6,83,112,1,1
2023-02-01,16.62,18.18,16.62,17.96,83,112,1,1
2023-02-02,18.44,18.68,17.54,17.96,83,112,1,1
2023-02-03,18.14,20.1,17.7,20.05,83,112,1,1
2023-02-06,21.2,24.4,20.85,23.55,83,112,1,1
2023-02-07,23.45,23.45,21.0,21.0,83,112,1,1
2023-02-08,21.1,21.55,19.8,20.45,83,112,1,1
2023-02-09,20.75,21.2,18.84,19.1,83,112,1,1
2023-02-10,19.1,19.58,17.9,18.06,83,112,1,1
2023-02-13,18.18,18.9,18.1,18.66,83,112,1,1
2023-02-14,18.7,18.88,18.04,18.54,83,112,1,1
2023-02-15,18.54,18.9,17.8,18.5,83,112,1,1
2023-02-16,18.44,18.74,17.76,17.9,83,112,1,1
2023-02-17,18.06,18.06,16.76,17.32,83,112,1,1
2023-02-20,17.58,17.64,17.06,17.4,83,112,1,1
2023-02-21,17.44,19.0,17.34,18.36,83,112,1,1
2023-02-22,18.46,18.46,17.58,18.12,83,112,1,1
2023-02-23,18.42,18.42,17.64,17.68,83,112,1,1
