Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-02-20,20.85,20.85,20.35,20.6,58,78,1,1
2023-02-21,21.0,21.1,20.05,20.05,58,78,1,1
2023-02-22,20.0,20.0,19.42,19.7,58,78,1,1
2023-02-23,19.9,20.25,19.7,20.2,58,78,1,1
2023-02-24,20.2,20.2,19.62,19.84,58,78,1,1
2023-02-27,20.3,20.3,19.68,20.0,58,78,1,1
2023-02-28,20.1,20.85,19.9,20.85,58,78,1,1
2023-03-01,20.5,20.5,19.52,19.76,58,78,1,1
2023-03-02,19.86,19.92,19.06,19.24,58,78,1,1
2023-03-03,19.3,19.48,19.12,19.4,58,78,1,1
2023-03-06,19.78,20.0,19.32,19.5,58,78,1,1
2023-03-07,19.46,19.78,19.26,19.4,58,78,1,1
2023-03-08,19.3,19.86,19.3,19.74,58,78,1,1
2023-03-09,19.6,19.78,19.36,19.52,58,78,1,1
2023-03-10,19.42,19.42,18.54,18.76,58,78,1,1
2023-03-13,18.72,18.98,18.12,18.46,58,78,1,1
2023-03-14,18.14,18.84,18.14,18.74,58,78,1,1
2023-03-15,18.5,18.68,18.3,18.68,58,78,1,1
2023-03-16,18.44,19.24,18.14,18.76,58,78,1,1
2023-03-17,18.76,18.88,18.32,18.62,58,78,1,1
2023-03-20,18.58,18.64,17.94,18.6,58,78,1,1
2023-03-21,18.6,18.92,18.24,18.38,58,78,1,1
2023-03-22,18.38,18.5,18.0,18.0,58,78,1,1
2023-03-23,18.0,18.6,17.96,18.5,58,78,1,1
2023-03-24,18.2,18.64,17.82,18.0,58,78,1,1
2023-03-27,18.36,18.38,17.94,18.34,58,78,1,1
2023-03-28,18.34,18.4,18.08,18.18,58,78,1,1
2023-03-29,18.18,18.38,17.84,17.84,58,78,1,1
2023-03-30,18.0,18.8,17.96,18.76,58,78,1,1
2023-03-31,18.9,18.9,18.5,18.84,58,78,1,1
2023-04-03,18.8,18.9,18.46,18.68,58,78,1,1
2023-04-04,18.52,19.26,18.52,19.18,58,78,1,1
2023-04-05,19.18,19.18,18.42,18.42,58,78,1,1
2023-04-06,18.22,18.42,18.04,18.14,58,78,1,1
2023-04-11,18.1,18.64,18.1,18.22,58,78,1,1
2023-04-12,18.24,18.9,18.12,18.3,58,78,1,1
2023-04-13,18.26,18.44,17.92,18.0,58,78,1,1
2023-04-14,18.04,18.34,18.04,18.08,58,78,1,1
2023-04-17,18.2,18.68,18.2,18.66,58,78,1,1
2023-04-18,18.66,18.8,18.44,18.62,58,78,1,1
2023-04-19,18.62,18.78,18.36,18.78,58,78,1,1
2023-04-20,18.78,19.0,18.54,18.62,58,78,1,1
2023-04-21,18.8,18.8,18.4,18.4,58,78,1,1
2023-04-24,18.4,18.5,18.22,18.22,58,78,1,1
2023-04-25,18.3,18.42,17.84,17.88,58,78,1,1
2023-04-26,18.0,18.3,17.6,17.88,58,78,1,1
2023-04-27,17.88,18.8,17.72,18.46,58,78,1,1
2023-04-28,18.64,18.96,18.52,18.76,58,78,1,1
2023-05-02,18.92,18.92,18.16,18.18,58,78,1,1
2023-05-04,18.18,18.48,17.8,18.0,58,78,1,1
2023-05-05,18.1,18.64,18.02,18.38,58,78,1,1
2023-05-08,18.42,18.92,18.3,18.9,58,78,1,1
2023-05-09,18.98,20.0,18.8,19.88,58,78,1,1
2023-05-10,20.0,20.0,19.52,19.8,58,78,1,1
2023-05-11,20.0,20.9,19.82,20.55,58,78,1,1
2023-05-12,21.2,23.3,21.2,23.3,58,78,1,1
2023-05-15,23.3,23.85,22.6,23.0,58,78,1,1
2023-05-16,22.8,23.25,22.2,22.9,58,78,1,1
2023-05-17,22.8,23.3,22.5,23.0,58,78,1,1
2023-05-18,23.0,23.0,22.55,22.65,58,78,1,1
2023-05-19,22.55,22.75,22.3,22.5,58,78,1,1
2023-05-22,22.45,23.0,22.3,23.0,58,78,1,1
2023-05-23,22.75,23.0,22.4,22.8,58,78,1,1
2023-05-24,22.8,22.8,21.65,22.0,58,78,1,1
2023-05-25,21.9,22.2,21.75,21.85,58,78,1,1
2023-05-26,21.65,22.3,21.65,22.3,58,78,1,1
2023-05-29,22.7,22.7,21.95,22.45,58,78,1,1
2023-05-30,22.45,22.5,21.9,22.0,58,78,1,1
2023-05-31,22.05,22.9,21.75,22.2,58,78,1,1
2023-06-01,22.05,23.0,22.05,22.95,58,78,1,1
2023-06-02,22.65,23.3,22.65,23.15,58,78,1,1
2023-06-05,23.4,24.15,23.2,23.6,58,78,1,1
2023-06-06,23.5,23.9,23.35,23.6,58,78,1,1
2023-06-07,23.55,23.75,23.25,23.35,58,78,1,1
2023-06-09,23.3,23.65,22.8,22.8,58,78,1,1
2023-06-12,22.85,23.8,22.85,23.6,58,78,1,1
2023-06-13,23.7,23.8,22.75,22.75,58,78,1,1
2023-06-14,22.7,23.1,22.3,23.0,58,78,1,1
2023-06-15,23.0,23.45,22.45,23.15,58,78,1,1
2023-06-16,23.35,23.35,22.85,23.0,58,78,1,1
2023-06-19,22.9,23.1,22.65,23.0,58,78,1,1
2023-06-20,22.85,22.95,22.65,22.7,58,78,1,1
2023-06-21,22.7,23.15,22.6,23.0,58,78,1,1
2023-06-22,23.1,23.35,22.6,22.95,58,78,1,1
2023-06-23,23.0,23.0,22.6,22.65,58,78,1,1
2023-06-26,23.0,23.05,22.55,22.9,58,78,1,1
2023-06-27,22.75,23.1,22.7,23.0,58,78,1,1
2023-06-28,22.8,23.05,22.75,22.95,58,78,1,1
2023-06-29,23.0,23.15,22.8,23.0,58,78,1,1
2023-06-30,22.85,23.0,22.6,23.0,58,78,1,1
2023-07-03,23.0,23.25,22.8,23.0,58,78,1,1
2023-07-04,23.0,23.45,22.8,23.45,58,78,1,1
2023-07-05,23.5,23.55,22.9,23.25,58,78,1,1
2023-07-06,23.0,23.05,22.6,22.6,58,78,1,1
2023-07-07,22.6,23.15,22.6,23.15,58,78,1,1
2023-07-10,23.0,23.45,22.85,23.3,58,78,1,1
2023-07-11,23.2,23.5,22.9,23.5,58,78,1,1
2023-07-12,23.5,24.9,23.3,24.6,58,78,1,1
2023-07-13,24.75,25.3,24.6,24.7,58,78,1,1
2023-07-14,24.95,25.2,24.6,24.7,58,78,1,1
2023-07-17,24.8,26.0,24.8,25.9,58,78,1,1
2023-07-18,26.0,27.25,25.85,26.6,58,78,1,1
2023-07-19,26.9,27.0,25.9,26.05,58,78,1,1
2023-07-20,25.9,26.55,25.8,26.3,58,78,1,1
2023-07-21,26.5,26.6,25.9,26.5,58,78,1,1
2023-07-24,26.3,27.4,26.3,27.15,58,78,1,1
2023-07-25,27.2,27.4,26.6,27.0,58,78,1,1
2023-07-26,27.0,27.25,26.6,26.9,58,78,1,1
2023-07-27,26.65,27.1,26.65,27.0,58,78,1,1
2023-07-28,26.85,27.5,26.75,27.1,58,78,1,1
2023-07-31,26.9,28.2,26.85,27.95,58,78,1,1
2023-08-01,28.0,28.75,27.8,28.75,58,78,1,1
2023-08-02,28.4,28.6,27.75,27.9,58,78,1,1
2023-08-03,27.95,28.0,27.3,28.0,58,78,1,1
2023-08-04,27.85,28.45,27.7,28.0,58,78,1,1
2023-08-07,27.5,27.65,26.95,27.25,58,78,1,1
2023-08-08,27.2,27.8,27.05,27.45,58,78,1,1
2023-08-09,27.3,27.8,27.0,27.8,58,78,1,1
2023-08-10,27.5,28.15,27.3,28.0,58,78,1,1
2023-08-11,28.0,28.05,27.3,28.05,58,78,1,1
2023-08-14,27.95,28.2,27.5,28.15,58,78,1,1
2023-08-16,28.2,28.2,27.05,27.1,58,78,1,1
2023-08-17,26.95,27.6,26.3,27.25,58,78,1,1
2023-08-18,27.05,27.25,26.3,27.2,58,78,1,1
2023-08-21,26.8,28.0,26.7,28.0,58,78,1,1
2023-08-22,27.5,27.8,27.45,27.75,58,78,1,1
2023-08-23,27.4,27.95,27.4,27.85,58,78,1,1
2023-08-24,27.95,28.0,27.15,27.2,58,78,1,1
2023-08-25,27.0,28.0,26.85,27.35,58,78,1,1
2023-08-28,27.35,27.8,26.8,27.7,58,78,1,1
2023-08-29,27.7,27.7,27.1,27.4,58,78,1,1
2023-08-30,27.4,28.4,27.25,28.0,58,78,1,1
2023-08-31,28.0,28.0,27.2,27.45,58,78,1,1
