Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-01-02,14.0,14.76,13.9,14.72,86,116,1,1
2023-01-03,15.06,15.8,15.02,15.2,86,116,1,1
2023-01-04,15.14,15.56,15.02,15.1,86,116,1,1
2023-01-05,15.24,15.44,14.8,15.0,86,116,1,1
2023-01-09,15.1,15.44,15.04,15.08,86,116,1,1
2023-01-10,15.34,15.34,15.02,15.08,86,116,1,1
2023-01-11,15.22,16.3,15.1,16.06,86,116,1,1
2023-01-12,16.18,17.34,16.12,16.7,86,116,1,1
2023-01-13,17.08,17.2,16.7,16.8,86,116,1,1
2023-01-16,17.2,18.3,16.9,18.0,86,116,1,1
2023-01-17,18.2,18.4,17.54,18.1,86,116,1,1
2023-01-18,18.18,18.24,17.72,17.92,86,116,1,1
2023-01-19,17.9,17.9,17.04,17.3,86,116,1,1
2023-01-20,17.8,17.8,17.52,17.6,86,116,1,1
2023-01-23,17.9,17.98,17.6,17.7,86,116,1,1
2023-01-24,17.88,17.94,17.34,17.44,86,116,1,1
2023-01-25,17.58,17.8,17.1,17.2,86,116,1,1
2023-01-26,17.3,17.46,17.2,17.3,86,116,1,1
2023-01-27,17.38,17.64,17.2,17.4,86,116,1,1
2023-01-30,17.52,17.52,17.12,17.2,86,116,1,1
2023-01-31,17.36,17.4,17.2,17.22,86,116,1,1
2023-02-01,17.3,17.86,17.12,17.12,86,116,1,1
2023-02-02,17.4,17.58,17.22,17.4,86,116,1,1
2023-02-03,17.38,17.38,16.4,17.0,86,116,1,1
2023-02-06,17.14,17.4,16.5,16.68,86,116,1,1
2023-02-07,16.68,16.9,16.4,16.48,86,116,1,1
2023-02-08,16.68,17.0,16.6,16.94,86,116,1,1
2023-02-09,17.0,17.26,16.74,16.8,86,116,1,1
2023-02-10,16.8,16.84,16.22,16.8,86,116,1,1
2023-02-13,17.08,17.2,16.5,16.6,86,116,1,1
2023-02-14,16.6,16.78,16.52,16.6,86,116,1,1
2023-02-15,16.88,16.88,16.42,16.54,86,116,1,1
2023-02-16,16.84,16.84,16.48,16.6,86,116,1,1
2023-02-17,16.6,16.7,16.48,16.6,86,116,1,1
2023-02-20,16.6,17.44,16.56,17.0,86,116,1,1
2023-02-21,17.18,17.18,16.58,16.7,86,116,1,1
2023-02-22,16.7,16.74,16.28,16.3,86,116,1,1
2023-02-23,16.56,16.56,16.02,16.16,86,116,1,1
2023-02-24,16.2,16.72,16.1,16.14,86,116,1,1
2023-02-27,16.3,16.3,15.54,15.74,86,116,1,1
2023-02-28,15.74,16.18,15.74,16.16,86,116,1,1
2023-03-01,16.3,16.58,15.82,15.82,86,116,1,1
2023-03-02,15.98,16.4,15.82,16.4,86,116,1,1
2023-03-03,16.5,16.62,16.22,16.24,86,116,1,1
2023-03-06,16.38,16.68,16.28,16.3,86,116,1,1
2023-03-07,16.3,16.38,16.1,16.1,86,116,1,1
2023-03-08,16.24,16.24,16.0,16.0,86,116,1,1
2023-03-09,15.96,16.06,15.82,15.92,86,116,1,1
2023-03-10,15.92,15.96,15.34,15.4,86,116,1,1
2023-03-13,15.44,15.78,15.02,15.38,86,116,1,1
2023-03-14,15.22,15.46,15.1,15.16,86,116,1,1
2023-03-15,15.3,15.42,14.72,14.8,86,116,1,1
2023-03-16,14.7,15.0,14.34,14.96,86,116,1,1
2023-03-17,15.1,15.1,14.66,14.96,86,116,1,1
2023-03-20,14.8,14.8,14.2,14.6,86,116,1,1
2023-03-21,14.72,15.2,14.4,15.08,86,116,1,1
2023-03-22,15.3,15.3,14.42,14.68,86,116,1,1
2023-03-23,14.46,14.76,14.4,14.5,86,116,1,1
2023-03-24,14.64,15.0,14.24,14.68,86,116,1,1
2023-03-27,14.68,15.0,14.62,14.98,86,116,1,1
2023-03-28,15.0,15.38,14.84,14.98,86,116,1,1
2023-03-29,15.02,15.58,14.9,15.3,86,116,1,1
2023-03-30,15.52,15.58,15.1,15.1,86,116,1,1
2023-03-31,15.1,15.2,14.86,15.0,86,116,1,1
2023-04-03,14.94,15.22,14.74,14.98,86,116,1,1
2023-04-04,14.96,15.12,14.6,14.72,86,116,1,1
2023-04-05,14.6,14.76,14.54,14.6,86,116,1,1
2023-04-06,14.66,14.98,14.66,14.78,86,116,1,1
2023-04-11,14.78,15.12,14.76,14.86,86,116,1,1
2023-04-12,14.86,14.94,14.62,14.8,86,116,1,1
2023-04-13,14.8,14.8,13.7,13.92,86,116,1,1
2023-04-14,13.96,14.18,13.86,13.98,86,116,1,1
2023-04-17,13.98,14.1,13.78,13.84,86,116,1,1
