Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-04-20,44.94,46.48,44.16,45.08,33,45,1,1
2023-04-21,45.0,45.94,44.48,45.73,33,45,1,1
2023-04-24,45.61,45.76,44.78,45.04,33,45,1,1
2023-04-25,45.04,45.49,44.16,44.63,33,45,1,1
2023-04-26,44.65,45.02,41.22,43.6,33,45,1,1
2023-04-27,43.3,44.96,43.25,44.7,33,45,1,1
2023-04-28,45.0,45.1,43.12,43.4,33,45,1,1
2023-05-02,43.5,44.9,42.72,42.83,33,45,1,1
2023-05-04,43.2,43.96,41.37,41.63,33,45,1,1
2023-05-05,41.67,42.45,41.67,42.32,33,45,1,1
2023-05-08,42.25,42.9,42.16,42.35,33,45,1,1
2023-05-09,42.65,42.65,41.68,42.0,33,45,1,1
2023-05-10,42.5,43.38,41.85,42.82,33,45,1,1
2023-05-11,42.82,43.51,42.24,42.77,33,45,1,1
2023-05-12,43.0,43.91,42.75,43.4,33,45,1,1
2023-05-15,43.33,43.48,41.85,42.22,33,45,1,1
2023-05-16,42.34,42.94,42.01,42.3,33,45,1,1
2023-05-17,42.3,42.4,41.72,41.93,33,45,1,1
2023-05-18,42.03,42.75,42.03,42.4,33,45,1,1
2023-05-19,42.92,44.61,42.15,43.6,33,45,1,1
2023-05-22,43.8,44.82,43.4,43.9,33,45,1,1
2023-05-23,44.0,44.5,43.73,44.23,33,45,1,1
2023-05-24,43.78,43.88,42.6,42.77,33,45,1,1
2023-05-25,43.3,43.6,42.4,43.53,33,45,1,1
2023-05-26,43.7,44.5,43.15,44.28,33,45,1,1
2023-05-29,44.11,44.28,43.43,43.6,33,45,1,1
2023-05-30,43.61,43.63,42.3,42.42,33,45,1,1
2023-05-31,42.0,42.04,40.29,40.43,33,45,1,1
2023-06-01,40.6,41.86,40.1,41.59,33,45,1,1
2023-06-02,42.09,44.49,41.91,44.49,33,45,1,1
2023-06-05,44.49,45.0,44.02,44.48,33,45,1,1
2023-06-06,44.49,46.8,44.06,46.45,33,45,1,1
2023-06-07,46.45,46.68,44.83,45.1,33,45,1,1
2023-06-09,45.99,46.0,45.15,45.55,33,45,1,1
2023-06-12,45.99,45.99,44.44,44.44,33,45,1,1
2023-06-13,44.48,44.95,43.3,43.4,33,45,1,1
2023-06-14,43.3,46.1,43.3,45.22,33,45,1,1
2023-06-15,45.0,45.85,43.71,45.45,33,45,1,1
2023-06-16,45.65,47.01,44.0,45.92,33,45,1,1
2023-06-19,45.92,47.58,45.61,46.07,33,45,1,1
2023-06-20,46.1,46.95,45.76,45.87,33,45,1,1
2023-06-21,45.8,47.44,45.71,47.14,33,45,1,1
2023-06-22,47.0,47.48,46.51,47.02,33,45,1,1
2023-06-23,46.9,46.9,45.3,45.3,33,45,1,1
2023-06-26,45.06,47.5,44.43,47.33,33,45,1,1
2023-06-27,47.33,48.9,46.85,47.02,33,45,1,1
2023-06-28,47.28,48.18,47.04,47.3,33,45,1,1
2023-06-29,47.5,47.8,47.11,47.32,33,45,1,1
2023-06-30,47.37,48.9,47.37,48.36,33,45,1,1
2023-07-03,48.61,50.6,48.6,50.24,33,45,1,1
2023-07-04,50.4,50.68,49.33,49.5,33,45,1,1
2023-07-05,49.39,49.45,48.01,48.01,33,45,1,1
2023-07-06,48.0,49.26,47.41,48.72,33,45,1,1
2023-07-07,48.52,50.14,48.52,49.6,33,45,1,1
2023-07-10,49.49,50.66,49.05,50.6,33,45,1,1
2023-07-11,50.96,52.22,50.52,51.46,33,45,1,1
2023-07-12,51.8,53.98,51.32,53.8,33,45,1,1
2023-07-13,53.7,55.0,53.4,54.7,33,45,1,1
2023-07-14,54.56,55.6,54.02,54.72,33,45,1,1
2023-07-17,54.7,56.1,53.96,55.42,33,45,1,1
2023-07-18,55.42,56.78,55.42,56.5,33,45,1,1
2023-07-19,56.98,57.92,56.7,57.8,33,45,1,1
2023-07-20,57.56,58.46,57.22,57.4,33,45,1,1
2023-07-21,56.9,57.94,56.06,56.3,33,45,1,1
2023-07-24,56.2,57.78,56.2,57.56,33,45,1,1
2023-07-25,57.88,58.2,56.6,57.2,33,45,1,1
2023-07-26,57.2,57.66,56.34,56.56,33,45,1,1
2023-07-27,56.56,58.2,56.56,58.2,33,45,1,1
2023-07-28,58.0,58.38,57.82,58.18,33,45,1,1
2023-07-31,58.16,58.48,57.68,58.04,33,45,1,1
2023-08-01,58.04,58.34,57.14,57.6,33,45,1,1
2023-08-02,57.8,57.92,56.06,57.5,33,45,1,1
2023-08-03,57.42,58.06,57.06,57.6,33,45,1,1
2023-08-04,57.94,59.36,57.78,59.36,33,45,1,1
2023-08-07,59.3,59.3,58.52,58.66,33,45,1,1
2023-08-08,58.66,58.68,55.04,55.84,33,45,1,1
2023-08-09,56.2,57.6,56.2,56.98,33,45,1,1
2023-08-10,56.98,59.62,56.8,59.38,33,45,1,1
2023-08-11,59.38,59.38,57.58,58.84,33,45,1,1
2023-08-14,58.02,59.0,57.5,57.72,33,45,1,1
2023-08-16,57.7,57.7,55.3,55.7,33,45,1,1
2023-08-17,55.06,55.7,53.28,53.52,33,45,1,1
