Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-02-27,484.0,487.5,481.5,485.0,50,67,1,1
2023-02-28,488.0,495.0,482.0,485.0,50,67,1,1
2023-03-01,485.0,520.0,485.0,520.0,50,67,1,1
2023-03-02,515.0,527.0,513.0,520.0,50,67,1,1
2023-03-03,520.0,539.0,516.0,530.0,50,67,1,1
2023-03-06,530.0,559.0,527.0,550.0,50,67,1,1
2023-03-07,550.0,556.0,543.0,546.0,50,67,1,1
2023-03-08,555.0,565.0,552.0,561.0,50,67,1,1
2023-03-09,565.0,584.0,560.0,575.0,50,67,1,1
2023-03-10,577.0,581.0,556.0,564.0,50,67,1,1
2023-03-13,561.0,566.0,550.0,550.0,50,67,1,1
2023-03-14,551.0,567.0,551.0,566.0,50,67,1,1
2023-03-15,566.0,568.0,548.0,550.0,50,67,1,1
2023-03-16,551.0,598.0,551.0,581.0,50,67,1,1
2023-03-17,581.0,591.0,576.0,580.0,50,67,1,1
2023-03-20,580.0,580.0,562.0,566.0,50,67,1,1
2023-03-21,575.0,578.0,564.0,565.0,50,67,1,1
2023-03-22,571.0,573.0,559.0,564.0,50,67,1,1
2023-03-23,569.0,579.0,558.0,570.0,50,67,1,1
2023-03-24,578.0,578.0,561.0,566.0,50,67,1,1
2023-03-27,565.0,574.0,562.0,564.0,50,67,1,1
2023-03-28,570.0,571.0,548.0,550.0,50,67,1,1
2023-03-29,554.0,559.0,537.0,550.0,50,67,1,1
2023-03-30,550.0,570.0,544.0,570.0,50,67,1,1
2023-03-31,569.0,570.0,561.0,568.0,50,67,1,1
2023-04-03,570.0,585.0,555.0,565.0,50,67,1,1
2023-04-04,565.0,570.0,560.0,568.0,50,67,1,1
2023-04-05,568.0,573.0,555.0,568.0,50,67,1,1
2023-04-06,570.0,577.0,568.0,570.0,50,67,1,1
2023-04-11,555.0,558.0,537.0,554.0,50,67,1,1
2023-04-12,542.0,542.0,521.0,526.0,50,67,1,1
2023-04-13,529.0,539.0,528.0,530.0,50,67,1,1
2023-04-14,528.0,533.0,514.0,514.0,50,67,1,1
2023-04-17,512.0,536.0,512.0,528.0,50,67,1,1
2023-04-18,529.0,542.0,529.0,537.0,50,67,1,1
2023-04-19,530.0,530.0,522.0,524.0,50,67,1,1
2023-04-20,524.0,527.0,512.0,523.0,50,67,1,1
2023-04-21,523.0,523.0,512.0,515.0,50,67,1,1
2023-04-24,515.0,524.0,512.0,524.0,50,67,1,1
2023-04-25,524.0,524.0,516.0,516.0,50,67,1,1
2023-04-26,512.0,519.0,507.0,509.0,50,67,1,1
2023-04-27,508.0,534.0,508.0,523.0,50,67,1,1
2023-04-28,531.0,539.0,516.0,516.0,50,67,1,1
2023-05-02,517.0,522.0,506.0,508.0,50,67,1,1
2023-05-04,511.0,513.0,496.5,497.5,50,67,1,1
2023-05-05,499.5,512.0,495.0,506.0,50,67,1,1
2023-05-08,506.0,524.0,503.0,504.0,50,67,1,1
2023-05-09,503.0,530.0,501.0,525.0,50,67,1,1
2023-05-10,528.0,533.0,513.0,516.0,50,67,1,1
2023-05-11,517.0,519.0,508.0,511.0,50,67,1,1
2023-05-12,511.0,516.0,507.0,515.0,50,67,1,1
2023-05-15,515.0,515.0,508.0,515.0,50,67,1,1
2023-05-16,515.0,525.0,511.0,514.0,50,67,1,1
2023-05-17,514.0,520.0,503.0,511.0,50,67,1,1
2023-05-18,511.0,519.0,504.0,511.0,50,67,1,1
2023-05-19,514.0,514.0,503.0,506.0,50,67,1,1
2023-05-22,522.0,559.0,522.0,548.0,50,67,1,1
2023-05-23,556.0,558.0,528.0,534.0,50,67,1,1
2023-05-24,530.0,530.0,512.0,525.0,50,67,1,1
2023-05-25,530.0,530.0,510.0,528.0,50,67,1,1
2023-05-26,525.0,529.0,524.0,525.0,50,67,1,1
2023-05-29,530.0,530.0,522.0,524.0,50,67,1,1
2023-05-30,529.0,533.0,524.0,524.0,50,67,1,1
2023-05-31,525.0,527.0,513.0,526.0,50,67,1,1
2023-06-01,530.0,537.0,529.0,530.0,50,67,1,1
2023-06-02,532.0,563.0,532.0,562.0,50,67,1,1
2023-06-05,559.0,569.0,553.0,560.0,50,67,1,1
2023-06-06,557.0,562.0,552.0,556.0,50,67,1,1
2023-06-07,556.0,556.0,549.0,549.0,50,67,1,1
2023-06-09,553.0,553.0,545.0,545.0,50,67,1,1
2023-06-12,530.0,530.0,517.0,528.0,50,67,1,1
2023-06-13,513.0,513.0,509.0,510.0,50,67,1,1
2023-06-14,513.0,515.0,512.0,515.0,50,67,1,1
2023-06-15,515.0,515.0,512.0,512.0,50,67,1,1
2023-06-16,509.0,509.0,506.0,509.0,50,67,1,1
2023-06-19,505.0,505.0,502.0,505.0,50,67,1,1
2023-06-20,504.0,517.0,503.0,517.0,50,67,1,1
2023-06-21,513.0,520.0,509.0,513.0,50,67,1,1
2023-06-22,513.0,532.0,510.0,532.0,50,67,1,1
2023-06-23,532.0,538.0,526.0,530.0,50,67,1,1
2023-06-26,530.0,541.0,527.0,539.0,50,67,1,1
2023-06-27,543.0,549.0,538.0,544.0,50,67,1,1
2023-06-28,548.0,551.0,540.0,550.0,50,67,1,1
2023-06-29,550.0,557.0,550.0,553.0,50,67,1,1
2023-06-30,553.0,562.0,550.0,562.0,50,67,1,1
2023-07-03,560.0,571.0,558.0,570.0,50,67,1,1
2023-07-04,571.0,581.0,567.0,572.0,50,67,1,1
2023-07-05,575.0,576.0,563.0,575.0,50,67,1,1
2023-07-06,578.0,579.0,566.0,579.0,50,67,1,1
2023-07-07,575.0,592.0,575.0,589.0,50,67,1,1
2023-07-10,581.0,602.0,579.0,602.0,50,67,1,1
2023-07-11,602.0,602.0,590.0,602.0,50,67,1,1
2023-07-12,599.0,624.0,592.0,624.0,50,67,1,1
2023-07-13,622.0,624.0,618.0,620.0,50,67,1,1
2023-07-14,621.0,627.0,620.0,627.0,50,67,1,1
2023-07-17,635.0,635.0,625.0,630.0,50,67,1,1
2023-07-18,630.0,635.0,622.0,634.0,50,67,1,1
2023-07-19,650.0,650.0,622.0,622.0,50,67,1,1
2023-07-20,620.0,634.0,605.0,633.0,50,67,1,1
2023-07-21,640.0,640.0,612.0,627.0,50,67,1,1
2023-07-24,625.0,626.0,620.0,620.0,50,67,1,1
2023-07-25,620.0,625.0,617.0,622.0,50,67,1,1
2023-07-26,620.0,624.0,615.0,615.0,50,67,1,1
2023-07-27,615.0,624.0,615.0,620.0,50,67,1,1
2023-07-28,620.0,633.0,620.0,620.0,50,67,1,1
2023-07-31,620.0,640.0,619.0,640.0,50,67,1,1
2023-08-01,639.0,639.0,625.0,630.0,50,67,1,1
2023-08-02,636.0,636.0,622.0,623.0,50,67,1,1
2023-08-03,620.0,624.0,612.0,623.0,50,67,1,1
2023-08-04,623.0,640.0,623.0,624.0,50,67,1,1
2023-08-07,621.0,621.0,593.0,599.0,50,67,1,1
2023-08-08,597.0,605.0,589.0,593.0,50,67,1,1
2023-08-09,599.0,605.0,587.0,597.0,50,67,1,1
2023-08-10,600.0,600.0,584.0,586.0,50,67,1,1
2023-08-11,585.0,587.0,583.0,584.0,50,67,1,1
2023-08-14,587.0,595.0,587.0,589.0,50,67,1,1
2023-08-16,595.0,597.0,581.0,585.0,50,67,1,1
2023-08-17,575.0,575.0,536.0,545.0,50,67,1,1
2023-08-18,543.0,550.0,540.0,549.0,50,67,1,1
