Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-03-13,12.45,12.75,12.0,12.25,-1,-1,0,0
2023-03-14,12.7,12.7,12.15,12.2,-1,-1,0,0
2023-03-15,12.65,12.65,12.15,12.3,-1,-1,0,0
2023-03-16,12.3,12.7,11.6,12.0,-1,-1,0,0
2023-03-17,12.0,12.5,11.5,11.5,-1,-1,0,0
2023-03-20,11.95,11.95,11.7,11.9,-1,-1,0,0
2023-03-21,12.0,12.45,12.0,12.4,-1,-1,0,0
2023-03-22,12.5,12.5,12.2,12.2,-1,-1,0,0
2023-03-23,12.45,12.45,12.3,12.3,-1,-1,0,0
2023-03-24,12.45,12.45,12.15,12.3,-1,-1,0,0
2023-03-27,12.45,12.45,12.0,12.0,-1,-1,0,0
2023-03-28,12.0,12.0,11.8,11.8,-1,-1,0,0
2023-03-29,12.0,12.0,11.9,12.0,-1,-1,0,0
2023-03-30,12.0,12.0,11.85,12.0,-1,-1,0,0
2023-03-31,12.0,12.0,11.85,12.0,-1,-1,0,0
2023-04-03,12.0,12.0,12.0,12.0,-1,-1,0,0
2023-04-04,12.0,12.0,11.75,12.0,-1,-1,0,0
2023-04-05,12.0,12.0,11.5,11.55,-1,-1,0,0
2023-04-06,11.6,11.6,11.5,11.6,-1,-1,0,0
2023-04-11,11.75,11.75,11.55,11.6,-1,-1,0,0
2023-04-12,11.6,11.6,11.55,11.55,-1,-1,0,0
2023-04-13,11.6,11.6,11.55,11.6,-1,-1,0,0
2023-04-14,11.6,11.75,11.55,11.75,-1,-1,0,0
2023-04-17,11.6,11.8,11.55,11.55,-1,-1,0,0
2023-04-18,11.8,11.8,11.6,11.6,-1,-1,0,0
2023-04-19,11.75,11.75,11.55,11.6,-1,-1,0,0
2023-04-20,11.75,12.0,11.65,11.95,-1,-1,0,0
2023-04-21,11.95,11.95,11.75,11.75,-1,-1,0,0
2023-04-24,11.95,11.95,11.75,11.8,-1,-1,0,0
2023-04-25,11.9,11.9,11.7,11.7,-1,-1,0,0
2023-04-26,11.7,11.75,11.6,11.75,-1,-1,0,0
