Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-04-18,75.5,77.0,75.2,77.0,-1,-1,0,0
2023-04-19,77.5,77.8,76.2,77.0,-1,-1,0,0
2023-04-20,77.0,77.0,76.1,76.9,-1,-1,0,0
2023-04-21,76.2,76.2,74.0,74.0,-1,-1,0,0
2023-04-24,74.9,74.9,72.5,73.1,-1,-1,0,0
2023-04-25,73.9,75.5,73.0,75.5,-1,-1,0,0
2023-04-26,76.0,76.0,75.0,75.2,-1,-1,0,0
2023-04-27,75.6,76.0,75.0,75.2,-1,-1,0,0
2023-04-28,75.4,75.6,74.7,75.0,-1,-1,0,0
2023-05-02,75.6,76.7,75.0,76.7,-1,-1,0,0
2023-05-04,76.5,76.5,74.1,75.4,-1,-1,0,0
2023-05-05,75.6,75.6,72.6,74.6,-1,-1,0,0
2023-05-08,73.0,75.0,73.0,75.0,-1,-1,0,0
2023-05-09,75.0,75.7,74.9,75.2,-1,-1,0,0
2023-05-10,75.7,75.7,73.2,75.3,-1,-1,0,0
2023-05-11,73.5,75.8,73.5,75.8,-1,-1,0,0
2023-05-12,75.8,76.2,75.0,76.0,-1,-1,0,0
2023-05-15,76.0,76.1,74.3,76.1,-1,-1,0,0
2023-05-16,75.8,76.9,75.3,76.8,-1,-1,0,0
2023-05-17,76.5,77.1,76.3,77.1,-1,-1,0,0
2023-05-18,77.3,77.3,76.5,77.0,-1,-1,0,0
2023-05-19,76.6,77.8,76.6,77.0,-1,-1,0,0
2023-05-22,77.0,77.8,77.0,77.5,-1,-1,0,0
2023-05-23,77.6,77.8,77.0,77.6,-1,-1,0,0
2023-05-24,77.4,77.4,75.4,76.7,-1,-1,0,0
2023-05-25,75.3,77.0,75.1,77.0,-1,-1,0,0
2023-05-26,76.9,77.5,76.0,77.5,-1,-1,0,0
2023-05-29,77.5,77.7,76.3,76.8,-1,-1,0,0
2023-05-30,76.7,76.7,74.0,74.0,-1,-1,0,0
2023-05-31,73.9,75.8,73.0,74.0,-1,-1,0,0
2023-06-01,75.8,76.0,68.3,68.5,-1,-1,0,0
2023-06-02,69.6,73.0,68.8,70.9,-1,-1,0,0
2023-06-05,71.1,73.7,71.1,73.4,-1,-1,0,0
2023-06-06,73.9,73.9,71.5,71.5,-1,-1,0,0
2023-06-07,73.6,73.6,71.6,73.6,-1,-1,0,0
2023-06-09,73.5,73.5,72.3,73.0,-1,-1,0,0
2023-06-12,73.0,73.0,72.2,73.0,-1,-1,0,0
2023-06-13,72.5,73.2,71.7,71.7,-1,-1,0,0
2023-06-14,72.5,73.0,69.0,69.1,-1,-1,0,0
2023-06-15,69.5,71.9,69.5,71.0,-1,-1,0,0
2023-06-16,71.3,72.0,69.8,72.0,-1,-1,0,0
2023-06-19,72.0,72.0,70.8,71.9,-1,-1,0,0
2023-06-20,71.4,71.5,69.7,70.9,-1,-1,0,0
2023-06-21,70.4,70.4,70.0,70.0,-1,-1,0,0
2023-06-22,70.9,71.9,70.2,70.2,-1,-1,0,0
2023-06-23,70.0,70.2,69.0,69.1,-1,-1,0,0
2023-06-26,69.1,69.1,68.7,68.7,-1,-1,0,0
2023-06-27,68.7,68.7,67.0,68.0,-1,-1,0,0
2023-06-28,68.0,68.0,67.2,67.4,-1,-1,0,0
2023-06-29,67.9,68.0,67.6,67.6,-1,-1,0,0
2023-06-30,68.0,69.2,67.5,67.9,-1,-1,0,0
2023-07-03,67.6,68.5,67.5,68.0,-1,-1,0,0
2023-07-04,68.4,69.0,67.5,68.9,-1,-1,0,0
2023-07-05,69.5,71.8,67.8,71.3,-1,-1,0,0
2023-07-06,71.2,71.6,70.3,71.5,-1,-1,0,0
2023-07-07,71.9,72.0,71.3,72.0,-1,-1,0,0
2023-07-10,71.5,71.9,71.3,71.3,-1,-1,0,0
2023-07-11,71.3,73.5,71.2,73.5,-1,-1,0,0
2023-07-12,73.5,73.5,72.6,72.9,-1,-1,0,0
2023-07-13,72.8,72.8,72.5,72.5,-1,-1,0,0
2023-07-14,71.5,73.2,71.3,73.2,-1,-1,0,0
2023-07-17,73.5,74.5,71.3,71.3,-1,-1,0,0
2023-07-18,71.3,74.3,70.6,71.0,-1,-1,0,0
2023-07-19,71.0,72.2,71.0,71.6,-1,-1,0,0
2023-07-20,71.4,72.0,71.3,72.0,-1,-1,0,0
2023-07-21,71.9,71.9,71.4,71.9,-1,-1,0,0
2023-07-24,71.9,71.9,71.4,71.4,-1,-1,0,0
2023-07-25,71.4,71.7,71.3,71.3,-1,-1,0,0
2023-07-26,71.3,71.4,71.3,71.3,-1,-1,0,0
2023-07-27,71.3,72.1,71.3,71.7,-1,-1,0,0
2023-07-28,71.7,72.6,71.6,72.2,-1,-1,0,0
2023-07-31,72.2,73.8,72.1,73.7,-1,-1,0,0
2023-08-01,73.0,74.4,73.0,74.4,-1,-1,0,0
2023-08-02,74.4,74.5,73.1,74.0,-1,-1,0,0
2023-08-03,74.0,74.0,73.0,73.6,-1,-1,0,0
2023-08-04,73.6,74.5,73.1,74.1,-1,-1,0,0
2023-08-07,74.0,74.3,73.0,74.2,-1,-1,0,0
2023-08-08,73.9,74.9,73.0,74.5,-1,-1,0,0
