Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-02-20,0.814,0.814,0.788,0.812,-1,-1,0,0
2023-02-21,0.818,0.818,0.78,0.797,-1,-1,0,0
2023-02-22,0.8,0.811,0.761,0.762,-1,-1,0,0
2023-02-23,0.799,0.799,0.762,0.786,-1,-1,0,0
2023-02-24,0.794,0.811,0.767,0.81,-1,-1,0,0
2023-02-27,0.81,0.81,0.78,0.785,-1,-1,0,0
2023-02-28,0.808,0.808,0.785,0.785,-1,-1,0,0
2023-03-01,0.8,0.844,0.787,0.82,-1,-1,0,0
2023-03-02,0.818,0.837,0.793,0.81,-1,-1,0,0
2023-03-03,0.81,0.82,0.791,0.799,-1,-1,0,0
2023-03-06,0.814,0.814,0.791,0.811,-1,-1,0,0
2023-03-07,0.811,0.82,0.79,0.79,-1,-1,0,0
2023-03-08,0.798,0.813,0.786,0.791,-1,-1,0,0
2023-03-09,0.805,0.805,0.782,0.785,-1,-1,0,0
2023-03-10,0.804,0.804,0.761,0.794,-1,-1,0,0
2023-03-13,0.796,0.796,0.742,0.758,-1,-1,0,0
2023-03-14,0.786,0.788,0.75,0.788,-1,-1,0,0
2023-03-15,0.794,0.794,0.741,0.76,-1,-1,0,0
2023-03-16,0.773,0.773,0.72,0.728,-1,-1,0,0
2023-03-17,0.752,0.752,0.729,0.75,-1,-1,0,0
2023-03-20,0.758,0.758,0.72,0.742,-1,-1,0,0
2023-03-21,0.73,0.742,0.695,0.71,-1,-1,0,0
2023-03-22,0.729,0.73,0.7,0.719,-1,-1,0,0
2023-03-23,0.731,0.738,0.7,0.731,-1,-1,0,0
2023-03-24,0.744,0.744,0.702,0.714,-1,-1,0,0
2023-03-27,0.742,0.742,0.71,0.715,-1,-1,0,0
2023-03-28,0.738,0.738,0.708,0.71,-1,-1,0,0
2023-03-29,0.703,0.736,0.69,0.734,-1,-1,0,0
2023-03-30,0.735,0.772,0.72,0.772,-1,-1,0,0
2023-03-31,0.772,0.773,0.73,0.745,-1,-1,0,0
2023-04-03,0.765,0.765,0.735,0.763,-1,-1,0,0
2023-04-04,0.764,0.788,0.757,0.776,-1,-1,0,0
2023-04-05,0.773,0.783,0.751,0.778,-1,-1,0,0
2023-04-06,0.778,0.778,0.751,0.778,-1,-1,0,0
2023-04-11,0.778,0.778,0.752,0.778,-1,-1,0,0
2023-04-12,0.754,0.765,0.737,0.752,-1,-1,0,0
2023-04-13,0.769,0.769,0.732,0.766,-1,-1,0,0
2023-04-14,0.766,0.783,0.72,0.78,-1,-1,0,0
2023-04-17,0.78,0.78,0.742,0.747,-1,-1,0,0
2023-04-18,0.769,0.776,0.747,0.749,-1,-1,0,0
2023-04-19,0.745,0.768,0.745,0.748,-1,-1,0,0
2023-04-20,0.774,0.774,0.74,0.761,-1,-1,0,0
2023-04-21,0.775,0.775,0.733,0.76,-1,-1,0,0
2023-04-24,0.765,0.774,0.738,0.746,-1,-1,0,0
2023-04-25,0.775,0.777,0.75,0.776,-1,-1,0,0
2023-04-26,0.777,0.777,0.75,0.776,-1,-1,0,0
2023-04-27,0.777,0.777,0.75,0.77,-1,-1,0,0
2023-04-28,0.77,0.772,0.752,0.76,-1,-1,0,0
2023-05-02,0.77,0.77,0.752,0.77,-1,-1,0,0
2023-05-04,0.774,0.774,0.755,0.76,-1,-1,0,0
2023-05-05,0.76,0.774,0.741,0.77,-1,-1,0,0
2023-05-08,0.769,0.769,0.742,0.76,-1,-1,0,0
2023-05-09,0.767,0.767,0.738,0.763,-1,-1,0,0
2023-05-10,0.763,0.764,0.72,0.764,-1,-1,0,0
2023-05-11,0.764,0.765,0.721,0.762,-1,-1,0,0
2023-05-12,0.722,0.763,0.722,0.754,-1,-1,0,0
2023-05-15,0.754,0.754,0.722,0.731,-1,-1,0,0
2023-05-16,0.751,0.754,0.723,0.753,-1,-1,0,0
2023-05-17,0.75,0.75,0.715,0.718,-1,-1,0,0
2023-05-18,0.746,0.767,0.719,0.765,-1,-1,0,0
2023-05-19,0.767,0.767,0.74,0.744,-1,-1,0,0
2023-05-22,0.74,0.758,0.73,0.731,-1,-1,0,0
2023-05-23,0.74,0.758,0.72,0.751,-1,-1,0,0
2023-05-24,0.75,0.774,0.73,0.768,-1,-1,0,0
2023-05-25,0.73,0.78,0.73,0.775,-1,-1,0,0
2023-05-26,0.778,1.162,0.75,1.16,-1,-1,0,0
2023-05-29,1.3,1.398,1.03,1.038,-1,-1,0,0
2023-05-30,1.04,1.046,0.905,0.952,-1,-1,0,0
2023-05-31,0.903,0.949,0.871,0.874,-1,-1,0,0
2023-06-01,0.895,0.91,0.863,0.897,-1,-1,0,0
2023-06-02,0.897,0.968,0.87,0.96,-1,-1,0,0
2023-06-05,0.941,0.958,0.92,0.936,-1,-1,0,0
2023-06-06,0.94,0.994,0.94,0.96,-1,-1,0,0
2023-06-07,0.984,0.984,0.924,0.969,-1,-1,0,0
2023-06-09,0.945,1.02,0.945,0.98,-1,-1,0,0
