Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-09-19,95.1,97.46,87.9,88.91,-1,-1,0,0
2022-09-20,89.8,90.65,87.82,89.29,-1,-1,0,0
2022-09-21,88.42,90.23,86.72,87.92,-1,-1,0,0
2022-09-22,86.7,91.5,86.05,88.49,-1,-1,0,0
2022-09-23,90.0,93.63,88.5,90.49,-1,-1,0,0
2022-09-26,94.97,104.0,91.11,102.68,-1,-1,0,0
2022-09-27,102.32,106.98,100.02,104.06,-1,-1,0,0
2022-09-28,103.0,106.5,100.7,105.76,-1,-1,0,0
2022-09-29,107.0,108.5,97.82,98.62,-1,-1,0,0
2022-09-30,98.62,101.96,97.0,100.2,-1,-1,0,0
2022-10-03,100.0,105.92,96.6,105.34,-1,-1,0,0
2022-10-04,107.0,109.5,105.72,108.4,-1,-1,0,0
2022-10-05,118.34,123.32,109.52,110.26,-1,-1,0,0
2022-10-06,112.98,113.0,108.6,111.54,-1,-1,0,0
2022-10-07,111.0,116.22,109.02,116.22,-1,-1,0,0
2022-10-10,114.9,116.14,113.0,114.68,-1,-1,0,0
2022-10-11,114.5,120.8,112.38,120.8,-1,-1,0,0
2022-10-12,120.8,120.8,114.0,114.8,-1,-1,0,0
2022-10-13,114.0,116.9,111.28,112.06,-1,-1,0,0
2022-10-14,115.0,117.22,113.02,113.76,-1,-1,0,0
2022-10-17,114.5,117.98,113.36,117.96,-1,-1,0,0
2022-10-18,119.2,125.88,118.34,121.22,-1,-1,0,0
2022-10-19,122.66,123.34,118.72,118.72,-1,-1,0,0
2022-10-20,120.0,120.48,116.94,118.92,-1,-1,0,0
2022-10-21,117.98,122.3,117.2,118.6,-1,-1,0,0
2022-10-24,120.0,124.86,119.5,121.0,-1,-1,0,0
2022-10-25,120.5,121.08,117.54,118.26,-1,-1,0,0
2022-10-26,118.26,123.4,117.3,122.46,-1,-1,0,0
2022-10-27,122.46,122.46,118.5,120.1,-1,-1,0,0
2022-10-28,119.5,124.7,118.54,124.0,-1,-1,0,0
2022-10-31,124.0,128.6,122.7,127.1,-1,-1,0,0
2022-11-02,127.5,136.5,126.18,136.22,-1,-1,0,0
2022-11-03,133.0,135.48,130.3,134.24,-1,-1,0,0
2022-11-04,135.0,140.0,133.92,139.18,-1,-1,0,0
2022-11-07,139.98,142.42,133.02,136.28,-1,-1,0,0
2022-11-08,136.0,137.14,131.94,136.08,-1,-1,0,0
2022-11-09,135.7,137.06,133.54,136.32,-1,-1,0,0
2022-11-10,135.9,143.0,134.92,140.8,-1,-1,0,0
2022-11-14,141.0,148.98,141.0,145.56,-1,-1,0,0
2022-11-15,149.0,149.6,143.56,147.5,-1,-1,0,0
2022-11-16,145.5,150.22,145.0,145.18,-1,-1,0,0
2022-11-17,147.06,148.88,143.2,146.84,-1,-1,0,0
2022-11-18,147.34,153.5,144.9,145.0,-1,-1,0,0
2022-11-21,144.7,145.9,135.04,139.28,-1,-1,0,0
2022-11-22,140.0,143.84,137.14,137.94,-1,-1,0,0
2022-11-23,138.8,141.98,137.18,138.6,-1,-1,0,0
2022-11-24,140.0,143.38,140.0,141.38,-1,-1,0,0
2022-11-25,141.0,144.6,140.0,140.0,-1,-1,0,0
2022-11-28,140.0,140.96,137.34,138.52,-1,-1,0,0
2022-11-29,142.02,142.62,128.48,131.48,-1,-1,0,0
2022-11-30,131.48,134.32,128.72,130.98,-1,-1,0,0
2022-12-01,133.0,134.5,123.4,123.58,-1,-1,0,0
2022-12-02,124.0,129.5,121.24,127.32,-1,-1,0,0
2022-12-05,128.68,132.84,127.5,127.8,-1,-1,0,0
2022-12-06,128.0,131.5,125.68,130.76,-1,-1,0,0
2022-12-07,130.76,130.76,128.08,128.5,-1,-1,0,0
2022-12-08,129.0,129.8,125.1,126.48,-1,-1,0,0
2022-12-09,127.5,132.2,126.5,131.38,-1,-1,0,0
2022-12-12,132.0,136.7,130.0,134.52,-1,-1,0,0
2022-12-13,135.48,139.8,133.8,137.02,-1,-1,0,0
2022-12-14,137.1,143.0,136.38,142.6,-1,-1,0,0
2022-12-15,141.0,141.0,129.9,129.9,-1,-1,0,0
2022-12-16,129.3,134.7,126.66,132.64,-1,-1,0,0
2022-12-19,133.0,133.58,128.2,128.74,-1,-1,0,0
2022-12-20,127.2,129.52,126.66,128.0,-1,-1,0,0
2022-12-21,128.0,130.74,127.82,130.1,-1,-1,0,0
2022-12-22,130.0,130.64,126.82,127.1,-1,-1,0,0
2022-12-23,127.2,130.5,125.82,129.3,-1,-1,0,0
2022-12-27,130.0,130.0,126.84,127.04,-1,-1,0,0
2022-12-28,127.0,128.96,125.52,125.68,-1,-1,0,0
2022-12-29,126.0,129.3,126.0,128.86,-1,-1,0,0
2022-12-30,128.0,130.38,128.0,129.64,-1,-1,0,0
2023-01-02,129.0,131.74,128.66,129.34,-1,-1,0,0
2023-01-03,130.0,132.08,128.2,129.0,-1,-1,0,0
2023-01-04,130.6,130.6,126.7,127.5,-1,-1,0,0
2023-01-05,127.2,134.12,127.1,132.56,-1,-1,0,0
2023-01-09,132.6,136.0,131.3,133.74,-1,-1,0,0
2023-01-10,132.26,138.64,131.5,138.16,-1,-1,0,0
2023-01-11,138.34,139.38,134.3,135.76,-1,-1,0,0
2023-01-12,135.7,135.8,128.66,129.94,-1,-1,0,0
2023-01-13,130.2,134.2,130.08,132.14,-1,-1,0,0
2023-01-16,133.0,133.4,128.82,128.82,-1,-1,0,0
2023-01-17,129.0,131.16,127.2,129.4,-1,-1,0,0
2023-01-18,129.22,134.8,129.22,133.28,-1,-1,0,0
2023-01-19,131.18,134.5,130.12,132.5,-1,-1,0,0
2023-01-20,132.9,134.6,131.6,132.52,-1,-1,0,0
2023-01-23,132.54,135.98,132.54,135.7,-1,-1,0,0
2023-01-24,135.7,137.3,132.9,133.92,-1,-1,0,0
2023-01-25,133.0,133.38,131.0,131.52,-1,-1,0,0
2023-01-26,133.36,135.6,132.54,134.66,-1,-1,0,0
2023-01-27,135.0,136.42,133.4,133.9,-1,-1,0,0
2023-01-30,133.5,134.0,131.2,132.8,-1,-1,0,0
2023-01-31,134.24,140.32,133.0,139.32,-1,-1,0,0
2023-02-01,139.5,141.84,137.18,138.28,-1,-1,0,0
2023-02-02,141.5,148.16,140.14,145.78,-1,-1,0,0
2023-02-03,146.98,148.54,144.56,146.8,-1,-1,0,0
2023-02-06,145.6,145.94,141.32,142.56,-1,-1,0,0
2023-02-07,141.98,141.98,136.02,141.28,-1,-1,0,0
2023-02-08,142.56,145.4,141.52,141.7,-1,-1,0,0
2023-02-09,143.0,143.66,141.1,141.48,-1,-1,0,0
2023-02-10,140.68,141.1,136.18,138.64,-1,-1,0,0
2023-02-13,139.6,140.38,137.0,138.9,-1,-1,0,0
2023-02-14,140.5,143.0,133.8,134.24,-1,-1,0,0
2023-02-15,133.7,138.5,133.3,138.4,-1,-1,0,0
2023-02-16,139.16,140.64,136.8,139.52,-1,-1,0,0
2023-02-17,139.0,139.34,135.82,135.82,-1,-1,0,0
2023-02-20,136.24,137.74,135.1,136.34,-1,-1,0,0
2023-02-21,136.0,136.0,131.22,131.22,-1,-1,0,0
2023-02-22,131.2,132.56,129.16,131.94,-1,-1,0,0
2023-02-23,132.06,135.86,132.06,134.5,-1,-1,0,0
2023-02-24,134.14,134.14,129.46,129.52,-1,-1,0,0
2023-02-27,130.0,133.04,129.38,132.12,-1,-1,0,0
2023-02-28,132.12,133.84,130.7,132.4,-1,-1,0,0
2023-03-01,133.86,135.6,131.9,132.26,-1,-1,0,0
2023-03-02,132.0,132.3,129.42,130.8,-1,-1,0,0
2023-03-03,132.0,133.54,129.7,130.66,-1,-1,0,0
2023-03-06,132.0,132.5,130.2,132.2,-1,-1,0,0
2023-03-07,132.5,134.8,131.4,133.46,-1,-1,0,0
2023-03-08,134.68,134.68,131.46,132.26,-1,-1,0,0
2023-03-09,132.0,133.78,131.46,132.18,-1,-1,0,0
2023-03-10,130.9,131.2,127.62,128.7,-1,-1,0,0
2023-03-13,128.72,130.04,120.8,127.08,-1,-1,0,0
2023-03-14,127.04,132.4,127.0,130.0,-1,-1,0,0
2023-03-15,130.0,132.56,128.82,129.36,-1,-1,0,0
2023-03-16,131.5,135.4,130.0,135.4,-1,-1,0,0
2023-03-17,135.2,136.3,130.28,131.0,-1,-1,0,0
2023-03-20,130.0,132.28,128.82,130.72,-1,-1,0,0
2023-03-21,125.5,127.7,114.9,116.46,-1,-1,0,0
2023-03-22,115.44,116.4,112.32,112.78,-1,-1,0,0
2023-03-23,112.22,113.2,109.22,110.0,-1,-1,0,0
2023-03-24,110.0,113.2,109.52,110.6,-1,-1,0,0
2023-03-27,111.5,114.36,110.52,114.06,-1,-1,0,0
2023-03-28,114.76,114.78,108.9,109.0,-1,-1,0,0
2023-03-29,110.0,110.84,105.52,110.18,-1,-1,0,0
2023-03-30,110.22,114.7,109.74,113.28,-1,-1,0,0
2023-03-31,120.0,124.4,111.22,111.22,-1,-1,0,0
2023-04-03,110.94,111.0,106.44,108.06,-1,-1,0,0
2023-04-04,109.6,110.1,107.94,108.44,-1,-1,0,0
2023-04-05,109.1,109.1,107.0,107.84,-1,-1,0,0
2023-04-06,107.8,108.66,106.0,106.2,-1,-1,0,0
2023-04-11,107.3,107.88,103.92,105.64,-1,-1,0,0
2023-04-12,105.6,110.28,105.3,108.84,-1,-1,0,0
2023-04-13,108.84,110.18,108.5,110.0,-1,-1,0,0
2023-04-14,110.9,112.82,110.4,110.74,-1,-1,0,0
2023-04-17,111.8,113.2,110.14,110.94,-1,-1,0,0
2023-04-18,111.76,111.94,109.52,109.7,-1,-1,0,0
2023-04-19,109.38,110.0,107.84,109.2,-1,-1,0,0
2023-04-20,109.65,110.6,108.5,109.65,-1,-1,0,0
2023-04-21,109.0,111.9,108.45,110.8,-1,-1,0,0
2023-04-24,111.4,111.75,109.6,110.3,-1,-1,0,0
2023-04-25,110.5,112.25,110.1,111.0,-1,-1,0,0
2023-04-26,111.2,112.8,110.5,111.95,-1,-1,0,0
2023-04-27,111.6,114.5,110.9,114.0,-1,-1,0,0
2023-04-28,114.1,115.2,113.1,113.3,-1,-1,0,0
