Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-02-24,3.87,3.87,3.83,3.86,-1,-1,0,0
2023-02-27,3.87,3.89,3.86,3.89,-1,-1,0,0
2023-02-28,3.89,3.99,3.87,3.93,-1,-1,0,0
2023-03-01,3.95,3.99,3.91,3.99,-1,-1,0,0
2023-03-02,3.99,4.08,3.91,3.99,-1,-1,0,0
2023-03-03,3.98,4.05,3.98,4.01,-1,-1,0,0
2023-03-06,4.05,4.08,4.0,4.05,-1,-1,0,0
2023-03-07,4.07,4.07,3.94,3.94,-1,-1,0,0
2023-03-08,3.98,4.08,3.98,4.08,-1,-1,0,0
2023-03-09,4.0,4.1,3.95,4.04,-1,-1,0,0
2023-03-10,4.06,4.06,3.98,4.02,-1,-1,0,0
2023-03-13,4.06,4.06,3.92,3.96,-1,-1,0,0
2023-03-14,4.0,4.0,4.0,4.0,-1,-1,0,0
2023-03-15,4.0,4.0,3.9,3.94,-1,-1,0,0
2023-03-16,3.96,3.96,3.87,3.9,-1,-1,0,0
2023-03-17,3.95,3.95,3.9,3.9,-1,-1,0,0
2023-03-20,3.9,3.94,3.87,3.9,-1,-1,0,0
2023-03-21,3.92,3.95,3.9,3.9,-1,-1,0,0
2023-03-22,3.95,3.95,3.88,3.95,-1,-1,0,0
2023-03-23,3.95,3.95,3.92,3.94,-1,-1,0,0
2023-03-24,3.94,3.94,3.84,3.85,-1,-1,0,0
2023-03-27,3.84,3.89,3.84,3.87,-1,-1,0,0
2023-03-28,3.89,3.93,3.87,3.9,-1,-1,0,0
2023-03-29,3.9,3.9,3.83,3.83,-1,-1,0,0
2023-03-30,3.84,3.84,3.8,3.82,-1,-1,0,0
2023-03-31,3.82,3.84,3.79,3.83,-1,-1,0,0
2023-04-03,3.83,3.86,3.8,3.82,-1,-1,0,0
2023-04-04,3.82,3.85,3.8,3.82,-1,-1,0,0
2023-04-05,3.84,3.84,3.8,3.8,-1,-1,0,0
2023-04-06,3.81,3.81,3.78,3.78,-1,-1,0,0
2023-04-11,3.78,3.85,3.78,3.85,-1,-1,0,0
2023-04-12,3.83,3.83,3.78,3.82,-1,-1,0,0
2023-04-13,3.82,3.82,3.75,3.82,-1,-1,0,0
2023-04-14,3.82,3.89,3.78,3.89,-1,-1,0,0
2023-04-17,3.9,3.91,3.85,3.85,-1,-1,0,0
2023-04-18,3.85,3.85,3.82,3.85,-1,-1,0,0
2023-04-19,3.85,3.9,3.85,3.89,-1,-1,0,0
2023-04-20,3.89,3.89,3.83,3.83,-1,-1,0,0
2023-04-21,3.83,3.83,3.77,3.8,-1,-1,0,0
2023-04-24,3.83,3.83,3.8,3.8,-1,-1,0,0
2023-04-25,3.82,3.82,3.77,3.78,-1,-1,0,0
2023-04-26,3.8,3.8,3.73,3.78,-1,-1,0,0
2023-04-27,3.79,3.81,3.69,3.75,-1,-1,0,0
2023-04-28,3.74,3.74,3.71,3.71,-1,-1,0,0
2023-05-02,3.72,3.72,3.66,3.7,-1,-1,0,0
2023-05-04,3.7,3.74,3.68,3.72,-1,-1,0,0
2023-05-05,3.74,3.74,3.68,3.71,-1,-1,0,0
2023-05-08,3.71,3.74,3.7,3.74,-1,-1,0,0
2023-05-09,3.74,3.74,3.7,3.74,-1,-1,0,0
2023-05-10,3.74,3.74,3.68,3.7,-1,-1,0,0
2023-05-11,3.71,3.71,3.53,3.55,-1,-1,0,0
2023-05-12,3.59,3.62,3.59,3.62,-1,-1,0,0
2023-05-15,3.6,3.65,3.6,3.65,-1,-1,0,0
2023-05-16,3.66,3.66,3.62,3.65,-1,-1,0,0
2023-05-17,3.65,3.73,3.65,3.73,-1,-1,0,0
2023-05-18,3.73,3.74,3.73,3.74,-1,-1,0,0
2023-05-19,3.75,3.8,3.73,3.78,-1,-1,0,0
2023-05-22,3.8,3.82,3.76,3.8,-1,-1,0,0
2023-05-23,3.8,3.82,3.77,3.8,-1,-1,0,0
2023-05-24,3.8,3.82,3.77,3.79,-1,-1,0,0
2023-05-25,3.79,3.8,3.77,3.8,-1,-1,0,0
2023-05-26,3.81,3.83,3.78,3.83,-1,-1,0,0
2023-05-29,3.85,3.85,3.78,3.8,-1,-1,0,0
2023-05-30,3.84,3.84,3.8,3.82,-1,-1,0,0
2023-05-31,3.85,3.85,3.75,3.75,-1,-1,0,0
2023-06-01,3.75,3.81,3.7,3.71,-1,-1,0,0
2023-06-02,3.75,3.79,3.7,3.76,-1,-1,0,0
2023-06-05,3.77,3.78,3.75,3.78,-1,-1,0,0
2023-06-06,3.8,3.85,3.8,3.85,-1,-1,0,0
2023-06-07,3.8,3.84,3.8,3.84,-1,-1,0,0
2023-06-09,3.85,3.85,3.79,3.84,-1,-1,0,0
2023-06-12,3.85,3.88,3.84,3.88,-1,-1,0,0
2023-06-13,3.88,3.89,3.84,3.88,-1,-1,0,0
2023-06-14,3.84,3.88,3.82,3.88,-1,-1,0,0
2023-06-15,3.88,3.88,3.78,3.8,-1,-1,0,0
2023-06-16,3.86,3.86,3.84,3.84,-1,-1,0,0
2023-06-19,3.86,3.86,3.84,3.86,-1,-1,0,0
2023-06-20,3.86,3.87,3.77,3.83,-1,-1,0,0
2023-06-21,3.87,3.87,3.84,3.85,-1,-1,0,0
2023-06-22,3.85,3.87,3.73,3.78,-1,-1,0,0
2023-06-23,3.81,3.86,3.75,3.8,-1,-1,0,0
2023-06-26,3.66,3.66,3.58,3.58,-1,-1,0,0
2023-06-27,3.63,3.65,3.5,3.5,-1,-1,0,0
2023-06-28,3.56,3.56,3.51,3.56,-1,-1,0,0
2023-06-29,3.56,3.57,3.55,3.57,-1,-1,0,0
2023-06-30,3.57,3.6,3.56,3.6,-1,-1,0,0
2023-07-03,3.64,3.64,3.57,3.6,-1,-1,0,0
2023-07-04,3.62,3.62,3.6,3.62,-1,-1,0,0
2023-07-05,3.62,3.63,3.56,3.56,-1,-1,0,0
2023-07-06,3.63,3.63,3.55,3.62,-1,-1,0,0
2023-07-07,3.62,3.64,3.59,3.59,-1,-1,0,0
2023-07-10,3.65,3.65,3.55,3.62,-1,-1,0,0
2023-07-11,3.61,3.61,3.57,3.59,-1,-1,0,0
2023-07-12,3.61,3.65,3.61,3.61,-1,-1,0,0
2023-07-13,3.64,3.64,3.61,3.64,-1,-1,0,0
2023-07-14,3.64,3.69,3.62,3.65,-1,-1,0,0
2023-07-17,3.66,3.78,3.66,3.78,-1,-1,0,0
2023-07-18,3.78,3.78,3.74,3.75,-1,-1,0,0
2023-07-19,3.77,3.77,3.71,3.75,-1,-1,0,0
2023-07-20,3.75,3.78,3.75,3.78,-1,-1,0,0
2023-07-21,3.77,3.77,3.68,3.76,-1,-1,0,0
2023-07-24,3.76,3.76,3.65,3.67,-1,-1,0,0
2023-07-25,3.71,3.71,3.67,3.7,-1,-1,0,0
2023-07-26,3.7,3.7,3.66,3.66,-1,-1,0,0
2023-07-27,3.7,3.7,3.66,3.7,-1,-1,0,0
2023-07-28,3.7,3.7,3.65,3.68,-1,-1,0,0
2023-07-31,3.65,3.7,3.65,3.69,-1,-1,0,0
2023-08-01,3.7,3.74,3.64,3.7,-1,-1,0,0
2023-08-02,3.7,3.7,3.64,3.7,-1,-1,0,0
2023-08-03,3.7,3.7,3.63,3.63,-1,-1,0,0
2023-08-04,3.68,3.69,3.64,3.64,-1,-1,0,0
2023-08-07,3.69,3.69,3.64,3.66,-1,-1,0,0
2023-08-08,3.68,3.69,3.68,3.68,-1,-1,0,0
2023-08-09,3.68,3.68,3.62,3.62,-1,-1,0,0
2023-08-10,3.67,3.74,3.62,3.64,-1,-1,0,0
2023-08-11,3.63,3.69,3.63,3.69,-1,-1,0,0
2023-08-14,3.68,3.69,3.63,3.63,-1,-1,0,0
2023-08-16,3.68,3.68,3.62,3.62,-1,-1,0,0
2023-08-17,3.68,3.68,3.62,3.66,-1,-1,0,0
2023-08-18,3.66,3.66,3.65,3.65,-1,-1,0,0
2023-08-21,3.66,3.68,3.66,3.66,-1,-1,0,0
2023-08-22,3.65,3.66,3.56,3.65,-1,-1,0,0
2023-08-23,3.68,3.68,3.62,3.62,-1,-1,0,0
2023-08-24,3.62,3.65,3.62,3.65,-1,-1,0,0
2023-08-25,3.6,3.64,3.58,3.59,-1,-1,0,0
2023-08-28,3.58,3.6,3.56,3.6,-1,-1,0,0
2023-08-29,3.58,3.6,3.58,3.6,-1,-1,0,0
2023-08-30,3.61,3.65,3.57,3.65,-1,-1,0,0
2023-08-31,3.6,3.69,3.6,3.69,-1,-1,0,0
