Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-14,122.25,128.2,122.25,127.2,-1,-1,0,0
2022-11-15,128.85,129.75,121.35,124.75,-1,-1,0,0
2022-11-16,121.0,124.65,118.0,122.6,-1,-1,0,0
2022-11-17,123.0,124.4,115.1,115.1,-1,-1,0,0
2022-11-18,115.6,117.2,112.5,113.95,-1,-1,0,0
2022-11-21,113.0,113.0,109.7,109.7,-1,-1,0,0
2022-11-22,110.0,116.3,110.0,114.35,-1,-1,0,0
2022-11-23,116.0,117.0,114.5,115.4,-1,-1,0,0
2022-11-24,116.7,117.0,115.5,117.0,-1,-1,0,0
2022-11-25,116.9,117.2,115.1,115.6,-1,-1,0,0
2022-11-28,114.4,114.65,112.4,112.4,-1,-1,0,0
2022-11-29,113.3,116.75,113.15,115.4,-1,-1,0,0
2022-11-30,115.2,120.0,112.6,115.8,-1,-1,0,0
2022-12-01,119.8,120.9,116.8,119.95,-1,-1,0,0
2022-12-02,119.85,119.85,116.25,118.2,-1,-1,0,0
2022-12-05,118.85,123.35,118.85,121.25,-1,-1,0,0
2022-12-06,120.0,120.95,117.6,120.4,-1,-1,0,0
2022-12-07,118.8,120.65,117.6,120.15,-1,-1,0,0
2022-12-08,120.5,122.5,118.8,122.2,-1,-1,0,0
2022-12-09,123.5,123.7,120.95,121.55,-1,-1,0,0
2022-12-12,121.5,121.5,119.05,120.5,-1,-1,0,0
2022-12-13,121.0,129.1,119.35,127.8,-1,-1,0,0
2022-12-14,127.5,129.6,126.0,128.25,-1,-1,0,0
2022-12-15,125.75,126.9,124.0,125.95,-1,-1,0,0
2022-12-16,124.0,126.7,121.55,124.35,-1,-1,0,0
2022-12-19,125.0,126.25,123.8,123.8,-1,-1,0,0
2022-12-20,122.1,125.8,121.35,125.6,-1,-1,0,0
2022-12-21,125.95,128.7,125.1,128.7,-1,-1,0,0
2022-12-22,127.9,128.4,123.55,123.8,-1,-1,0,0
2022-12-23,123.5,125.25,122.4,124.1,-1,-1,0,0
2022-12-27,127.0,127.35,125.05,125.4,-1,-1,0,0
2022-12-28,125.3,127.15,124.7,125.35,-1,-1,0,0
2022-12-29,125.8,129.45,124.5,128.35,-1,-1,0,0
2022-12-30,127.7,128.45,126.35,126.75,-1,-1,0,0
2023-01-02,126.75,128.5,126.75,127.65,-1,-1,0,0
2023-01-03,128.1,132.05,128.1,130.5,-1,-1,0,0
2023-01-04,131.0,132.85,129.05,132.5,-1,-1,0,0
2023-01-05,132.0,138.7,130.95,136.5,-1,-1,0,0
2023-01-09,141.5,148.1,141.0,148.1,-1,-1,0,0
2023-01-10,146.9,150.85,144.0,150.85,-1,-1,0,0
2023-01-11,151.9,154.7,149.3,150.55,-1,-1,0,0
2023-01-12,150.8,154.7,149.8,151.1,-1,-1,0,0
2023-01-13,151.0,154.4,150.2,153.8,-1,-1,0,0
2023-01-16,154.0,154.25,149.0,150.3,-1,-1,0,0
2023-01-17,149.1,151.8,147.95,148.85,-1,-1,0,0
2023-01-18,151.0,153.75,149.25,152.65,-1,-1,0,0
2023-01-19,149.6,149.6,143.8,146.4,-1,-1,0,0
2023-01-20,147.0,148.15,144.5,144.5,-1,-1,0,0
2023-01-23,146.0,151.15,146.0,147.8,-1,-1,0,0
2023-01-24,149.75,152.6,147.0,148.7,-1,-1,0,0
2023-01-25,148.0,151.05,146.95,148.15,-1,-1,0,0
2023-01-26,150.0,151.0,148.7,149.25,-1,-1,0,0
2023-01-27,149.7,150.25,146.2,146.2,-1,-1,0,0
2023-01-30,145.8,145.8,142.65,143.7,-1,-1,0,0
