Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-10-31,33.0,34.0,32.6,33.5,-1,-1,0,0
2022-11-02,33.9,34.0,33.1,33.4,-1,-1,0,0
2022-11-03,33.4,34.0,33.1,33.1,-1,-1,0,0
2022-11-04,33.5,33.6,32.2,33.5,-1,-1,0,0
2022-11-07,33.5,34.0,32.7,32.7,-1,-1,0,0
2022-11-08,34.0,34.0,31.7,32.0,-1,-1,0,0
2022-11-09,32.5,32.7,31.0,31.7,-1,-1,0,0
2022-11-10,31.5,32.0,30.1,31.5,-1,-1,0,0
2022-11-14,31.5,33.1,31.5,32.9,-1,-1,0,0
2022-11-15,33.1,34.0,33.0,33.8,-1,-1,0,0
2022-11-16,33.5,34.0,33.2,33.4,-1,-1,0,0
2022-11-17,33.8,33.8,33.5,33.5,-1,-1,0,0
2022-11-18,33.4,34.1,33.2,33.5,-1,-1,0,0
2022-11-21,34.1,36.4,33.2,35.4,-1,-1,0,0
2022-11-22,35.4,36.9,35.0,36.4,-1,-1,0,0
2022-11-23,36.8,38.6,36.8,37.5,-1,-1,0,0
2022-11-24,38.6,39.0,37.0,37.6,-1,-1,0,0
2022-11-25,38.5,38.7,36.8,37.8,-1,-1,0,0
2022-11-28,37.7,37.7,36.1,36.5,-1,-1,0,0
2022-11-29,36.5,39.0,35.6,36.9,-1,-1,0,0
2022-11-30,36.9,37.4,36.2,36.2,-1,-1,0,0
2022-12-01,37.9,37.9,35.8,36.2,-1,-1,0,0
2022-12-02,36.2,36.2,35.4,36.0,-1,-1,0,0
2022-12-05,36.0,36.9,35.6,36.9,-1,-1,0,0
2022-12-06,37.0,37.1,36.5,36.9,-1,-1,0,0
2022-12-07,36.9,36.9,36.5,36.7,-1,-1,0,0
2022-12-08,37.0,37.0,35.8,36.5,-1,-1,0,0
2022-12-09,37.0,37.2,36.0,36.8,-1,-1,0,0
2022-12-12,37.0,37.0,36.2,36.5,-1,-1,0,0
2022-12-13,36.8,36.9,36.0,36.7,-1,-1,0,0
2022-12-14,36.8,37.0,36.6,37.0,-1,-1,0,0
2022-12-15,37.0,37.0,36.7,36.7,-1,-1,0,0
2022-12-16,36.3,36.5,35.5,36.5,-1,-1,0,0
2022-12-19,35.9,36.9,35.9,36.6,-1,-1,0,0
2022-12-20,36.6,36.9,35.6,35.7,-1,-1,0,0
2022-12-21,35.9,35.9,35.6,35.6,-1,-1,0,0
2022-12-22,35.8,36.6,34.3,35.7,-1,-1,0,0
2022-12-23,36.0,36.5,36.0,36.5,-1,-1,0,0
2022-12-27,36.5,36.5,35.3,35.3,-1,-1,0,0
2022-12-28,35.3,35.8,35.2,35.8,-1,-1,0,0
2022-12-29,36.0,36.5,35.8,36.0,-1,-1,0,0
2022-12-30,36.5,36.5,35.7,35.9,-1,-1,0,0
2023-01-02,35.4,35.9,35.1,35.8,-1,-1,0,0
2023-01-03,35.8,35.8,35.2,35.8,-1,-1,0,0
2023-01-04,35.1,35.5,35.1,35.2,-1,-1,0,0
2023-01-05,35.4,35.8,35.3,35.5,-1,-1,0,0
2023-01-09,35.5,36.3,35.5,36.3,-1,-1,0,0
2023-01-10,36.2,37.0,36.1,36.9,-1,-1,0,0
2023-01-11,36.9,37.0,36.6,36.7,-1,-1,0,0
2023-01-12,36.9,37.0,36.6,37.0,-1,-1,0,0
2023-01-13,37.0,37.0,36.6,36.7,-1,-1,0,0
2023-01-16,36.6,37.0,36.5,37.0,-1,-1,0,0
2023-01-17,37.0,37.0,36.5,36.9,-1,-1,0,0
2023-01-18,37.0,37.0,36.2,36.2,-1,-1,0,0
2023-01-19,36.2,36.2,35.3,36.2,-1,-1,0,0
2023-01-20,36.3,36.9,36.0,36.8,-1,-1,0,0
2023-01-23,37.0,38.1,36.5,38.1,-1,-1,0,0
2023-01-24,38.3,39.0,36.6,37.4,-1,-1,0,0
2023-01-25,37.5,38.5,37.5,37.9,-1,-1,0,0
2023-01-26,38.1,39.0,37.6,38.6,-1,-1,0,0
2023-01-27,38.7,39.5,38.3,39.5,-1,-1,0,0
