Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-10-10,2.535,2.54,2.49,2.51,-1,-1,0,0
2022-10-11,2.53,2.54,2.52,2.54,-1,-1,0,0
2022-10-12,2.51,2.54,2.51,2.54,-1,-1,0,0
2022-10-13,2.53,2.54,2.52,2.54,-1,-1,0,0
2022-10-14,2.54,2.55,2.51,2.55,-1,-1,0,0
2022-10-17,2.55,2.55,2.525,2.55,-1,-1,0,0
2022-10-18,2.55,2.565,2.52,2.54,-1,-1,0,0
2022-10-19,2.52,2.55,2.52,2.545,-1,-1,0,0
2022-10-20,2.545,2.55,2.505,2.55,-1,-1,0,0
2022-10-21,2.55,2.55,2.55,2.55,-1,-1,0,0
2022-10-24,2.55,2.55,2.52,2.55,-1,-1,0,0
2022-10-25,2.55,2.58,2.505,2.545,-1,-1,0,0
2022-10-26,2.535,2.545,2.52,2.545,-1,-1,0,0
2022-10-27,2.54,2.55,2.53,2.55,-1,-1,0,0
2022-10-28,2.565,2.565,2.52,2.56,-1,-1,0,0
2022-10-31,2.56,2.56,2.53,2.56,-1,-1,0,0
2022-11-02,2.56,2.57,2.55,2.57,-1,-1,0,0
2022-11-03,2.55,2.59,2.55,2.56,-1,-1,0,0
2022-11-04,2.545,2.66,2.545,2.655,-1,-1,0,0
2022-11-07,2.67,2.68,2.65,2.68,-1,-1,0,0
2022-11-08,2.68,2.7,2.68,2.695,-1,-1,0,0
2022-11-09,2.685,2.695,2.66,2.69,-1,-1,0,0
2022-11-10,2.685,2.685,2.64,2.68,-1,-1,0,0
2022-11-14,2.68,2.69,2.64,2.66,-1,-1,0,0
2022-11-15,2.68,2.69,2.635,2.665,-1,-1,0,0
2022-11-16,2.63,2.64,2.61,2.64,-1,-1,0,0
2022-11-17,2.64,2.68,2.63,2.67,-1,-1,0,0
2022-11-18,2.65,2.7,2.65,2.69,-1,-1,0,0
2022-11-21,2.69,2.72,2.68,2.71,-1,-1,0,0
2022-11-22,2.725,2.725,2.59,2.61,-1,-1,0,0
2022-11-23,2.62,2.65,2.58,2.58,-1,-1,0,0
2022-11-24,2.64,2.64,2.52,2.58,-1,-1,0,0
2022-11-25,2.6,2.62,2.58,2.61,-1,-1,0,0
2022-11-28,2.61,2.63,2.6,2.615,-1,-1,0,0
2022-11-29,2.62,2.64,2.595,2.62,-1,-1,0,0
2022-11-30,2.63,2.63,2.55,2.6,-1,-1,0,0
2022-12-01,2.62,2.63,2.59,2.625,-1,-1,0,0
2022-12-02,2.63,2.64,2.6,2.64,-1,-1,0,0
2022-12-05,2.64,2.7,2.63,2.68,-1,-1,0,0
2022-12-06,2.69,2.695,2.66,2.69,-1,-1,0,0
2022-12-07,2.69,2.695,2.66,2.695,-1,-1,0,0
2022-12-08,2.695,2.7,2.65,2.68,-1,-1,0,0
2022-12-09,2.68,2.69,2.66,2.66,-1,-1,0,0
2022-12-12,2.66,2.675,2.645,2.675,-1,-1,0,0
2022-12-13,2.665,2.67,2.64,2.67,-1,-1,0,0
2022-12-14,2.67,2.68,2.645,2.65,-1,-1,0,0
2022-12-15,2.65,2.65,2.61,2.64,-1,-1,0,0
2022-12-16,2.64,2.64,2.61,2.63,-1,-1,0,0
2022-12-19,2.615,2.62,2.605,2.62,-1,-1,0,0
2022-12-20,2.6,2.64,2.6,2.62,-1,-1,0,0
2022-12-21,2.62,2.645,2.61,2.63,-1,-1,0,0
2022-12-22,2.63,2.63,2.6,2.625,-1,-1,0,0
2022-12-23,2.6,2.62,2.585,2.61,-1,-1,0,0
2022-12-27,2.6,2.61,2.55,2.56,-1,-1,0,0
2022-12-28,2.58,2.58,2.55,2.56,-1,-1,0,0
2022-12-29,2.56,2.645,2.56,2.645,-1,-1,0,0
2022-12-30,2.65,2.685,2.595,2.685,-1,-1,0,0
2023-01-02,2.63,2.69,2.63,2.64,-1,-1,0,0
2023-01-03,2.69,2.69,2.64,2.64,-1,-1,0,0
2023-01-04,2.65,2.66,2.64,2.645,-1,-1,0,0
2023-01-05,2.66,2.66,2.64,2.655,-1,-1,0,0
2023-01-09,2.655,2.66,2.64,2.645,-1,-1,0,0
2023-01-10,2.65,2.66,2.645,2.65,-1,-1,0,0
2023-01-11,2.655,2.655,2.645,2.645,-1,-1,0,0
2023-01-12,2.65,2.655,2.645,2.65,-1,-1,0,0
2023-01-13,2.65,2.66,2.645,2.645,-1,-1,0,0
2023-01-16,2.65,2.66,2.645,2.655,-1,-1,0,0
2023-01-17,2.655,2.66,2.65,2.66,-1,-1,0,0
2023-01-18,2.66,2.66,2.645,2.66,-1,-1,0,0
2023-01-19,2.67,2.685,2.66,2.685,-1,-1,0,0
2023-01-20,2.685,2.87,2.685,2.865,-1,-1,0,0
2023-01-23,2.87,2.87,2.81,2.86,-1,-1,0,0
2023-01-24,2.85,2.88,2.85,2.88,-1,-1,0,0
2023-01-25,2.86,2.9,2.825,2.88,-1,-1,0,0
2023-01-26,2.895,2.985,2.88,2.97,-1,-1,0,0
2023-01-27,2.98,2.985,2.91,2.91,-1,-1,0,0
2023-01-30,2.91,2.98,2.91,2.97,-1,-1,0,0
2023-01-31,2.95,2.975,2.935,2.97,-1,-1,0,0
2023-02-01,2.97,2.97,2.94,2.96,-1,-1,0,0
2023-02-02,2.96,2.96,2.9,2.935,-1,-1,0,0
2023-02-03,2.94,2.94,2.9,2.91,-1,-1,0,0
