Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-08-30,1.88,1.9,1.75,1.855,-1,-1,0,0
2022-08-31,1.84,1.84,1.66,1.66,-1,-1,0,0
2022-09-01,1.66,1.73,1.55,1.6,-1,-1,0,0
2022-09-02,1.55,1.64,1.49,1.64,-1,-1,0,0
2022-09-05,1.58,1.58,1.53,1.54,-1,-1,0,0
2022-09-06,1.53,1.595,1.51,1.54,-1,-1,0,0
2022-09-07,1.585,1.59,1.52,1.57,-1,-1,0,0
2022-09-08,1.54,1.575,1.52,1.575,-1,-1,0,0
2022-09-09,1.575,1.61,1.535,1.56,-1,-1,0,0
2022-09-12,1.56,1.57,1.535,1.57,-1,-1,0,0
2022-09-13,1.565,1.57,1.535,1.54,-1,-1,0,0
2022-09-14,1.545,1.65,1.535,1.61,-1,-1,0,0
2022-09-15,1.565,1.58,1.54,1.54,-1,-1,0,0
2022-09-16,1.54,1.545,1.51,1.51,-1,-1,0,0
2022-09-19,1.505,1.585,1.385,1.525,-1,-1,0,0
2022-09-20,1.525,1.53,1.45,1.525,-1,-1,0,0
2022-09-21,1.44,1.52,1.44,1.51,-1,-1,0,0
2022-09-22,1.495,1.53,1.455,1.53,-1,-1,0,0
2022-09-23,1.53,1.53,1.45,1.52,-1,-1,0,0
2022-09-26,1.46,1.51,1.44,1.495,-1,-1,0,0
2022-09-27,1.48,1.525,1.48,1.51,-1,-1,0,0
2022-09-28,1.47,1.47,1.46,1.46,-1,-1,0,0
2022-09-29,1.46,1.49,1.45,1.48,-1,-1,0,0
2022-09-30,1.43,1.465,1.41,1.465,-1,-1,0,0
2022-10-03,1.415,1.48,1.415,1.48,-1,-1,0,0
2022-10-04,1.47,1.51,1.44,1.5,-1,-1,0,0
2022-10-05,1.475,1.5,1.475,1.5,-1,-1,0,0
2022-10-06,1.5,1.5,1.5,1.5,-1,-1,0,0
2022-10-07,1.45,1.475,1.405,1.475,-1,-1,0,0
2022-10-10,1.425,1.445,1.405,1.445,-1,-1,0,0
2022-10-11,1.39,1.435,1.39,1.435,-1,-1,0,0
2022-10-12,1.465,1.465,1.4,1.465,-1,-1,0,0
2022-10-13,1.4,1.46,1.395,1.46,-1,-1,0,0
2022-10-14,1.48,1.49,1.48,1.49,-1,-1,0,0
2022-10-17,1.49,1.49,1.4,1.47,-1,-1,0,0
2022-10-18,1.425,1.46,1.42,1.46,-1,-1,0,0
2022-10-19,1.485,1.485,1.44,1.475,-1,-1,0,0
2022-10-20,1.44,1.475,1.415,1.475,-1,-1,0,0
2022-10-21,1.42,1.47,1.42,1.43,-1,-1,0,0
2022-10-24,1.45,1.45,1.4,1.44,-1,-1,0,0
2022-10-25,1.44,1.445,1.395,1.395,-1,-1,0,0
2022-10-26,1.395,1.45,1.38,1.45,-1,-1,0,0
2022-10-27,1.41,1.485,1.41,1.485,-1,-1,0,0
2022-10-28,1.485,1.495,1.44,1.495,-1,-1,0,0
2022-10-31,1.44,1.535,1.435,1.535,-1,-1,0,0
2022-11-02,1.45,1.53,1.45,1.475,-1,-1,0,0
2022-11-03,1.52,1.52,1.435,1.505,-1,-1,0,0
2022-11-04,1.445,1.535,1.445,1.535,-1,-1,0,0
2022-11-07,1.53,1.755,1.53,1.755,-1,-1,0,0
2022-11-08,1.715,1.8,1.62,1.795,-1,-1,0,0
2022-11-09,1.72,1.755,1.655,1.74,-1,-1,0,0
2022-11-10,1.745,1.75,1.635,1.695,-1,-1,0,0
2022-11-14,1.75,1.765,1.635,1.73,-1,-1,0,0
2022-11-15,1.685,1.95,1.655,1.905,-1,-1,0,0
2022-11-16,1.89,1.94,1.77,1.805,-1,-1,0,0
2022-11-17,1.805,1.915,1.78,1.915,-1,-1,0,0
2022-11-18,1.915,1.93,1.85,1.89,-1,-1,0,0
2022-11-21,1.935,1.935,1.835,1.86,-1,-1,0,0
2022-11-22,1.89,1.89,1.81,1.86,-1,-1,0,0
2022-11-23,1.83,1.99,1.83,1.98,-1,-1,0,0
2022-11-24,2.01,2.03,1.85,1.945,-1,-1,0,0
2022-11-25,1.9,1.9,1.82,1.84,-1,-1,0,0
2022-11-28,1.815,1.89,1.815,1.825,-1,-1,0,0
2022-11-29,1.825,1.845,1.645,1.845,-1,-1,0,0
