Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-07-19,3.86,3.96,3.805,3.92,-1,-1,0,0
2022-07-20,3.92,3.98,3.83,3.92,-1,-1,0,0
2022-07-21,3.92,3.975,3.845,3.9,-1,-1,0,0
2022-07-22,3.845,3.86,3.815,3.82,-1,-1,0,0
2022-07-25,3.82,3.87,3.8,3.815,-1,-1,0,0
2022-07-26,3.86,3.9,3.62,3.77,-1,-1,0,0
2022-07-27,3.96,3.96,3.64,3.75,-1,-1,0,0
2022-07-28,3.7,3.72,3.66,3.72,-1,-1,0,0
2022-07-29,3.65,3.7,3.65,3.65,-1,-1,0,0
2022-08-01,3.7,3.82,3.6,3.82,-1,-1,0,0
2022-08-02,3.8,3.99,3.775,3.81,-1,-1,0,0
2022-08-03,3.81,3.81,3.73,3.77,-1,-1,0,0
2022-08-04,3.77,3.89,3.74,3.85,-1,-1,0,0
2022-08-05,3.85,3.92,3.85,3.88,-1,-1,0,0
2022-08-08,3.9,3.92,3.88,3.9,-1,-1,0,0
2022-08-09,3.9,3.945,3.9,3.945,-1,-1,0,0
2022-08-10,3.945,3.965,3.88,3.9,-1,-1,0,0
2022-08-11,3.9,3.95,3.81,3.87,-1,-1,0,0
2022-08-12,3.855,3.95,3.83,3.9,-1,-1,0,0
2022-08-16,3.9,3.98,3.85,3.85,-1,-1,0,0
2022-08-17,3.85,3.85,3.72,3.795,-1,-1,0,0
2022-08-18,3.765,3.77,3.74,3.77,-1,-1,0,0
2022-08-19,3.77,3.795,3.72,3.785,-1,-1,0,0
2022-08-22,3.7,3.765,3.7,3.75,-1,-1,0,0
2022-08-23,3.755,3.795,3.705,3.71,-1,-1,0,0
2022-08-24,3.75,3.75,3.67,3.67,-1,-1,0,0
2022-08-25,3.7,3.7,3.64,3.69,-1,-1,0,0
2022-08-26,3.64,3.99,3.64,3.77,-1,-1,0,0
2022-08-29,3.77,3.795,3.7,3.7,-1,-1,0,0
2022-08-30,3.795,3.84,3.64,3.64,-1,-1,0,0
2022-08-31,3.7,3.7,3.7,3.7,-1,-1,0,0
2022-09-01,3.64,3.78,3.62,3.62,-1,-1,0,0
2022-09-02,3.71,3.71,3.61,3.61,-1,-1,0,0
2022-09-05,3.61,3.69,3.6,3.69,-1,-1,0,0
2022-09-06,3.6,3.67,3.57,3.58,-1,-1,0,0
2022-09-07,3.58,3.58,3.33,3.44,-1,-1,0,0
2022-09-08,3.5,3.66,3.48,3.64,-1,-1,0,0
2022-09-09,3.62,3.75,3.51,3.75,-1,-1,0,0
2022-09-12,3.64,3.84,3.62,3.62,-1,-1,0,0
2022-09-13,3.625,3.78,3.625,3.76,-1,-1,0,0
2022-09-14,3.635,3.7,3.635,3.7,-1,-1,0,0
2022-09-15,3.65,3.65,3.635,3.635,-1,-1,0,0
2022-09-16,3.78,3.78,3.58,3.715,-1,-1,0,0
2022-09-19,3.63,3.77,3.63,3.65,-1,-1,0,0
2022-09-20,3.58,3.65,3.565,3.65,-1,-1,0,0
2022-09-21,3.69,3.69,3.69,3.69,-1,-1,0,0
2022-09-22,3.59,3.68,3.58,3.58,-1,-1,0,0
2022-09-23,3.73,3.73,3.515,3.6,-1,-1,0,0
2022-09-26,3.565,3.58,3.5,3.55,-1,-1,0,0
2022-09-27,3.51,3.55,3.51,3.55,-1,-1,0,0
2022-09-28,3.575,3.575,3.365,3.365,-1,-1,0,0
2022-09-29,3.31,3.4,3.12,3.33,-1,-1,0,0
2022-09-30,3.3,3.32,3.13,3.32,-1,-1,0,0
2022-10-03,3.4,3.58,3.4,3.54,-1,-1,0,0
2022-10-04,3.5,3.65,3.44,3.65,-1,-1,0,0
2022-10-05,3.64,3.99,3.64,3.68,-1,-1,0,0
2022-10-06,3.7,3.89,3.61,3.87,-1,-1,0,0
2022-10-07,3.87,3.87,3.77,3.865,-1,-1,0,0
2022-10-10,3.78,3.98,3.78,3.97,-1,-1,0,0
2022-10-11,3.975,3.975,3.95,3.95,-1,-1,0,0
2022-10-12,3.87,3.95,3.81,3.81,-1,-1,0,0
2022-10-13,3.795,3.91,3.78,3.895,-1,-1,0,0
2022-10-14,3.895,4.0,3.825,3.97,-1,-1,0,0
2022-10-17,3.855,4.01,3.855,3.95,-1,-1,0,0
2022-10-18,3.97,4.02,3.91,3.925,-1,-1,0,0
2022-10-19,3.95,4.0,3.95,3.95,-1,-1,0,0
2022-10-20,3.98,4.01,3.91,4.0,-1,-1,0,0
2022-10-21,3.97,3.97,3.87,3.87,-1,-1,0,0
2022-10-24,3.92,3.98,3.825,3.92,-1,-1,0,0
2022-10-25,3.92,3.92,3.85,3.92,-1,-1,0,0
2022-10-26,3.92,3.96,3.87,3.95,-1,-1,0,0
2022-10-27,3.95,3.96,3.95,3.95,-1,-1,0,0
2022-10-28,3.95,3.96,3.91,3.96,-1,-1,0,0
2022-10-31,3.96,3.97,3.92,3.97,-1,-1,0,0
2022-11-02,3.97,3.97,3.935,3.935,-1,-1,0,0
2022-11-03,3.93,3.97,3.905,3.95,-1,-1,0,0
2022-11-04,3.93,3.98,3.92,3.97,-1,-1,0,0
2022-11-07,3.97,4.28,3.97,4.215,-1,-1,0,0
2022-11-08,4.23,4.79,4.23,4.76,-1,-1,0,0
2022-11-09,4.79,4.79,4.46,4.575,-1,-1,0,0
2022-11-10,4.52,4.68,4.425,4.68,-1,-1,0,0
2022-11-14,4.78,4.78,4.5,4.735,-1,-1,0,0
2022-11-15,4.735,4.735,4.45,4.67,-1,-1,0,0
2022-11-16,4.67,4.67,4.49,4.5,-1,-1,0,0
2022-11-17,4.5,4.56,4.47,4.5,-1,-1,0,0
2022-11-18,4.66,4.66,4.44,4.58,-1,-1,0,0
2022-11-21,4.58,4.59,4.405,4.425,-1,-1,0,0
2022-11-22,4.425,4.5,4.425,4.5,-1,-1,0,0
2022-11-23,4.43,4.57,4.38,4.5,-1,-1,0,0
2022-11-24,4.5,4.5,4.43,4.43,-1,-1,0,0
2022-11-25,4.58,4.58,4.42,4.5,-1,-1,0,0
2022-11-28,4.43,4.54,4.38,4.51,-1,-1,0,0
2022-11-29,4.63,4.98,4.61,4.88,-1,-1,0,0
2022-11-30,4.89,4.89,4.7,4.85,-1,-1,0,0
2022-12-01,4.875,5.1,4.87,4.975,-1,-1,0,0
2022-12-02,5.0,5.46,5.0,5.2,-1,-1,0,0
2022-12-05,5.3,5.3,5.12,5.24,-1,-1,0,0
2022-12-06,5.23,5.23,4.95,5.0,-1,-1,0,0
2022-12-07,5.05,5.44,4.95,5.35,-1,-1,0,0
2022-12-08,5.33,5.33,5.12,5.18,-1,-1,0,0
2022-12-09,5.12,5.2,5.0,5.2,-1,-1,0,0
2022-12-12,5.17,5.2,5.06,5.06,-1,-1,0,0
2022-12-13,5.06,5.28,5.03,5.08,-1,-1,0,0
2022-12-14,5.07,5.22,5.07,5.14,-1,-1,0,0
2022-12-15,5.2,5.22,5.0,5.11,-1,-1,0,0
2022-12-16,5.11,5.11,4.97,4.97,-1,-1,0,0
2022-12-19,5.04,5.1,4.9,5.06,-1,-1,0,0
2022-12-20,5.05,5.05,4.945,4.995,-1,-1,0,0
2022-12-21,4.99,5.01,4.95,5.0,-1,-1,0,0
2022-12-22,5.05,5.14,5.0,5.02,-1,-1,0,0
2022-12-23,5.0,5.13,4.77,4.94,-1,-1,0,0
2022-12-27,5.0,5.0,4.8,4.86,-1,-1,0,0
2022-12-28,4.85,5.0,4.81,4.97,-1,-1,0,0
2022-12-29,4.97,5.18,4.97,5.03,-1,-1,0,0
2022-12-30,5.04,5.04,4.92,5.02,-1,-1,0,0
2023-01-02,5.0,5.12,4.925,5.08,-1,-1,0,0
2023-01-03,5.12,5.12,5.02,5.1,-1,-1,0,0
2023-01-04,5.05,5.1,5.02,5.1,-1,-1,0,0
2023-01-05,5.14,5.14,4.95,5.0,-1,-1,0,0
2023-01-09,5.04,5.05,5.02,5.05,-1,-1,0,0
2023-01-10,5.02,5.09,5.0,5.07,-1,-1,0,0
2023-01-11,5.14,5.14,4.95,5.06,-1,-1,0,0
2023-01-12,5.06,5.06,5.01,5.01,-1,-1,0,0
2023-01-13,5.08,5.08,4.915,4.99,-1,-1,0,0
2023-01-16,4.99,5.02,4.92,5.0,-1,-1,0,0
2023-01-17,4.99,4.99,4.91,4.97,-1,-1,0,0
2023-01-18,4.95,4.98,4.91,4.98,-1,-1,0,0
2023-01-19,4.98,4.995,4.91,4.925,-1,-1,0,0
2023-01-20,4.91,4.92,4.91,4.92,-1,-1,0,0
2023-01-23,4.92,5.04,4.73,4.85,-1,-1,0,0
2023-01-24,4.85,4.85,4.73,4.84,-1,-1,0,0
2023-01-25,4.84,4.88,4.73,4.8,-1,-1,0,0
2023-01-26,4.795,5.0,4.71,4.96,-1,-1,0,0
2023-01-27,4.99,4.99,4.9,4.96,-1,-1,0,0
2023-01-30,4.96,4.96,4.82,4.85,-1,-1,0,0
2023-01-31,4.85,4.94,4.8,4.86,-1,-1,0,0
2023-02-01,4.82,4.91,4.75,4.89,-1,-1,0,0
2023-02-02,4.88,4.9,4.77,4.77,-1,-1,0,0
2023-02-03,4.75,4.87,4.72,4.8,-1,-1,0,0
2023-02-06,4.74,4.78,4.605,4.74,-1,-1,0,0
2023-02-07,4.74,4.78,4.71,4.78,-1,-1,0,0
2023-02-08,4.75,4.78,4.67,4.77,-1,-1,0,0
2023-02-09,4.74,4.77,4.605,4.77,-1,-1,0,0
2023-02-10,4.64,4.66,4.605,4.65,-1,-1,0,0
2023-02-13,4.62,4.7,4.6,4.6,-1,-1,0,0
2023-02-14,4.57,4.76,4.57,4.7,-1,-1,0,0
2023-02-15,4.755,4.78,4.645,4.645,-1,-1,0,0
2023-02-16,4.66,4.75,4.655,4.75,-1,-1,0,0
2023-02-17,4.7,4.75,4.66,4.745,-1,-1,0,0
2023-02-20,4.75,4.92,4.75,4.9,-1,-1,0,0
2023-02-21,4.91,4.99,4.79,4.94,-1,-1,0,0
2023-02-22,4.9,4.9,4.74,4.74,-1,-1,0,0
2023-02-23,4.7,4.87,4.65,4.705,-1,-1,0,0
2023-02-24,4.71,4.9,4.71,4.765,-1,-1,0,0
2023-02-27,4.815,5.0,4.78,4.85,-1,-1,0,0
2023-02-28,4.925,5.28,4.925,5.1,-1,-1,0,0
2023-03-01,5.09,5.16,4.98,5.07,-1,-1,0,0
2023-03-02,5.07,5.19,4.93,5.0,-1,-1,0,0
2023-03-03,4.975,5.14,4.975,5.0,-1,-1,0,0
2023-03-06,5.06,5.14,5.02,5.1,-1,-1,0,0
2023-03-07,5.1,5.12,5.03,5.12,-1,-1,0,0
2023-03-08,5.13,5.15,5.09,5.15,-1,-1,0,0
2023-03-09,5.15,5.16,5.0,5.07,-1,-1,0,0
2023-03-10,5.08,5.08,4.75,4.815,-1,-1,0,0
2023-03-13,5.0,5.21,4.81,5.06,-1,-1,0,0
2023-03-14,5.19,5.25,5.05,5.24,-1,-1,0,0
2023-03-15,5.24,5.25,4.92,5.01,-1,-1,0,0
2023-03-16,5.0,5.07,5.0,5.02,-1,-1,0,0
2023-03-17,5.05,5.25,5.0,5.0,-1,-1,0,0
2023-03-20,5.14,5.14,4.85,4.96,-1,-1,0,0
2023-03-21,4.885,4.95,4.86,4.9,-1,-1,0,0
2023-03-22,4.9,4.95,4.81,4.81,-1,-1,0,0
2023-03-23,4.84,4.94,4.84,4.9,-1,-1,0,0
2023-03-24,4.925,4.93,4.805,4.805,-1,-1,0,0
2023-03-27,4.805,4.9,4.74,4.9,-1,-1,0,0
2023-03-28,4.895,4.99,4.8,4.975,-1,-1,0,0
2023-03-29,4.865,4.975,4.84,4.935,-1,-1,0,0
2023-03-30,4.875,4.935,4.81,4.895,-1,-1,0,0
2023-03-31,4.94,5.15,4.9,5.07,-1,-1,0,0
2023-04-03,5.14,5.45,5.14,5.3,-1,-1,0,0
2023-04-04,5.35,5.42,5.17,5.27,-1,-1,0,0
2023-04-05,5.24,5.28,5.2,5.22,-1,-1,0,0
2023-04-06,5.22,5.4,5.2,5.35,-1,-1,0,0
2023-04-11,5.35,5.79,5.35,5.66,-1,-1,0,0
2023-04-12,5.65,5.74,5.58,5.6,-1,-1,0,0
2023-04-13,5.6,5.7,5.54,5.67,-1,-1,0,0
2023-04-14,5.64,5.88,5.6,5.8,-1,-1,0,0
2023-04-17,5.8,5.89,5.71,5.79,-1,-1,0,0
2023-04-18,5.86,5.86,5.65,5.68,-1,-1,0,0
2023-04-19,5.84,5.84,5.54,5.66,-1,-1,0,0
2023-04-20,5.54,5.7,5.22,5.38,-1,-1,0,0
2023-04-21,5.42,5.48,5.3,5.44,-1,-1,0,0
2023-04-24,5.44,5.48,5.36,5.48,-1,-1,0,0
2023-04-25,5.5,5.58,5.36,5.42,-1,-1,0,0
2023-04-26,5.38,5.38,5.08,5.22,-1,-1,0,0
2023-04-27,5.3,5.7,5.22,5.52,-1,-1,0,0
2023-04-28,5.56,5.56,5.3,5.48,-1,-1,0,0
2023-05-02,5.3,5.4,5.18,5.26,-1,-1,0,0
2023-05-04,5.26,5.3,5.1,5.1,-1,-1,0,0
2023-05-05,5.08,5.26,4.92,5.14,-1,-1,0,0
2023-05-08,5.3,5.4,5.14,5.38,-1,-1,0,0
2023-05-09,5.3,5.42,5.1,5.2,-1,-1,0,0
2023-05-10,5.28,5.42,5.24,5.3,-1,-1,0,0
2023-05-11,5.36,5.38,5.24,5.34,-1,-1,0,0
2023-05-12,5.3,5.34,5.2,5.28,-1,-1,0,0
2023-05-15,5.3,5.38,5.28,5.28,-1,-1,0,0
2023-05-16,5.36,5.36,5.2,5.28,-1,-1,0,0
2023-05-17,5.24,5.28,5.12,5.22,-1,-1,0,0
