Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-05-26,3.335,3.435,3.305,3.4,-1,-1,0,0
2022-05-27,3.45,3.46,3.405,3.405,-1,-1,0,0
2022-05-30,3.44,3.61,3.38,3.54,-1,-1,0,0
2022-05-31,3.525,3.54,3.355,3.415,-1,-1,0,0
2022-06-01,3.39,3.455,3.365,3.425,-1,-1,0,0
2022-06-02,3.445,3.48,3.38,3.47,-1,-1,0,0
2022-06-03,3.45,3.47,3.4,3.415,-1,-1,0,0
2022-06-06,3.405,3.41,3.385,3.39,-1,-1,0,0
2022-06-07,3.4,3.445,3.375,3.4,-1,-1,0,0
2022-06-08,3.39,3.42,3.325,3.37,-1,-1,0,0
2022-06-09,3.385,3.4,3.36,3.395,-1,-1,0,0
2022-06-10,3.375,3.375,3.295,3.305,-1,-1,0,0
2022-06-13,3.2,3.275,3.07,3.1,-1,-1,0,0
2022-06-14,3.07,3.16,3.065,3.12,-1,-1,0,0
2022-06-15,3.17,3.18,3.13,3.16,-1,-1,0,0
2022-06-17,3.05,3.1,2.9,3.1,-1,-1,0,0
2022-06-20,3.1,3.195,3.03,3.13,-1,-1,0,0
2022-06-21,3.165,3.26,3.14,3.2,-1,-1,0,0
2022-06-22,3.18,3.235,3.06,3.155,-1,-1,0,0
2022-06-23,3.075,3.155,3.05,3.05,-1,-1,0,0
2022-06-24,3.1,3.11,3.05,3.09,-1,-1,0,0
2022-06-27,3.06,3.11,3.02,3.035,-1,-1,0,0
2022-06-28,3.04,3.14,3.01,3.11,-1,-1,0,0
2022-06-29,3.075,3.14,3.065,3.1,-1,-1,0,0
2022-06-30,3.125,3.125,3.05,3.08,-1,-1,0,0
2022-07-01,3.055,3.12,3.05,3.095,-1,-1,0,0
2022-07-04,3.095,3.115,3.05,3.055,-1,-1,0,0
2022-07-05,3.085,3.095,2.935,3.0,-1,-1,0,0
2022-07-06,3.0,3.07,2.93,2.955,-1,-1,0,0
2022-07-07,3.015,3.06,2.965,3.04,-1,-1,0,0
2022-07-08,3.05,3.07,3.0,3.055,-1,-1,0,0
2022-07-11,3.055,3.055,3.01,3.04,-1,-1,0,0
2022-07-12,3.04,3.05,3.005,3.03,-1,-1,0,0
2022-07-13,3.02,3.03,2.92,3.0,-1,-1,0,0
2022-07-14,3.02,3.02,2.92,2.985,-1,-1,0,0
2022-07-15,3.0,3.0,2.92,2.94,-1,-1,0,0
2022-07-18,2.96,3.05,2.92,3.05,-1,-1,0,0
2022-07-19,3.05,3.05,2.98,3.03,-1,-1,0,0
2022-07-20,3.05,3.05,2.95,2.99,-1,-1,0,0
2022-07-21,3.01,3.025,2.95,3.02,-1,-1,0,0
2022-07-22,3.02,3.04,2.96,3.0,-1,-1,0,0
2022-07-25,3.005,3.04,2.98,3.01,-1,-1,0,0
2022-07-26,3.015,3.015,2.955,2.96,-1,-1,0,0
2022-07-27,2.99,3.005,2.95,3.005,-1,-1,0,0
2022-07-28,3.01,3.07,3.0,3.07,-1,-1,0,0
2022-07-29,3.095,3.285,3.05,3.26,-1,-1,0,0
2022-08-01,3.3,3.45,3.26,3.4,-1,-1,0,0
2022-08-02,3.4,3.45,3.34,3.415,-1,-1,0,0
2022-08-03,3.4,3.575,3.36,3.565,-1,-1,0,0
2022-08-04,3.575,3.58,3.5,3.55,-1,-1,0,0
2022-08-05,3.5,3.57,3.45,3.535,-1,-1,0,0
2022-08-08,3.54,3.65,3.52,3.62,-1,-1,0,0
2022-08-09,3.62,3.64,3.595,3.605,-1,-1,0,0
2022-08-10,3.605,3.68,3.605,3.635,-1,-1,0,0
2022-08-11,3.685,3.76,3.65,3.72,-1,-1,0,0
2022-08-12,3.75,3.76,3.71,3.745,-1,-1,0,0
2022-08-16,3.8,3.81,3.745,3.8,-1,-1,0,0
2022-08-17,3.8,3.825,3.54,3.54,-1,-1,0,0
2022-08-18,3.5,3.55,3.44,3.52,-1,-1,0,0
2022-08-19,3.45,3.525,3.45,3.46,-1,-1,0,0
2022-08-22,3.45,3.46,3.35,3.4,-1,-1,0,0
2022-08-23,3.4,3.43,3.335,3.39,-1,-1,0,0
2022-08-24,3.39,3.39,3.28,3.35,-1,-1,0,0
2022-08-25,3.35,3.365,3.26,3.3,-1,-1,0,0
2022-08-26,3.34,3.36,3.22,3.34,-1,-1,0,0
2022-08-29,3.26,3.325,3.24,3.27,-1,-1,0,0
2022-08-30,3.305,3.435,3.285,3.4,-1,-1,0,0
2022-08-31,3.415,3.43,3.33,3.385,-1,-1,0,0
2022-09-01,3.345,3.38,3.285,3.3,-1,-1,0,0
2022-09-02,3.3,3.345,3.26,3.33,-1,-1,0,0
