Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-13,8.8,8.88,8.67,8.68,-1,-1,0,0
2022-12-14,8.8,8.8,8.68,8.7,-1,-1,0,0
2022-12-15,8.7,8.7,8.5,8.57,-1,-1,0,0
2022-12-16,8.57,8.57,8.2,8.38,-1,-1,0,0
2022-12-19,8.19,8.52,8.19,8.41,-1,-1,0,0
2022-12-20,8.39,8.4,8.31,8.36,-1,-1,0,0
2022-12-21,8.36,8.54,8.36,8.43,-1,-1,0,0
2022-12-22,8.48,8.52,8.33,8.48,-1,-1,0,0
2022-12-23,8.53,8.53,8.33,8.4,-1,-1,0,0
2022-12-27,8.4,8.54,8.27,8.28,-1,-1,0,0
2022-12-28,8.36,8.37,8.12,8.2,-1,-1,0,0
2022-12-29,8.37,8.45,8.36,8.45,-1,-1,0,0
2022-12-30,8.33,8.45,8.33,8.44,-1,-1,0,0
2023-01-02,8.53,8.53,8.1,8.51,-1,-1,0,0
2023-01-03,8.51,9.36,8.31,9.09,-1,-1,0,0
2023-01-04,9.24,9.48,8.84,9.4,-1,-1,0,0
2023-01-05,9.44,9.68,9.25,9.39,-1,-1,0,0
2023-01-09,9.5,9.78,9.4,9.48,-1,-1,0,0
2023-01-10,9.49,9.6,9.3,9.45,-1,-1,0,0
2023-01-11,9.55,9.68,8.87,8.95,-1,-1,0,0
2023-01-12,9.0,9.26,8.82,9.12,-1,-1,0,0
2023-01-13,9.12,9.24,8.91,9.09,-1,-1,0,0
2023-01-16,9.04,9.09,8.78,9.04,-1,-1,0,0
2023-01-17,9.04,9.08,8.8,9.07,-1,-1,0,0
2023-01-18,8.92,9.07,8.79,9.05,-1,-1,0,0
2023-01-19,9.0,9.0,8.64,8.8,-1,-1,0,0
2023-01-20,8.89,8.94,8.68,8.85,-1,-1,0,0
2023-01-23,8.88,8.99,8.79,8.99,-1,-1,0,0
2023-01-24,8.99,9.06,8.82,8.95,-1,-1,0,0
2023-01-25,8.84,8.84,8.45,8.5,-1,-1,0,0
2023-01-26,8.63,9.0,8.58,8.65,-1,-1,0,0
2023-01-27,8.7,8.76,8.42,8.68,-1,-1,0,0
2023-01-30,8.69,8.8,8.52,8.7,-1,-1,0,0
2023-01-31,8.78,8.97,8.71,8.93,-1,-1,0,0
2023-02-01,8.9,8.9,8.76,8.79,-1,-1,0,0
2023-02-02,8.99,9.08,8.72,9.06,-1,-1,0,0
2023-02-03,9.09,9.14,8.82,8.85,-1,-1,0,0
2023-02-06,8.94,8.94,8.53,8.6,-1,-1,0,0
2023-02-07,8.56,8.85,8.53,8.68,-1,-1,0,0
2023-02-08,8.68,8.95,8.68,8.8,-1,-1,0,0
2023-02-09,8.89,8.98,8.75,8.9,-1,-1,0,0
2023-02-10,8.73,8.99,8.65,8.79,-1,-1,0,0
2023-02-13,8.78,8.78,8.66,8.7,-1,-1,0,0
2023-02-14,8.78,8.88,8.76,8.76,-1,-1,0,0
