Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-18,19.38,19.38,19.02,19.22,-1,-1,0,0
2022-11-21,19.22,19.4,19.04,19.16,-1,-1,0,0
2022-11-22,18.86,19.18,18.86,19.18,-1,-1,0,0
2022-11-23,19.18,19.18,18.88,19.18,-1,-1,0,0
2022-11-24,19.0,19.4,19.0,19.4,-1,-1,0,0
2022-11-25,19.4,19.4,19.02,19.3,-1,-1,0,0
2022-11-28,19.16,19.3,19.1,19.1,-1,-1,0,0
2022-11-29,19.12,19.3,19.12,19.3,-1,-1,0,0
2022-11-30,19.02,19.18,19.02,19.1,-1,-1,0,0
2022-12-01,19.3,19.3,19.12,19.12,-1,-1,0,0
2022-12-02,19.22,19.28,18.8,19.1,-1,-1,0,0
2022-12-05,19.08,19.16,19.08,19.08,-1,-1,0,0
2022-12-06,19.1,19.1,18.74,18.84,-1,-1,0,0
2022-12-07,18.84,18.84,18.74,18.82,-1,-1,0,0
2022-12-08,18.8,18.84,18.78,18.78,-1,-1,0,0
2022-12-09,18.7,18.8,18.62,18.62,-1,-1,0,0
2022-12-12,18.54,18.84,18.5,18.82,-1,-1,0,0
2022-12-13,18.62,19.1,18.62,19.0,-1,-1,0,0
2022-12-14,18.7,18.98,18.66,18.8,-1,-1,0,0
2022-12-15,18.8,18.98,18.8,18.98,-1,-1,0,0
2022-12-16,18.9,18.98,18.52,18.98,-1,-1,0,0
2022-12-19,18.98,19.1,18.64,19.1,-1,-1,0,0
2022-12-20,19.0,19.0,18.82,18.98,-1,-1,0,0
2022-12-21,19.0,19.0,18.66,18.9,-1,-1,0,0
2022-12-22,18.72,18.84,18.52,18.66,-1,-1,0,0
2022-12-23,18.56,18.98,18.2,18.36,-1,-1,0,0
2022-12-27,18.98,18.98,18.22,18.48,-1,-1,0,0
2022-12-28,18.48,18.48,18.1,18.1,-1,-1,0,0
2022-12-29,18.1,18.9,18.1,18.9,-1,-1,0,0
2022-12-30,18.36,18.96,18.36,18.96,-1,-1,0,0
2023-01-02,19.0,19.46,19.0,19.3,-1,-1,0,0
2023-01-03,19.6,21.0,19.6,20.1,-1,-1,0,0
2023-01-04,20.5,20.6,20.35,20.6,-1,-1,0,0
2023-01-05,20.6,20.9,20.6,20.8,-1,-1,0,0
2023-01-09,20.95,21.2,20.8,20.9,-1,-1,0,0
2023-01-10,21.0,21.4,21.0,21.25,-1,-1,0,0
2023-01-11,21.4,21.8,21.35,21.8,-1,-1,0,0
2023-01-12,21.9,22.35,21.9,22.25,-1,-1,0,0
2023-01-13,22.25,22.55,22.15,22.5,-1,-1,0,0
2023-01-16,22.55,22.95,21.55,22.45,-1,-1,0,0
2023-01-17,23.0,23.9,22.6,22.7,-1,-1,0,0
2023-01-18,22.7,23.0,22.6,22.6,-1,-1,0,0
2023-01-19,22.8,22.8,22.0,22.3,-1,-1,0,0
2023-01-20,22.05,22.8,22.05,22.8,-1,-1,0,0
2023-01-23,22.95,23.4,22.65,23.3,-1,-1,0,0
