Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-06-06,6.26,6.36,6.2,6.3,-1,-1,0,0
2022-06-07,6.3,6.3,6.3,6.3,-1,-1,0,0
2022-06-08,6.14,6.14,6.1,6.14,-1,-1,0,0
2022-06-09,6.06,6.16,6.0,6.0,-1,-1,0,0
2022-06-10,5.98,6.0,5.9,6.0,-1,-1,0,0
2022-06-13,5.98,5.98,5.78,5.78,-1,-1,0,0
2022-06-14,5.74,5.86,5.72,5.86,-1,-1,0,0
2022-06-15,5.86,5.86,5.86,5.86,-1,-1,0,0
2022-06-17,5.86,5.86,5.86,5.86,-1,-1,0,0
2022-06-20,5.72,5.82,5.72,5.82,-1,-1,0,0
2022-06-21,5.76,5.82,5.66,5.76,-1,-1,0,0
2022-06-22,5.6,5.8,5.52,5.8,-1,-1,0,0
2022-06-23,5.8,5.8,5.52,5.74,-1,-1,0,0
2022-06-24,5.7,5.86,5.7,5.8,-1,-1,0,0
2022-06-27,5.7,5.7,5.5,5.68,-1,-1,0,0
2022-06-28,5.54,5.9,5.54,5.76,-1,-1,0,0
2022-06-29,5.76,5.76,5.76,5.76,-1,-1,0,0
2022-06-30,5.54,5.84,5.5,5.84,-1,-1,0,0
2022-07-01,5.52,5.86,5.5,5.74,-1,-1,0,0
2022-07-04,5.54,5.74,5.52,5.74,-1,-1,0,0
2022-07-05,5.52,5.7,5.48,5.7,-1,-1,0,0
2022-07-06,5.48,5.62,5.48,5.62,-1,-1,0,0
2022-07-07,5.62,5.88,5.62,5.84,-1,-1,0,0
2022-07-08,5.84,5.86,5.76,5.86,-1,-1,0,0
2022-07-11,5.76,5.76,5.76,5.76,-1,-1,0,0
2022-07-12,5.76,5.76,5.6,5.7,-1,-1,0,0
2022-07-13,5.7,5.88,5.64,5.88,-1,-1,0,0
2022-07-14,5.88,6.2,5.8,6.06,-1,-1,0,0
2022-07-15,6.0,6.2,5.88,6.2,-1,-1,0,0
2022-07-18,6.0,6.0,5.9,5.9,-1,-1,0,0
2022-07-19,5.92,6.08,5.92,6.08,-1,-1,0,0
2022-07-20,5.92,5.92,5.8,5.8,-1,-1,0,0
2022-07-21,5.8,5.96,5.6,5.96,-1,-1,0,0
2022-07-22,5.82,5.82,5.7,5.7,-1,-1,0,0
2022-07-25,5.9,6.14,5.62,5.62,-1,-1,0,0
2022-07-26,5.7,5.9,5.5,5.7,-1,-1,0,0
2022-07-27,5.6,5.8,5.54,5.8,-1,-1,0,0
2022-07-28,5.62,5.82,5.54,5.82,-1,-1,0,0
2022-07-29,5.68,5.98,5.68,5.92,-1,-1,0,0
2022-08-01,6.1,6.1,5.96,6.0,-1,-1,0,0
2022-08-02,6.08,6.08,6.08,6.08,-1,-1,0,0
2022-08-03,6.0,6.42,6.0,6.24,-1,-1,0,0
2022-08-04,6.2,6.2,5.84,6.08,-1,-1,0,0
2022-08-05,6.0,6.0,5.9,6.0,-1,-1,0,0
2022-08-08,6.0,6.06,5.88,6.0,-1,-1,0,0
2022-08-09,5.88,6.0,5.82,6.0,-1,-1,0,0
2022-08-10,5.8,5.96,5.76,5.96,-1,-1,0,0
2022-08-11,5.76,5.98,5.76,5.98,-1,-1,0,0
2022-08-12,5.9,5.98,5.9,5.92,-1,-1,0,0
2022-08-16,5.9,5.94,5.82,5.84,-1,-1,0,0
2022-08-17,5.84,5.84,5.82,5.84,-1,-1,0,0
2022-08-18,5.8,5.82,5.74,5.82,-1,-1,0,0
2022-08-19,5.74,5.8,5.72,5.8,-1,-1,0,0
2022-08-22,5.8,5.8,5.7,5.8,-1,-1,0,0
2022-08-23,5.8,5.8,5.7,5.74,-1,-1,0,0
2022-08-24,5.7,5.7,5.62,5.68,-1,-1,0,0
2022-08-25,5.64,5.68,5.5,5.6,-1,-1,0,0
2022-08-26,5.58,5.66,5.5,5.5,-1,-1,0,0
2022-08-29,5.5,5.74,5.4,5.72,-1,-1,0,0
2022-08-30,5.7,5.72,5.44,5.7,-1,-1,0,0
2022-08-31,5.66,5.7,5.66,5.68,-1,-1,0,0
2022-09-01,5.52,5.52,5.4,5.4,-1,-1,0,0
2022-09-02,5.34,5.5,5.34,5.5,-1,-1,0,0
2022-09-05,5.4,5.5,5.4,5.5,-1,-1,0,0
2022-09-06,5.5,5.5,5.34,5.34,-1,-1,0,0
2022-09-07,5.22,5.34,5.22,5.34,-1,-1,0,0
2022-09-08,5.4,5.4,5.4,5.4,-1,-1,0,0
2022-09-09,5.32,5.44,5.26,5.44,-1,-1,0,0
2022-09-12,5.42,5.5,5.22,5.5,-1,-1,0,0
2022-09-13,5.4,5.4,5.36,5.4,-1,-1,0,0
2022-09-14,5.36,5.48,5.3,5.4,-1,-1,0,0
2022-09-15,5.4,5.5,5.3,5.3,-1,-1,0,0
2022-09-16,5.26,5.3,5.26,5.3,-1,-1,0,0
2022-09-19,5.3,5.34,5.3,5.34,-1,-1,0,0
2022-09-20,5.32,5.36,5.26,5.3,-1,-1,0,0
2022-09-21,5.32,5.32,5.32,5.32,-1,-1,0,0
2022-09-22,5.32,5.38,5.3,5.3,-1,-1,0,0
2022-09-23,5.34,5.34,5.3,5.34,-1,-1,0,0
2022-09-26,5.3,5.3,5.06,5.06,-1,-1,0,0
2022-09-27,5.18,5.18,4.91,5.0,-1,-1,0,0
2022-09-28,4.98,5.0,4.9,5.0,-1,-1,0,0
2022-09-29,4.88,4.97,4.88,4.97,-1,-1,0,0
2022-09-30,4.97,5.0,4.82,4.97,-1,-1,0,0
2022-10-03,4.97,4.97,4.83,4.97,-1,-1,0,0
2022-10-04,4.9,4.92,4.7,4.74,-1,-1,0,0
2022-10-05,4.93,5.0,4.74,4.75,-1,-1,0,0
2022-10-06,4.8,4.9,4.8,4.9,-1,-1,0,0
2022-10-07,4.8,4.9,4.8,4.9,-1,-1,0,0
2022-10-10,4.82,4.9,4.82,4.9,-1,-1,0,0
2022-10-11,4.89,4.89,4.65,4.69,-1,-1,0,0
2022-10-12,4.68,4.79,4.52,4.6,-1,-1,0,0
2022-10-13,4.69,4.76,4.52,4.6,-1,-1,0,0
2022-10-14,4.6,4.78,4.59,4.78,-1,-1,0,0
2022-10-17,4.72,4.8,4.52,4.79,-1,-1,0,0
2022-10-18,4.79,4.79,4.79,4.79,-1,-1,0,0
2022-10-19,4.75,4.77,4.75,4.77,-1,-1,0,0
2022-10-20,4.77,4.77,4.77,4.77,-1,-1,0,0
2022-10-21,4.65,4.77,4.65,4.77,-1,-1,0,0
2022-10-24,4.77,4.77,4.5,4.5,-1,-1,0,0
2022-10-25,4.69,4.69,4.23,4.47,-1,-1,0,0
2022-10-26,4.45,4.67,4.45,4.64,-1,-1,0,0
2022-10-27,4.64,5.1,4.61,5.0,-1,-1,0,0
2022-10-28,5.22,5.38,5.06,5.3,-1,-1,0,0
2022-10-31,5.32,5.78,5.32,5.66,-1,-1,0,0
2022-11-02,5.68,5.72,5.4,5.6,-1,-1,0,0
2022-11-03,5.6,5.66,5.4,5.6,-1,-1,0,0
2022-11-04,5.5,5.54,5.2,5.32,-1,-1,0,0
2022-11-07,5.32,5.64,5.06,5.1,-1,-1,0,0
2022-11-08,5.18,5.28,5.1,5.12,-1,-1,0,0
2022-11-09,5.2,5.26,5.2,5.26,-1,-1,0,0
2022-11-10,5.26,5.36,5.1,5.2,-1,-1,0,0
2022-11-14,5.18,5.36,5.14,5.24,-1,-1,0,0
2022-11-15,5.22,5.26,5.2,5.2,-1,-1,0,0
2022-11-16,5.3,5.3,5.16,5.26,-1,-1,0,0
2022-11-17,5.22,5.26,5.2,5.26,-1,-1,0,0
2022-11-18,5.2,5.26,5.16,5.26,-1,-1,0,0
2022-11-21,5.28,5.4,5.12,5.12,-1,-1,0,0
2022-11-22,5.16,5.3,5.12,5.26,-1,-1,0,0
2022-11-23,5.34,5.34,5.2,5.28,-1,-1,0,0
2022-11-24,5.34,5.34,5.2,5.32,-1,-1,0,0
2022-11-25,5.2,5.3,5.18,5.22,-1,-1,0,0
2022-11-28,5.28,5.32,5.18,5.3,-1,-1,0,0
2022-11-29,5.22,5.3,4.9,5.1,-1,-1,0,0
2022-11-30,5.1,5.14,5.08,5.14,-1,-1,0,0
2022-12-01,5.12,5.24,5.1,5.16,-1,-1,0,0
2022-12-02,5.16,5.48,5.16,5.22,-1,-1,0,0
