Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-07-11,38.5,40.0,38.3,39.7,-1,-1,0,0
2022-07-12,39.9,39.9,36.7,37.1,-1,-1,0,0
2022-07-13,39.0,39.0,37.8,37.9,-1,-1,0,0
2022-07-14,39.0,39.0,37.9,38.5,-1,-1,0,0
2022-07-15,38.5,38.5,38.4,38.4,-1,-1,0,0
2022-07-18,38.5,38.5,37.4,38.5,-1,-1,0,0
2022-07-19,38.5,38.5,38.4,38.5,-1,-1,0,0
2022-07-20,38.5,38.5,37.8,38.2,-1,-1,0,0
2022-07-21,37.1,38.2,37.1,38.2,-1,-1,0,0
2022-07-22,38.0,38.0,37.1,37.9,-1,-1,0,0
2022-07-25,37.9,38.5,37.9,37.9,-1,-1,0,0
2022-07-26,38.5,38.5,37.4,38.4,-1,-1,0,0
2022-07-27,38.4,38.4,37.5,38.3,-1,-1,0,0
2022-07-28,37.4,38.3,37.3,37.7,-1,-1,0,0
2022-07-29,38.5,38.9,38.0,38.1,-1,-1,0,0
2022-08-01,38.7,38.8,38.0,38.8,-1,-1,0,0
2022-08-02,39.0,39.0,38.0,38.5,-1,-1,0,0
2022-08-03,38.3,39.0,38.2,39.0,-1,-1,0,0
2022-08-04,39.5,39.8,38.5,39.8,-1,-1,0,0
2022-08-05,39.8,39.8,38.6,39.5,-1,-1,0,0
2022-08-08,39.5,39.7,38.8,39.5,-1,-1,0,0
2022-08-09,39.7,39.7,38.8,39.0,-1,-1,0,0
2022-08-10,39.7,39.9,38.7,38.8,-1,-1,0,0
2022-08-11,38.8,39.5,38.7,38.7,-1,-1,0,0
2022-08-12,39.2,39.2,38.5,39.2,-1,-1,0,0
2022-08-16,39.2,39.2,38.4,39.1,-1,-1,0,0
2022-08-17,39.1,39.1,39.0,39.0,-1,-1,0,0
2022-08-18,38.8,39.0,38.2,38.8,-1,-1,0,0
2022-08-19,39.0,39.0,36.5,37.5,-1,-1,0,0
2022-08-22,39.0,39.0,37.0,37.4,-1,-1,0,0
2022-08-23,37.6,38.0,36.8,36.8,-1,-1,0,0
2022-08-24,36.8,37.4,36.0,36.6,-1,-1,0,0
2022-08-25,36.2,36.7,36.0,36.1,-1,-1,0,0
2022-08-26,36.8,36.8,36.0,36.7,-1,-1,0,0
2022-08-29,36.6,36.6,36.0,36.2,-1,-1,0,0
2022-08-30,36.2,36.2,35.8,35.8,-1,-1,0,0
2022-08-31,36.2,36.2,35.8,35.9,-1,-1,0,0
2022-09-01,36.2,36.2,35.7,36.1,-1,-1,0,0
2022-09-02,36.1,36.3,35.7,36.0,-1,-1,0,0
2022-09-05,36.0,36.8,36.0,36.0,-1,-1,0,0
2022-09-06,36.0,36.7,36.0,36.5,-1,-1,0,0
2022-09-07,36.0,37.2,35.9,37.2,-1,-1,0,0
2022-09-08,37.2,37.5,36.3,37.5,-1,-1,0,0
2022-09-09,37.4,37.5,36.5,36.5,-1,-1,0,0
2022-09-12,37.7,37.7,36.5,37.4,-1,-1,0,0
2022-09-13,37.4,37.7,36.8,36.8,-1,-1,0,0
2022-09-14,37.7,37.7,37.0,37.4,-1,-1,0,0
2022-09-15,37.7,38.0,35.8,35.8,-1,-1,0,0
2022-09-16,37.5,37.7,34.0,34.0,-1,-1,0,0
2022-09-19,34.5,35.5,34.0,34.0,-1,-1,0,0
2022-09-20,34.0,34.3,33.7,34.3,-1,-1,0,0
2022-09-21,34.3,34.3,33.8,33.9,-1,-1,0,0
2022-09-22,33.9,34.2,33.7,34.0,-1,-1,0,0
2022-09-23,34.0,34.0,32.8,33.4,-1,-1,0,0
2022-09-26,33.7,33.7,32.3,33.1,-1,-1,0,0
2022-09-27,33.0,33.0,31.5,31.8,-1,-1,0,0
2022-09-28,32.2,32.2,31.5,32.0,-1,-1,0,0
2022-09-29,32.0,32.0,31.4,31.5,-1,-1,0,0
2022-09-30,31.2,32.0,30.6,31.3,-1,-1,0,0
2022-10-03,31.0,31.0,30.5,30.6,-1,-1,0,0
2022-10-04,30.6,31.0,30.6,31.0,-1,-1,0,0
2022-10-05,31.0,31.0,28.8,30.0,-1,-1,0,0
2022-10-06,30.0,30.8,30.0,30.8,-1,-1,0,0
2022-10-07,30.8,30.8,30.3,30.3,-1,-1,0,0
2022-10-10,29.5,31.2,29.5,29.6,-1,-1,0,0
2022-10-11,29.0,30.0,28.8,29.0,-1,-1,0,0
2022-10-12,29.6,29.6,29.0,29.0,-1,-1,0,0
2022-10-13,29.6,29.6,27.8,27.8,-1,-1,0,0
2022-10-14,29.0,29.0,28.0,28.3,-1,-1,0,0
2022-10-17,28.9,29.0,28.6,29.0,-1,-1,0,0
2022-10-18,29.0,29.0,27.8,28.7,-1,-1,0,0
2022-10-19,28.7,29.5,27.8,28.9,-1,-1,0,0
2022-10-20,28.8,28.8,28.1,28.8,-1,-1,0,0
2022-10-21,29.5,29.5,28.9,29.4,-1,-1,0,0
2022-10-24,29.5,30.0,28.6,29.9,-1,-1,0,0
2022-10-25,30.0,30.0,29.2,29.8,-1,-1,0,0
