Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-02-28,462,470,456,470,-1,-1,0,0
2022-03-01,474,474,460,460,-1,-1,0,0
2022-03-02,466,470,455,460,-1,-1,0,0
2022-03-03,468,492,468,475,-1,-1,0,0
2022-03-04,475,475,460,460,-1,-1,0,0
2022-03-07,460,467,450,460,-1,-1,0,0
2022-03-08,466,469,450,459,-1,-1,0,0
2022-03-09,454,470,454,468,-1,-1,0,0
2022-03-10,470,475,464,470,-1,-1,0,0
2022-03-11,473,491,470,491,-1,-1,0,0
2022-03-14,490,497,481,491,-1,-1,0,0
2022-03-15,490,490,476,489,-1,-1,0,0
2022-03-16,490,491,473,489,-1,-1,0,0
2022-03-17,485,485,478,485,-1,-1,0,0
2022-03-18,491,491,480,482,-1,-1,0,0
2022-03-21,492,492,482,491,-1,-1,0,0
2022-03-22,491,491,485,491,-1,-1,0,0
2022-03-23,490,491,484,491,-1,-1,0,0
2022-03-24,491,491,484,491,-1,-1,0,0
2022-03-25,490,490,478,481,-1,-1,0,0
2022-03-28,491,491,490,490,-1,-1,0,0
2022-03-29,485,491,472,472,-1,-1,0,0
2022-03-30,491,491,488,489,-1,-1,0,0
2022-03-31,491,491,480,487,-1,-1,0,0
2022-04-01,487,489,475,486,-1,-1,0,0
2022-04-04,486,486,472,483,-1,-1,0,0
2022-04-05,483,484,472,472,-1,-1,0,0
2022-04-06,472,472,470,471,-1,-1,0,0
2022-04-07,477,482,477,478,-1,-1,0,0
2022-04-08,478,485,475,475,-1,-1,0,0
2022-04-11,476,479,470,470,-1,-1,0,0
2022-04-12,472,479,470,479,-1,-1,0,0
2022-04-13,479,479,472,472,-1,-1,0,0
2022-04-14,478,478,470,472,-1,-1,0,0
2022-04-19,472,473,468,468,-1,-1,0,0
2022-04-20,468,473,468,471,-1,-1,0,0
2022-04-21,471,475,462,470,-1,-1,0,0
2022-04-22,475,475,468,468,-1,-1,0,0
2022-04-25,462,468,462,468,-1,-1,0,0
2022-04-26,465,465,462,462,-1,-1,0,0
2022-04-27,463,463,461,461,-1,-1,0,0
2022-04-28,463,463,456,458,-1,-1,0,0
2022-04-29,458,458,451,451,-1,-1,0,0
2022-05-02,455,470,455,465,-1,-1,0,0
2022-05-04,499,499,470,473,-1,-1,0,0
2022-05-05,475,479,470,478,-1,-1,0,0
2022-05-06,478,478,460,460,-1,-1,0,0
2022-05-09,467,467,460,467,-1,-1,0,0
2022-05-10,467,467,461,461,-1,-1,0,0
2022-05-11,461,480,461,480,-1,-1,0,0
2022-05-12,476,485,464,471,-1,-1,0,0
2022-05-13,470,480,470,479,-1,-1,0,0
2022-05-16,469,485,469,483,-1,-1,0,0
2022-05-17,477,490,477,487,-1,-1,0,0
2022-05-18,490,495,478,490,-1,-1,0,0
2022-05-19,495,506,484,491,-1,-1,0,0
2022-05-20,490,502,490,502,-1,-1,0,0
2022-05-23,500,500,491,491,-1,-1,0,0
2022-05-24,491,491,484,489,-1,-1,0,0
2022-05-25,482,489,482,489,-1,-1,0,0
2022-05-26,489,490,484,488,-1,-1,0,0
2022-05-27,490,490,484,484,-1,-1,0,0
2022-05-30,485,500,485,500,-1,-1,0,0
2022-05-31,490,500,486,492,-1,-1,0,0
2022-06-01,494,494,485,494,-1,-1,0,0
2022-06-02,495,497,486,497,-1,-1,0,0
2022-06-03,485,495,485,495,-1,-1,0,0
2022-06-06,485,495,484,490,-1,-1,0,0
2022-06-07,495,495,485,488,-1,-1,0,0
2022-06-08,485,498,485,498,-1,-1,0,0
2022-06-09,497,497,490,495,-1,-1,0,0
2022-06-10,490,490,485,485,-1,-1,0,0
2022-06-13,483,484,477,480,-1,-1,0,0
2022-06-14,480,480,476,480,-1,-1,0,0
2022-06-15,481,485,481,481,-1,-1,0,0
2022-06-17,481,488,472,472,-1,-1,0,0
2022-06-20,472,478,468,468,-1,-1,0,0
2022-06-21,468,470,464,464,-1,-1,0,0
2022-06-22,478,478,470,470,-1,-1,0,0
2022-06-23,470,481,470,481,-1,-1,0,0
2022-06-24,480,495,480,495,-1,-1,0,0
2022-06-27,486,510,486,506,-1,-1,0,0
2022-06-28,504,506,500,506,-1,-1,0,0
2022-06-29,504,516,495,516,-1,-1,0,0
2022-06-30,516,516,494,495,-1,-1,0,0
2022-07-01,502,510,502,510,-1,-1,0,0
2022-07-04,512,512,497,510,-1,-1,0,0
2022-07-05,508,508,498,498,-1,-1,0,0
2022-07-06,506,506,485,485,-1,-1,0,0
2022-07-07,485,489,482,482,-1,-1,0,0
2022-07-08,488,490,478,479,-1,-1,0,0
2022-07-11,485,485,485,485,-1,-1,0,0
2022-07-12,479,485,478,480,-1,-1,0,0
2022-07-13,485,490,480,480,-1,-1,0,0
2022-07-14,489,489,482,487,-1,-1,0,0
2022-07-15,488,488,485,485,-1,-1,0,0
2022-07-18,488,491,481,491,-1,-1,0,0
2022-07-19,485,485,480,480,-1,-1,0,0
2022-07-20,485,485,470,470,-1,-1,0,0
2022-07-21,471,473,469,473,-1,-1,0,0
2022-07-22,470,474,470,474,-1,-1,0,0
2022-07-25,475,478,475,475,-1,-1,0,0
2022-07-26,475,478,472,472,-1,-1,0,0
2022-07-27,472,475,472,475,-1,-1,0,0
2022-07-28,472,478,472,473,-1,-1,0,0
2022-07-29,473,475,472,472,-1,-1,0,0
2022-08-01,471,478,471,478,-1,-1,0,0
2022-08-02,475,475,475,475,-1,-1,0,0
2022-08-03,476,478,475,475,-1,-1,0,0
2022-08-04,474,475,474,474,-1,-1,0,0
2022-08-05,474,474,465,465,-1,-1,0,0
2022-08-08,460,468,458,462,-1,-1,0,0
2022-08-09,460,468,455,456,-1,-1,0,0
2022-08-10,456,464,456,458,-1,-1,0,0
2022-08-11,460,467,457,467,-1,-1,0,0
2022-08-12,462,468,460,468,-1,-1,0,0
2022-08-16,458,472,458,472,-1,-1,0,0
2022-08-17,461,472,458,472,-1,-1,0,0
2022-08-18,472,477,460,476,-1,-1,0,0
2022-08-19,466,469,460,460,-1,-1,0,0
2022-08-22,459,459,458,458,-1,-1,0,0
2022-08-23,455,455,446,450,-1,-1,0,0
2022-08-24,450,457,450,450,-1,-1,0,0
2022-08-25,450,450,450,450,-1,-1,0,0
2022-08-26,450,450,450,450,-1,-1,0,0
2022-08-29,451,451,446,446,-1,-1,0,0
2022-08-30,445,454,445,445,-1,-1,0,0
2022-08-31,445,456,444,456,-1,-1,0,0
2022-09-01,456,456,441,451,-1,-1,0,0
2022-09-02,450,450,444,444,-1,-1,0,0
2022-09-05,444,444,441,442,-1,-1,0,0
2022-09-06,448,448,442,443,-1,-1,0,0
2022-09-07,442,451,442,444,-1,-1,0,0
2022-09-08,444,444,443,443,-1,-1,0,0
2022-09-09,449,450,443,449,-1,-1,0,0
2022-09-12,450,450,444,444,-1,-1,0,0
2022-09-13,444,444,443,443,-1,-1,0,0
2022-09-14,449,449,444,449,-1,-1,0,0
2022-09-15,451,451,443,443,-1,-1,0,0
2022-09-16,442,442,442,442,-1,-1,0,0
2022-09-19,442,449,442,447,-1,-1,0,0
2022-09-20,446,446,446,446,-1,-1,0,0
2022-09-21,442,442,441,441,-1,-1,0,0
2022-09-22,441,444,440,444,-1,-1,0,0
2022-09-23,440,445,435,435,-1,-1,0,0
2022-09-26,441,441,430,430,-1,-1,0,0
2022-09-27,439,439,415,431,-1,-1,0,0
2022-09-28,430,430,430,430,-1,-1,0,0
2022-09-29,429,429,411,426,-1,-1,0,0
2022-09-30,411,412,401,412,-1,-1,0,0
2022-10-03,414,423,406,423,-1,-1,0,0
2022-10-04,426,426,415,415,-1,-1,0,0
2022-10-05,411,422,410,422,-1,-1,0,0
2022-10-06,422,423,418,423,-1,-1,0,0
2022-10-07,424,424,415,422,-1,-1,0,0
2022-10-10,424,424,424,424,-1,-1,0,0
2022-10-11,423,423,413,416,-1,-1,0,0
2022-10-12,422,422,412,414,-1,-1,0,0
2022-10-13,415,416,415,415,-1,-1,0,0
2022-10-14,422,423,412,423,-1,-1,0,0
2022-10-17,420,423,413,420,-1,-1,0,0
2022-10-18,420,420,415,416,-1,-1,0,0
2022-10-19,414,415,408,415,-1,-1,0,0
2022-10-20,415,415,410,410,-1,-1,0,0
2022-10-21,409,413,401,413,-1,-1,0,0
2022-10-24,413,418,413,418,-1,-1,0,0
2022-10-25,418,418,414,418,-1,-1,0,0
2022-10-26,418,418,403,409,-1,-1,0,0
2022-10-27,410,416,408,415,-1,-1,0,0
2022-10-28,416,420,415,415,-1,-1,0,0
2022-10-31,415,420,415,420,-1,-1,0,0
2022-11-02,417,417,415,416,-1,-1,0,0
2022-11-03,420,421,416,421,-1,-1,0,0
2022-11-04,422,427,420,427,-1,-1,0,0
2022-11-07,426,430,426,430,-1,-1,0,0
2022-11-08,427,427,426,426,-1,-1,0,0
2022-11-09,425,426,418,418,-1,-1,0,0
2022-11-10,424,424,418,424,-1,-1,0,0
2022-11-14,425,432,420,430,-1,-1,0,0
2022-11-15,430,434,425,434,-1,-1,0,0
2022-11-16,432,435,430,430,-1,-1,0,0
2022-11-17,432,432,426,426,-1,-1,0,0
2022-11-18,426,433,426,432,-1,-1,0,0
2022-11-21,432,432,426,426,-1,-1,0,0
2022-11-22,428,433,428,430,-1,-1,0,0
2022-11-23,433,434,430,430,-1,-1,0,0
2022-11-24,430,430,428,428,-1,-1,0,0
2022-11-25,430,432,426,426,-1,-1,0,0
2022-11-28,428,450,428,446,-1,-1,0,0
2022-11-29,446,447,440,443,-1,-1,0,0
2022-11-30,450,450,440,450,-1,-1,0,0
2022-12-01,450,451,440,440,-1,-1,0,0
2022-12-02,440,442,435,435,-1,-1,0,0
2022-12-05,442,451,438,440,-1,-1,0,0
2022-12-06,451,451,433,436,-1,-1,0,0
2022-12-07,436,446,433,433,-1,-1,0,0
2022-12-08,442,442,431,442,-1,-1,0,0
2022-12-09,433,433,430,430,-1,-1,0,0
2022-12-12,436,438,430,432,-1,-1,0,0
2022-12-13,432,436,430,436,-1,-1,0,0
2022-12-14,436,441,434,434,-1,-1,0,0
2022-12-15,434,434,432,432,-1,-1,0,0
2022-12-16,432,432,429,432,-1,-1,0,0
2022-12-19,435,435,435,435,-1,-1,0,0
2022-12-20,430,432,428,432,-1,-1,0,0
2022-12-21,434,434,427,430,-1,-1,0,0
2022-12-22,430,430,427,430,-1,-1,0,0
2022-12-23,426,430,426,430,-1,-1,0,0
2022-12-27,427,429,427,428,-1,-1,0,0
2022-12-28,428,436,428,433,-1,-1,0,0
2022-12-29,433,446,431,432,-1,-1,0,0
2022-12-30,435,436,431,431,-1,-1,0,0
2023-01-02,440,446,440,446,-1,-1,0,0
2023-01-03,447,458,446,458,-1,-1,0,0
