Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-05-02,300.0,301.4,284.8,296.6,-1,-1,0,0
2022-05-04,297.0,297.0,285.4,285.4,-1,-1,0,0
2022-05-05,293.0,295.8,277.4,277.6,-1,-1,0,0
2022-05-06,276.8,279.8,265.0,271.2,-1,-1,0,0
2022-05-09,270.4,270.4,260.2,260.4,-1,-1,0,0
2022-05-10,261.8,263.4,247.4,254.8,-1,-1,0,0
2022-05-11,264.0,270.6,260.2,263.0,-1,-1,0,0
2022-05-12,252.4,265.4,243.2,259.8,-1,-1,0,0
2022-05-13,270.0,275.4,265.2,273.0,-1,-1,0,0
2022-05-16,276.0,282.2,260.8,263.6,-1,-1,0,0
2022-05-17,266.0,281.8,262.4,274.4,-1,-1,0,0
2022-05-18,282.0,289.0,270.0,270.0,-1,-1,0,0
2022-05-19,262.6,270.4,259.6,264.8,-1,-1,0,0
2022-05-20,270.0,271.0,261.0,261.4,-1,-1,0,0
2022-05-23,265.2,277.6,265.2,276.0,-1,-1,0,0
2022-05-24,275.0,281.2,256.2,263.4,-1,-1,0,0
2022-05-25,268.0,271.0,260.8,267.2,-1,-1,0,0
2022-05-26,270.0,273.8,262.6,272.2,-1,-1,0,0
2022-05-27,274.8,274.8,268.4,271.0,-1,-1,0,0
2022-05-30,276.0,288.6,272.0,286.2,-1,-1,0,0
2022-05-31,286.2,286.6,275.8,278.4,-1,-1,0,0
2022-06-01,278.6,283.0,272.4,278.4,-1,-1,0,0
2022-06-02,278.0,285.8,274.4,278.2,-1,-1,0,0
2022-06-03,281.0,285.0,272.8,276.4,-1,-1,0,0
2022-06-06,274.6,280.8,272.6,279.8,-1,-1,0,0
2022-06-07,275.2,275.2,268.2,270.2,-1,-1,0,0
2022-06-08,270.6,272.4,258.4,259.0,-1,-1,0,0
2022-06-09,257.0,270.4,254.6,256.2,-1,-1,0,0
2022-06-10,257.0,257.2,248.0,250.2,-1,-1,0,0
2022-06-13,245.2,245.2,231.2,234.0,-1,-1,0,0
2022-06-14,240.0,242.0,232.0,233.4,-1,-1,0,0
2022-06-15,238.0,243.0,233.2,240.0,-1,-1,0,0
2022-06-17,234.0,245.0,231.4,238.6,-1,-1,0,0
2022-06-20,243.4,249.8,240.0,248.0,-1,-1,0,0
2022-06-21,251.0,252.0,242.6,247.2,-1,-1,0,0
2022-06-22,246.0,247.8,238.8,245.2,-1,-1,0,0
2022-06-23,245.0,248.8,238.2,241.2,-1,-1,0,0
2022-06-24,246.0,246.0,236.0,239.4,-1,-1,0,0
2022-06-27,242.0,245.6,236.4,239.4,-1,-1,0,0
2022-06-28,241.0,245.0,237.2,239.8,-1,-1,0,0
2022-06-29,239.8,239.8,233.0,235.2,-1,-1,0,0
