Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-07-11,10.86,10.97,10.71,10.84,-1,-1,0,0
2022-07-12,10.82,11.24,10.63,11.15,-1,-1,0,0
2022-07-13,11.19,11.19,10.57,10.9,-1,-1,0,0
2022-07-14,10.91,11.01,10.36,10.46,-1,-1,0,0
2022-07-15,10.65,10.7,10.42,10.67,-1,-1,0,0
2022-07-18,10.58,10.87,10.58,10.87,-1,-1,0,0
2022-07-19,10.85,11.0,10.62,10.95,-1,-1,0,0
2022-07-20,11.03,11.27,10.7,10.85,-1,-1,0,0
2022-07-21,10.88,11.1,10.7,10.98,-1,-1,0,0
2022-07-22,11.01,11.15,10.79,10.84,-1,-1,0,0
2022-07-25,10.8,11.2,10.72,11.2,-1,-1,0,0
2022-07-26,11.2,11.2,10.8,10.8,-1,-1,0,0
2022-07-27,11.0,11.58,10.99,11.26,-1,-1,0,0
2022-07-28,11.39,11.46,11.16,11.2,-1,-1,0,0
2022-07-29,11.25,11.52,11.19,11.48,-1,-1,0,0
2022-08-01,11.47,12.0,11.46,11.96,-1,-1,0,0
2022-08-02,12.0,12.46,11.73,11.73,-1,-1,0,0
2022-08-03,11.9,11.95,11.7,11.9,-1,-1,0,0
2022-08-04,11.94,12.0,11.59,11.65,-1,-1,0,0
2022-08-05,11.7,11.85,11.36,11.6,-1,-1,0,0
2022-08-08,11.63,11.74,11.45,11.69,-1,-1,0,0
2022-08-09,11.72,12.19,11.63,12.01,-1,-1,0,0
2022-08-10,12.09,12.2,11.9,12.1,-1,-1,0,0
2022-08-11,12.21,12.26,12.01,12.1,-1,-1,0,0
2022-08-12,12.22,12.35,12.1,12.13,-1,-1,0,0
2022-08-16,12.23,12.62,12.2,12.6,-1,-1,0,0
2022-08-17,12.66,13.13,12.52,13.0,-1,-1,0,0
2022-08-18,13.0,13.45,12.88,13.18,-1,-1,0,0
2022-08-19,13.17,13.29,13.02,13.27,-1,-1,0,0
2022-08-22,13.21,13.26,12.51,12.96,-1,-1,0,0
2022-08-23,12.86,12.95,12.72,12.84,-1,-1,0,0
2022-08-24,12.92,12.92,12.5,12.62,-1,-1,0,0
2022-08-25,12.62,12.83,12.54,12.75,-1,-1,0,0
2022-08-26,12.68,12.8,12.2,12.29,-1,-1,0,0
2022-08-29,12.29,12.6,12.02,12.6,-1,-1,0,0
2022-08-30,12.92,13.54,11.9,11.9,-1,-1,0,0
