Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-06,48.3,48.9,47.5,48.5,-1,-1,0,0
2022-12-07,48.2,48.3,46.7,47.9,-1,-1,0,0
2022-12-08,48.0,49.0,47.5,47.9,-1,-1,0,0
2022-12-09,47.1,48.0,47.0,47.8,-1,-1,0,0
2022-12-12,47.8,47.95,47.3,47.5,-1,-1,0,0
2022-12-13,47.5,47.6,47.0,47.6,-1,-1,0,0
2022-12-14,47.6,48.8,47.6,48.0,-1,-1,0,0
2022-12-15,47.8,48.2,45.2,46.25,-1,-1,0,0
2022-12-16,46.0,46.2,43.5,46.0,-1,-1,0,0
2022-12-19,46.6,48.4,46.6,47.15,-1,-1,0,0
2022-12-20,47.25,47.25,45.65,45.8,-1,-1,0,0
2022-12-21,46.15,46.9,45.85,46.25,-1,-1,0,0
2022-12-22,46.0,46.5,45.8,45.8,-1,-1,0,0
2022-12-23,45.8,45.95,44.55,45.0,-1,-1,0,0
2022-12-27,45.0,45.45,44.4,45.2,-1,-1,0,0
2022-12-28,45.2,47.35,45.2,46.45,-1,-1,0,0
2022-12-29,47.0,47.8,46.6,47.0,-1,-1,0,0
2022-12-30,47.0,47.4,46.0,46.8,-1,-1,0,0
2023-01-02,47.0,48.9,47.0,47.95,-1,-1,0,0
2023-01-03,48.4,49.1,47.95,49.1,-1,-1,0,0
2023-01-04,49.1,52.0,49.1,51.5,-1,-1,0,0
2023-01-05,51.9,53.8,51.8,53.2,-1,-1,0,0
2023-01-09,53.9,54.9,51.6,53.0,-1,-1,0,0
2023-01-10,53.0,54.3,51.7,52.5,-1,-1,0,0
2023-01-11,52.9,54.0,52.4,53.1,-1,-1,0,0
2023-01-12,53.8,53.8,52.0,52.8,-1,-1,0,0
2023-01-13,52.1,52.7,51.8,52.3,-1,-1,0,0
2023-01-16,53.1,56.5,53.0,56.5,-1,-1,0,0
2023-01-17,56.9,59.0,55.0,55.0,-1,-1,0,0
2023-01-18,55.2,57.8,55.0,57.0,-1,-1,0,0
2023-01-19,57.4,57.4,55.1,55.3,-1,-1,0,0
2023-01-20,55.4,56.9,55.4,56.0,-1,-1,0,0
2023-01-23,56.9,56.9,54.6,55.3,-1,-1,0,0
2023-01-24,55.5,56.8,55.5,55.5,-1,-1,0,0
2023-01-25,55.5,56.4,54.5,54.8,-1,-1,0,0
2023-01-26,55.4,55.9,53.0,53.2,-1,-1,0,0
2023-01-27,54.2,55.5,53.2,54.0,-1,-1,0,0
2023-01-30,54.0,55.0,53.1,54.3,-1,-1,0,0
2023-01-31,54.3,55.8,53.5,54.7,-1,-1,0,0
2023-02-01,55.0,57.0,55.0,55.7,-1,-1,0,0
2023-02-02,56.4,56.4,55.0,55.4,-1,-1,0,0
2023-02-03,55.5,57.5,55.0,56.6,-1,-1,0,0
2023-02-06,57.3,58.5,56.0,56.8,-1,-1,0,0
2023-02-07,56.4,57.3,55.1,55.1,-1,-1,0,0
2023-02-08,55.1,55.7,54.0,54.0,-1,-1,0,0
2023-02-09,53.8,55.6,53.8,54.3,-1,-1,0,0
2023-02-10,54.7,55.0,51.1,52.0,-1,-1,0,0
2023-02-13,52.6,53.8,51.5,51.7,-1,-1,0,0
2023-02-14,51.7,52.9,51.7,52.1,-1,-1,0,0
2023-02-15,51.0,51.5,47.75,51.0,-1,-1,0,0
2023-02-16,52.0,56.0,46.8,53.5,-1,-1,0,0
2023-02-17,54.5,55.0,52.2,52.9,-1,-1,0,0
2023-02-20,52.9,52.9,50.2,51.3,-1,-1,0,0
2023-02-21,51.3,51.5,49.0,49.2,-1,-1,0,0
2023-02-22,49.1,50.5,47.5,49.65,-1,-1,0,0
2023-02-23,50.0,51.6,50.0,50.4,-1,-1,0,0
2023-02-24,50.4,50.6,48.9,49.15,-1,-1,0,0
2023-02-27,49.0,49.1,46.9,47.45,-1,-1,0,0
2023-02-28,47.3,49.1,46.6,48.35,-1,-1,0,0
2023-03-01,47.8,48.85,46.8,47.35,-1,-1,0,0
2023-03-02,47.0,49.1,46.45,48.75,-1,-1,0,0
2023-03-03,49.05,50.4,47.0,47.7,-1,-1,0,0
2023-03-06,47.85,50.0,47.85,49.4,-1,-1,0,0
2023-03-07,49.4,50.3,47.65,47.85,-1,-1,0,0
2023-03-08,48.4,48.45,47.3,47.4,-1,-1,0,0
2023-03-09,47.5,48.9,47.5,48.75,-1,-1,0,0
2023-03-10,48.5,49.55,47.95,48.8,-1,-1,0,0
2023-03-13,48.45,48.8,44.45,47.8,-1,-1,0,0
2023-03-14,47.55,50.3,47.15,50.3,-1,-1,0,0
2023-03-15,50.3,50.8,47.2,47.4,-1,-1,0,0
2023-03-16,47.15,47.4,45.5,46.9,-1,-1,0,0
2023-03-17,46.95,47.8,45.25,45.5,-1,-1,0,0
2023-03-20,45.2,45.2,42.35,43.8,-1,-1,0,0
2023-03-21,43.5,44.6,40.75,43.0,-1,-1,0,0
2023-03-22,43.3,45.4,43.3,44.0,-1,-1,0,0
2023-03-23,44.15,44.15,42.6,43.1,-1,-1,0,0
2023-03-24,43.7,43.7,41.8,42.35,-1,-1,0,0
2023-03-27,42.4,44.5,42.4,43.65,-1,-1,0,0
2023-03-28,43.7,44.6,43.2,44.0,-1,-1,0,0
2023-03-29,44.0,45.9,44.0,45.1,-1,-1,0,0
2023-03-30,45.9,46.7,45.25,46.5,-1,-1,0,0
2023-03-31,46.1,46.75,45.2,45.6,-1,-1,0,0
2023-04-03,45.8,49.15,45.8,49.0,-1,-1,0,0
2023-04-04,49.0,49.6,48.75,49.05,-1,-1,0,0
2023-04-05,49.7,52.3,49.35,51.5,-1,-1,0,0
2023-04-06,52.2,53.4,50.3,52.7,-1,-1,0,0
2023-04-11,52.5,52.9,51.0,52.6,-1,-1,0,0
2023-04-12,52.1,52.1,50.7,51.4,-1,-1,0,0
2023-04-13,51.2,52.8,50.2,52.3,-1,-1,0,0
2023-04-14,52.9,53.0,51.6,52.6,-1,-1,0,0
2023-04-17,52.6,54.2,52.6,53.2,-1,-1,0,0
2023-04-18,53.2,53.2,51.7,52.8,-1,-1,0,0
2023-04-19,53.4,53.6,51.7,51.7,-1,-1,0,0
2023-04-20,52.3,52.3,47.6,51.3,-1,-1,0,0
2023-04-21,51.3,51.9,50.4,51.0,-1,-1,0,0
2023-04-24,52.0,52.9,49.85,49.9,-1,-1,0,0
2023-04-25,50.0,52.4,49.85,51.5,-1,-1,0,0
2023-04-26,51.9,51.9,44.0,45.55,-1,-1,0,0
2023-04-27,46.0,46.95,44.3,46.75,-1,-1,0,0
2023-04-28,46.85,47.6,45.8,47.45,-1,-1,0,0
2023-05-02,47.0,47.5,45.0,45.35,-1,-1,0,0
2023-05-04,45.35,45.35,42.7,42.9,-1,-1,0,0
2023-05-05,42.5,44.8,42.3,44.05,-1,-1,0,0
2023-05-08,44.2,45.95,44.2,45.35,-1,-1,0,0
2023-05-09,46.0,46.0,44.7,44.85,-1,-1,0,0
2023-05-10,45.0,45.15,43.65,45.0,-1,-1,0,0
2023-05-11,47.1,49.45,46.4,47.0,-1,-1,0,0
2023-05-12,47.4,48.9,47.0,48.8,-1,-1,0,0
2023-05-15,49.0,49.1,47.85,48.45,-1,-1,0,0
2023-05-16,48.45,50.7,47.85,50.2,-1,-1,0,0
2023-05-17,50.2,52.7,50.2,51.3,-1,-1,0,0
2023-05-18,52.6,52.6,51.1,51.8,-1,-1,0,0
2023-05-19,52.0,53.9,51.7,53.4,-1,-1,0,0
2023-05-22,53.0,53.8,52.2,52.3,-1,-1,0,0
2023-05-23,52.2,52.9,50.2,52.5,-1,-1,0,0
2023-05-24,53.0,53.5,50.4,50.4,-1,-1,0,0
2023-05-25,51.0,51.2,49.6,50.0,-1,-1,0,0
2023-05-26,49.65,51.0,49.65,50.2,-1,-1,0,0
2023-05-29,50.7,51.5,50.5,50.7,-1,-1,0,0
2023-05-30,50.8,52.6,50.5,51.8,-1,-1,0,0
2023-05-31,51.8,52.1,50.1,50.1,-1,-1,0,0
