Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-10,3.31,3.38,3.28,3.28,-1,-1,0,0
2022-11-14,3.33,3.495,3.3,3.425,-1,-1,0,0
2022-11-15,3.425,3.435,3.32,3.4,-1,-1,0,0
2022-11-16,3.38,3.4,3.32,3.335,-1,-1,0,0
2022-11-17,3.35,3.365,3.35,3.36,-1,-1,0,0
2022-11-18,3.36,3.42,3.355,3.405,-1,-1,0,0
2022-11-21,3.405,3.42,3.365,3.385,-1,-1,0,0
2022-11-22,3.42,3.42,3.335,3.335,-1,-1,0,0
2022-11-23,3.33,3.4,3.33,3.39,-1,-1,0,0
2022-11-24,3.36,3.45,3.36,3.445,-1,-1,0,0
2022-11-25,3.405,3.48,3.405,3.45,-1,-1,0,0
2022-11-28,3.45,3.47,3.42,3.45,-1,-1,0,0
2022-11-29,3.42,3.52,3.42,3.49,-1,-1,0,0
2022-11-30,3.5,3.52,3.465,3.5,-1,-1,0,0
2022-12-01,3.52,3.55,3.5,3.55,-1,-1,0,0
2022-12-02,3.53,3.58,3.525,3.56,-1,-1,0,0
2022-12-05,3.575,3.575,3.47,3.55,-1,-1,0,0
2022-12-06,3.5,3.55,3.48,3.55,-1,-1,0,0
2022-12-07,3.51,3.53,3.485,3.5,-1,-1,0,0
2022-12-08,3.5,3.53,3.49,3.5,-1,-1,0,0
2022-12-09,3.5,3.57,3.5,3.555,-1,-1,0,0
2022-12-12,3.515,3.56,3.475,3.555,-1,-1,0,0
2022-12-13,3.55,3.55,3.4,3.455,-1,-1,0,0
2022-12-14,3.48,3.5,3.46,3.47,-1,-1,0,0
2022-12-15,3.465,3.47,3.38,3.43,-1,-1,0,0
2022-12-16,3.4,3.45,3.36,3.415,-1,-1,0,0
2022-12-19,3.4,3.425,3.37,3.425,-1,-1,0,0
2022-12-20,3.405,3.42,3.36,3.365,-1,-1,0,0
2022-12-21,3.38,3.4,3.37,3.385,-1,-1,0,0
2022-12-22,3.4,3.5,3.38,3.4,-1,-1,0,0
2022-12-23,3.4,3.435,3.37,3.37,-1,-1,0,0
2022-12-27,3.37,3.395,3.3,3.33,-1,-1,0,0
2022-12-28,3.33,3.35,3.305,3.32,-1,-1,0,0
2022-12-29,3.315,3.355,3.315,3.325,-1,-1,0,0
2022-12-30,3.325,3.435,3.325,3.37,-1,-1,0,0
2023-01-02,3.375,3.46,3.375,3.385,-1,-1,0,0
2023-01-03,3.395,3.46,3.395,3.43,-1,-1,0,0
2023-01-04,3.46,3.485,3.43,3.46,-1,-1,0,0
2023-01-05,3.46,3.46,3.385,3.435,-1,-1,0,0
2023-01-09,3.435,3.45,3.355,3.355,-1,-1,0,0
2023-01-10,3.355,3.45,3.355,3.44,-1,-1,0,0
2023-01-11,3.45,3.46,3.35,3.41,-1,-1,0,0
2023-01-12,3.4,3.44,3.39,3.4,-1,-1,0,0
2023-01-13,3.43,3.445,3.38,3.43,-1,-1,0,0
2023-01-16,3.435,3.75,3.39,3.65,-1,-1,0,0
2023-01-17,3.7,3.88,3.55,3.63,-1,-1,0,0
2023-01-18,3.64,3.64,3.55,3.595,-1,-1,0,0
2023-01-19,3.59,3.62,3.5,3.525,-1,-1,0,0
2023-01-20,3.525,3.6,3.44,3.505,-1,-1,0,0
2023-01-23,3.53,3.54,3.45,3.485,-1,-1,0,0
2023-01-24,3.485,3.575,3.47,3.5,-1,-1,0,0
2023-01-25,3.5,3.5,3.44,3.445,-1,-1,0,0
2023-01-26,3.45,3.495,3.415,3.415,-1,-1,0,0
2023-01-27,3.435,3.51,3.435,3.51,-1,-1,0,0
2023-01-30,3.46,3.515,3.45,3.485,-1,-1,0,0
2023-01-31,3.48,3.5,3.46,3.465,-1,-1,0,0
2023-02-01,3.5,3.59,3.46,3.58,-1,-1,0,0
2023-02-02,3.58,3.62,3.54,3.58,-1,-1,0,0
2023-02-03,3.56,3.58,3.525,3.53,-1,-1,0,0
2023-02-06,3.53,3.56,3.38,3.485,-1,-1,0,0
2023-02-07,3.47,3.515,3.4,3.43,-1,-1,0,0
2023-02-08,3.435,3.48,3.41,3.41,-1,-1,0,0
2023-02-09,3.41,3.5,3.395,3.49,-1,-1,0,0
2023-02-10,3.49,3.49,3.425,3.455,-1,-1,0,0
2023-02-13,3.43,3.47,3.43,3.465,-1,-1,0,0
2023-02-14,3.45,3.48,3.43,3.44,-1,-1,0,0
2023-02-15,3.44,3.48,3.43,3.47,-1,-1,0,0
2023-02-16,3.485,3.495,3.47,3.485,-1,-1,0,0
2023-02-17,3.475,3.49,3.41,3.41,-1,-1,0,0
2023-02-20,3.415,3.475,3.415,3.43,-1,-1,0,0
2023-02-21,3.43,3.475,3.42,3.46,-1,-1,0,0
2023-02-22,3.46,3.465,3.415,3.42,-1,-1,0,0
2023-02-23,3.45,3.465,3.42,3.44,-1,-1,0,0
2023-02-24,3.42,3.455,3.415,3.42,-1,-1,0,0
2023-02-27,3.43,3.45,3.42,3.43,-1,-1,0,0
2023-02-28,3.43,3.45,3.42,3.445,-1,-1,0,0
2023-03-01,3.445,3.465,3.43,3.465,-1,-1,0,0
2023-03-02,3.45,3.48,3.425,3.465,-1,-1,0,0
2023-03-03,3.45,3.5,3.44,3.5,-1,-1,0,0
2023-03-06,3.51,3.73,3.51,3.645,-1,-1,0,0
2023-03-07,3.645,3.73,3.6,3.615,-1,-1,0,0
2023-03-08,3.605,3.63,3.52,3.56,-1,-1,0,0
2023-03-09,3.56,3.595,3.55,3.575,-1,-1,0,0
2023-03-10,3.585,3.585,3.47,3.53,-1,-1,0,0
2023-03-13,3.52,3.52,3.425,3.49,-1,-1,0,0
2023-03-14,3.48,3.55,3.48,3.5,-1,-1,0,0
2023-03-15,3.5,3.52,3.43,3.43,-1,-1,0,0
2023-03-16,3.435,3.48,3.41,3.435,-1,-1,0,0
2023-03-17,3.445,3.46,3.42,3.42,-1,-1,0,0
2023-03-20,3.415,3.455,3.345,3.455,-1,-1,0,0
2023-03-21,3.43,3.47,3.4,3.44,-1,-1,0,0
2023-03-22,3.425,3.46,3.38,3.385,-1,-1,0,0
2023-03-23,3.4,3.45,3.4,3.41,-1,-1,0,0
2023-03-24,3.41,3.43,3.38,3.38,-1,-1,0,0
2023-03-27,3.4,3.425,3.37,3.425,-1,-1,0,0
2023-03-28,3.445,3.445,3.3,3.33,-1,-1,0,0
2023-03-29,3.36,3.405,3.35,3.39,-1,-1,0,0
2023-03-30,3.395,3.49,3.395,3.48,-1,-1,0,0
2023-03-31,3.47,3.495,3.3,3.42,-1,-1,0,0
2023-04-03,3.61,3.7,3.56,3.6,-1,-1,0,0
2023-04-04,3.6,3.645,3.445,3.58,-1,-1,0,0
2023-04-05,3.55,3.585,3.5,3.515,-1,-1,0,0
2023-04-06,3.56,3.56,3.48,3.5,-1,-1,0,0
2023-04-11,3.51,3.57,3.5,3.57,-1,-1,0,0
2023-04-12,3.525,3.64,3.525,3.575,-1,-1,0,0
2023-04-13,3.575,3.6,3.52,3.56,-1,-1,0,0
2023-04-14,3.56,3.57,3.52,3.52,-1,-1,0,0
2023-04-17,3.52,3.6,3.52,3.55,-1,-1,0,0
2023-04-18,3.58,3.6,3.535,3.55,-1,-1,0,0
2023-04-19,3.555,3.595,3.545,3.58,-1,-1,0,0
2023-04-20,3.585,3.61,3.535,3.535,-1,-1,0,0
2023-04-21,3.56,3.84,3.56,3.835,-1,-1,0,0
2023-04-24,3.835,3.955,3.805,3.895,-1,-1,0,0
2023-04-25,3.88,3.89,3.78,3.805,-1,-1,0,0
2023-04-26,3.82,3.9,3.78,3.835,-1,-1,0,0
2023-04-27,3.83,3.97,3.8,3.96,-1,-1,0,0
2023-04-28,3.97,3.98,3.72,3.95,-1,-1,0,0
2023-05-02,3.885,3.885,3.78,3.78,-1,-1,0,0
2023-05-04,3.77,3.77,3.65,3.67,-1,-1,0,0
2023-05-05,3.695,3.715,3.62,3.63,-1,-1,0,0
