Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-06-02,11.8,11.96,11.5,11.58,-1,-1,0,0
2022-06-03,11.58,11.73,11.41,11.41,-1,-1,0,0
2022-06-06,11.42,11.79,11.4,11.52,-1,-1,0,0
2022-06-07,11.67,11.67,11.16,11.31,-1,-1,0,0
2022-06-08,11.3,11.4,11.04,11.1,-1,-1,0,0
2022-06-09,11.1,11.2,10.92,11.17,-1,-1,0,0
2022-06-10,11.23,11.23,10.84,11.14,-1,-1,0,0
2022-06-13,11.0,11.1,10.66,10.66,-1,-1,0,0
2022-06-14,10.67,10.92,10.45,10.84,-1,-1,0,0
2022-06-15,10.98,11.12,10.8,11.11,-1,-1,0,0
2022-06-17,11.15,11.18,11.0,11.0,-1,-1,0,0
2022-06-20,11.0,11.11,10.91,11.0,-1,-1,0,0
2022-06-21,11.17,11.22,11.0,11.22,-1,-1,0,0
2022-06-22,11.22,11.22,10.87,10.9,-1,-1,0,0
2022-06-23,11.0,11.0,10.7,10.7,-1,-1,0,0
2022-06-24,10.73,11.0,10.32,10.96,-1,-1,0,0
2022-06-27,11.0,11.0,10.8,10.86,-1,-1,0,0
2022-06-28,10.83,11.11,10.83,11.0,-1,-1,0,0
2022-06-29,10.82,11.02,10.81,11.0,-1,-1,0,0
2022-06-30,11.0,11.03,10.72,10.77,-1,-1,0,0
2022-07-01,10.76,11.01,10.68,10.99,-1,-1,0,0
2022-07-04,11.03,11.03,10.7,10.72,-1,-1,0,0
2022-07-05,10.84,10.84,10.13,10.13,-1,-1,0,0
2022-07-06,10.06,10.38,10.06,10.2,-1,-1,0,0
2022-07-07,10.35,10.6,10.35,10.6,-1,-1,0,0
2022-07-08,10.64,11.17,10.64,11.1,-1,-1,0,0
2022-07-11,11.15,11.17,10.88,10.88,-1,-1,0,0
2022-07-12,11.05,11.05,10.8,10.8,-1,-1,0,0
2022-07-13,10.84,10.88,10.5,10.5,-1,-1,0,0
2022-07-14,10.52,10.88,10.42,10.88,-1,-1,0,0
2022-07-15,10.88,10.88,10.65,10.65,-1,-1,0,0
