Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-05-11,31.13,31.48,30.5,30.66,-1,-1,0,0
2023-05-12,30.72,31.64,30.68,31.35,-1,-1,0,0
2023-05-15,31.73,31.93,31.06,31.3,-1,-1,0,0
2023-05-16,31.54,32.0,31.04,31.55,-1,-1,0,0
2023-05-17,31.36,31.48,30.89,31.3,-1,-1,0,0
2023-05-18,31.45,31.8,31.01,31.36,-1,-1,0,0
2023-05-19,31.73,33.0,31.53,32.89,-1,-1,0,0
2023-05-22,32.74,33.7,32.71,33.42,-1,-1,0,0
2023-05-23,33.5,34.13,33.33,33.33,-1,-1,0,0
2023-05-24,33.05,33.19,31.75,31.75,-1,-1,0,0
2023-05-25,31.8,32.03,31.0,31.31,-1,-1,0,0
2023-05-26,31.7,32.8,31.37,32.28,-1,-1,0,0
2023-05-29,32.79,33.03,32.47,32.53,-1,-1,0,0
2023-05-30,32.25,32.26,31.36,31.46,-1,-1,0,0
2023-05-31,30.78,30.78,29.67,29.8,-1,-1,0,0
2023-06-01,30.5,31.48,29.95,31.44,-1,-1,0,0
2023-06-02,32.04,33.62,31.85,33.59,-1,-1,0,0
2023-06-05,33.58,34.72,33.32,33.7,-1,-1,0,0
2023-06-06,33.6,35.01,33.5,34.92,-1,-1,0,0
2023-06-07,34.68,34.92,33.83,34.18,-1,-1,0,0
2023-06-09,34.98,35.0,34.34,34.63,-1,-1,0,0
2023-06-12,34.77,35.24,34.21,34.21,-1,-1,0,0
2023-06-13,35.01,35.01,33.67,33.75,-1,-1,0,0
2023-06-14,34.25,35.42,34.1,35.4,-1,-1,0,0
2023-06-15,35.17,35.75,34.57,35.67,-1,-1,0,0
2023-06-16,35.96,36.92,35.88,36.6,-1,-1,0,0
2023-06-19,36.4,36.81,35.66,35.66,-1,-1,0,0
2023-06-20,35.55,35.8,34.96,35.05,-1,-1,0,0
2023-06-21,34.96,35.69,34.82,35.39,-1,-1,0,0
2023-06-22,35.11,35.71,34.65,35.33,-1,-1,0,0
2023-06-23,35.14,35.14,33.75,33.95,-1,-1,0,0
2023-06-26,33.97,35.17,33.55,35.04,-1,-1,0,0
2023-06-27,35.01,35.25,33.32,33.9,-1,-1,0,0
2023-06-28,34.57,34.69,33.59,34.16,-1,-1,0,0
2023-06-29,34.33,34.8,34.33,34.7,-1,-1,0,0
2023-06-30,34.95,34.95,34.15,34.52,-1,-1,0,0
2023-07-03,34.65,35.53,34.65,35.5,-1,-1,0,0
2023-07-04,35.31,35.36,34.65,34.8,-1,-1,0,0
2023-07-05,34.35,34.39,33.26,33.3,-1,-1,0,0
2023-07-06,32.7,33.44,32.35,33.04,-1,-1,0,0
