Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-01-18,22.2,22.2,21.7,22.2,-1,-1,0,0
2023-01-19,22.2,22.2,21.9,21.9,-1,-1,0,0
2023-01-20,22.1,22.2,22.0,22.2,-1,-1,0,0
2023-01-23,22.2,22.5,22.2,22.4,-1,-1,0,0
2023-01-24,22.5,22.5,22.3,22.3,-1,-1,0,0
2023-01-25,22.4,22.5,22.0,22.0,-1,-1,0,0
2023-01-26,22.2,22.4,22.2,22.4,-1,-1,0,0
2023-01-27,22.4,22.4,21.7,22.1,-1,-1,0,0
2023-01-30,21.8,22.4,21.8,22.4,-1,-1,0,0
2023-01-31,22.3,22.3,22.3,22.3,-1,-1,0,0
2023-02-01,22.4,22.4,21.8,22.4,-1,-1,0,0
2023-02-02,22.4,22.4,21.7,22.3,-1,-1,0,0
2023-02-03,22.2,22.4,21.6,22.3,-1,-1,0,0
2023-02-06,22.6,22.6,21.6,21.7,-1,-1,0,0
2023-02-07,22.0,22.7,22.0,22.7,-1,-1,0,0
2023-02-08,22.7,24.8,22.2,24.8,-1,-1,0,0
2023-02-09,24.0,25.8,24.0,25.8,-1,-1,0,0
2023-02-10,25.8,26.0,25.5,25.5,-1,-1,0,0
2023-02-13,25.2,26.0,25.2,25.5,-1,-1,0,0
2023-02-14,25.4,26.0,25.1,26.0,-1,-1,0,0
2023-02-15,26.0,26.0,25.5,25.6,-1,-1,0,0
2023-02-16,26.1,26.1,25.6,25.6,-1,-1,0,0
2023-02-17,26.0,26.0,25.6,25.9,-1,-1,0,0
2023-02-20,26.0,26.2,26.0,26.0,-1,-1,0,0
2023-02-21,26.1,26.2,26.0,26.2,-1,-1,0,0
2023-02-22,26.2,26.8,26.0,26.8,-1,-1,0,0
2023-02-23,27.0,29.4,27.0,29.4,-1,-1,0,0
2023-02-24,29.0,33.0,29.0,32.7,-1,-1,0,0
2023-02-27,32.5,34.0,31.5,32.4,-1,-1,0,0
2023-02-28,31.2,32.0,31.2,31.5,-1,-1,0,0
2023-03-01,31.7,32.6,31.2,31.7,-1,-1,0,0
2023-03-02,31.2,31.6,29.3,30.6,-1,-1,0,0
2023-03-03,29.1,31.8,29.1,31.8,-1,-1,0,0
2023-03-06,31.9,32.0,31.0,31.5,-1,-1,0,0
2023-03-07,31.5,32.5,31.5,32.2,-1,-1,0,0
2023-03-08,32.2,33.0,31.2,33.0,-1,-1,0,0
2023-03-09,32.9,33.0,31.3,33.0,-1,-1,0,0
2023-03-10,32.0,32.3,30.3,32.0,-1,-1,0,0
2023-03-13,32.0,32.0,30.4,30.6,-1,-1,0,0
2023-03-14,30.5,30.5,30.1,30.4,-1,-1,0,0
2023-03-15,30.4,31.0,30.1,31.0,-1,-1,0,0
2023-03-16,30.5,31.0,30.5,30.7,-1,-1,0,0
2023-03-17,30.7,30.8,30.7,30.7,-1,-1,0,0
2023-03-20,30.6,30.6,30.0,30.2,-1,-1,0,0
2023-03-21,30.6,30.6,30.6,30.6,-1,-1,0,0
2023-03-22,31.0,31.0,30.7,30.7,-1,-1,0,0
2023-03-23,31.0,31.0,30.5,31.0,-1,-1,0,0
2023-03-24,31.0,31.8,30.5,31.8,-1,-1,0,0
2023-03-27,31.8,32.0,30.8,32.0,-1,-1,0,0
2023-03-28,31.7,33.0,31.7,32.0,-1,-1,0,0
2023-03-29,32.0,32.9,31.4,32.9,-1,-1,0,0
