Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-01-05,1.505,1.58,1.5,1.55,-1,-1,0,0
2023-01-09,1.54,1.63,1.52,1.55,-1,-1,0,0
2023-01-10,1.51,1.565,1.49,1.52,-1,-1,0,0
2023-01-11,1.5,1.5,1.47,1.47,-1,-1,0,0
2023-01-12,1.49,1.51,1.425,1.43,-1,-1,0,0
2023-01-13,1.455,1.48,1.4,1.43,-1,-1,0,0
2023-01-16,1.475,2.02,1.43,2.02,-1,-1,0,0
2023-01-17,2.15,2.24,1.62,1.62,-1,-1,0,0
2023-01-18,1.67,1.695,1.52,1.595,-1,-1,0,0
2023-01-19,1.59,1.59,1.49,1.5,-1,-1,0,0
2023-01-20,1.565,1.63,1.49,1.575,-1,-1,0,0
2023-01-23,1.575,1.63,1.575,1.62,-1,-1,0,0
2023-01-24,1.635,1.67,1.6,1.65,-1,-1,0,0
2023-01-25,1.65,1.67,1.6,1.645,-1,-1,0,0
2023-01-26,1.64,1.64,1.51,1.575,-1,-1,0,0
