Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-01-24,0.442,0.46,0.414,0.433,-1,-1,0,0
2023-01-25,0.432,0.455,0.402,0.429,-1,-1,0,0
2023-01-26,0.429,0.429,0.4,0.412,-1,-1,0,0
2023-01-27,0.412,0.442,0.39,0.42,-1,-1,0,0
2023-01-30,0.43,0.44,0.407,0.416,-1,-1,0,0
2023-01-31,0.42,0.43,0.404,0.41,-1,-1,0,0
2023-02-01,0.428,0.428,0.406,0.408,-1,-1,0,0
2023-02-02,0.408,0.59,0.408,0.512,-1,-1,0,0
2023-02-03,0.514,0.536,0.483,0.5,-1,-1,0,0
2023-02-06,0.51,0.518,0.49,0.499,-1,-1,0,0
2023-02-07,0.49,0.508,0.473,0.499,-1,-1,0,0
2023-02-08,0.5,0.592,0.5,0.548,-1,-1,0,0
2023-02-09,0.552,0.578,0.52,0.544,-1,-1,0,0
2023-02-10,0.544,0.568,0.524,0.55,-1,-1,0,0
2023-02-13,0.558,0.65,0.54,0.6,-1,-1,0,0
2023-02-14,0.6,0.62,0.54,0.548,-1,-1,0,0
2023-02-15,0.54,0.54,0.518,0.528,-1,-1,0,0
2023-02-16,0.522,0.538,0.514,0.514,-1,-1,0,0
2023-02-17,0.512,0.542,0.512,0.52,-1,-1,0,0
2023-02-20,0.53,0.53,0.502,0.52,-1,-1,0,0
2023-02-21,0.524,0.532,0.506,0.508,-1,-1,0,0
2023-02-22,0.502,0.528,0.5,0.522,-1,-1,0,0
2023-02-23,0.522,0.522,0.5,0.5,-1,-1,0,0
2023-02-24,0.51,0.526,0.506,0.512,-1,-1,0,0
2023-02-27,0.524,0.546,0.5,0.52,-1,-1,0,0
2023-02-28,0.538,0.538,0.516,0.53,-1,-1,0,0
