Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-22,0.412,0.416,0.41,0.4125,-1,-1,0,0
2022-12-23,0.4155,0.435,0.413,0.432,-1,-1,0,0
2022-12-27,0.435,0.4785,0.435,0.4565,-1,-1,0,0
2022-12-28,0.46,0.5,0.457,0.483,-1,-1,0,0
2022-12-29,0.49,0.499,0.4705,0.48,-1,-1,0,0
2022-12-30,0.48,0.528,0.465,0.5,-1,-1,0,0
2023-01-02,0.507,0.597,0.505,0.585,-1,-1,0,0
2023-01-03,0.596,0.666,0.596,0.615,-1,-1,0,0
2023-01-04,0.619,0.624,0.59,0.591,-1,-1,0,0
2023-01-05,0.594,0.628,0.592,0.615,-1,-1,0,0
2023-01-09,0.615,0.626,0.597,0.62,-1,-1,0,0
2023-01-10,0.618,0.63,0.617,0.619,-1,-1,0,0
2023-01-11,0.623,0.627,0.6,0.608,-1,-1,0,0
2023-01-12,0.608,0.611,0.6,0.604,-1,-1,0,0
