Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-08,4.56,4.56,4.42,4.486,-1,-1,0,0
2022-12-09,4.48,4.508,4.35,4.44,-1,-1,0,0
2022-12-12,4.4,4.454,4.34,4.44,-1,-1,0,0
2022-12-13,4.47,4.616,4.452,4.546,-1,-1,0,0
2022-12-14,4.62,4.708,4.574,4.636,-1,-1,0,0
2022-12-15,4.6,4.638,4.522,4.56,-1,-1,0,0
2022-12-16,4.55,4.666,4.52,4.662,-1,-1,0,0
2022-12-19,4.688,4.72,4.508,4.552,-1,-1,0,0
2022-12-20,4.548,4.594,4.504,4.57,-1,-1,0,0
2022-12-21,4.57,4.698,4.564,4.698,-1,-1,0,0
2022-12-22,4.692,4.76,4.644,4.696,-1,-1,0,0
2022-12-23,4.75,4.75,4.614,4.642,-1,-1,0,0
2022-12-27,4.694,4.7,4.49,4.52,-1,-1,0,0
2022-12-28,4.518,4.588,4.476,4.56,-1,-1,0,0
2022-12-29,4.52,4.67,4.51,4.622,-1,-1,0,0
2022-12-30,4.62,4.642,4.566,4.58,-1,-1,0,0
2023-01-02,4.67,4.73,4.6,4.73,-1,-1,0,0
2023-01-03,4.764,5.15,4.75,5.07,-1,-1,0,0
2023-01-04,5.1,5.6,5.0,5.595,-1,-1,0,0
2023-01-05,5.595,5.84,5.41,5.64,-1,-1,0,0
2023-01-09,5.66,5.77,5.525,5.585,-1,-1,0,0
2023-01-10,5.59,5.7,5.515,5.67,-1,-1,0,0
2023-01-11,5.72,5.77,5.305,5.31,-1,-1,0,0
2023-01-12,5.31,5.59,5.28,5.52,-1,-1,0,0
2023-01-13,5.58,5.58,5.41,5.5,-1,-1,0,0
2023-01-16,5.485,5.545,5.385,5.45,-1,-1,0,0
2023-01-17,5.485,5.49,5.22,5.23,-1,-1,0,0
2023-01-18,5.23,5.31,5.13,5.155,-1,-1,0,0
2023-01-19,5.14,5.26,5.105,5.23,-1,-1,0,0
2023-01-20,5.25,5.37,5.195,5.265,-1,-1,0,0
2023-01-23,5.27,5.3,5.14,5.14,-1,-1,0,0
2023-01-24,5.16,5.22,5.06,5.095,-1,-1,0,0
2023-01-25,5.03,5.03,4.66,4.752,-1,-1,0,0
2023-01-26,4.8,4.858,4.712,4.82,-1,-1,0,0
