Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-01-23,0.359,0.366,0.354,0.366,-1,-1,0,0
2023-01-24,0.36,0.37,0.36,0.37,-1,-1,0,0
2023-01-25,0.37,0.371,0.355,0.37,-1,-1,0,0
2023-01-26,0.37,0.37,0.36,0.37,-1,-1,0,0
2023-01-27,0.37,0.37,0.37,0.37,-1,-1,0,0
2023-01-30,0.357,0.368,0.357,0.368,-1,-1,0,0
2023-01-31,0.37,0.377,0.36,0.377,-1,-1,0,0
2023-02-01,0.374,0.377,0.366,0.377,-1,-1,0,0
2023-02-02,0.377,0.378,0.361,0.378,-1,-1,0,0
2023-02-03,0.377,0.385,0.363,0.385,-1,-1,0,0
2023-02-06,0.38,0.388,0.366,0.385,-1,-1,0,0
2023-02-07,0.381,0.5,0.381,0.5,-1,-1,0,0
2023-02-08,0.496,0.499,0.46,0.474,-1,-1,0,0
2023-02-09,0.475,0.475,0.466,0.467,-1,-1,0,0
2023-02-10,0.467,0.56,0.452,0.56,-1,-1,0,0
2023-02-13,0.578,0.65,0.528,0.596,-1,-1,0,0
2023-02-14,0.58,0.66,0.58,0.618,-1,-1,0,0
2023-02-15,0.58,0.638,0.58,0.628,-1,-1,0,0
2023-02-16,0.628,0.69,0.628,0.654,-1,-1,0,0
2023-02-17,0.63,0.678,0.63,0.678,-1,-1,0,0
