Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-15,18.0,18.0,18.0,18.0,-1,-1,0,0
2022-11-16,18.2,19.9,18.0,19.9,-1,-1,0,0
2022-11-17,19.9,19.9,17.8,17.8,-1,-1,0,0
2022-11-18,18.1,18.1,16.9,16.9,-1,-1,0,0
2022-11-21,17.0,17.0,16.9,16.9,-1,-1,0,0
2022-11-22,16.9,16.9,16.9,16.9,-1,-1,0,0
2022-11-23,17.0,17.0,15.7,15.7,-1,-1,0,0
2022-11-24,15.8,15.8,15.7,15.7,-1,-1,0,0
2022-11-25,15.7,15.7,12.8,12.8,-1,-1,0,0
2022-11-28,12.8,12.8,12.8,12.8,-1,-1,0,0
2022-11-29,13.0,13.0,12.7,12.7,-1,-1,0,0
2022-11-30,12.7,12.7,12.7,12.7,-1,-1,0,0
2022-12-01,12.2,12.2,10.8,12.2,-1,-1,0,0
2022-12-02,13.0,13.0,12.6,12.8,-1,-1,0,0
2022-12-05,12.9,12.9,12.8,12.8,-1,-1,0,0
2022-12-06,12.8,12.8,12.8,12.8,-1,-1,0,0
2022-12-07,13.2,14.4,13.2,14.0,-1,-1,0,0
2022-12-08,14.4,14.7,14.4,14.7,-1,-1,0,0
2022-12-09,15.5,15.5,15.1,15.1,-1,-1,0,0
2022-12-12,15.0,15.4,15.0,15.4,-1,-1,0,0
2022-12-13,15.0,15.4,15.0,15.4,-1,-1,0,0
2022-12-14,15.4,15.4,15.0,15.0,-1,-1,0,0
2022-12-15,15.0,15.0,14.0,14.0,-1,-1,0,0
2022-12-16,14.0,14.0,14.0,14.0,-1,-1,0,0
2022-12-19,14.0,14.0,14.0,14.0,-1,-1,0,0
2022-12-20,14.0,14.0,14.0,14.0,-1,-1,0,0
2022-12-21,14.0,14.0,14.0,14.0,-1,-1,0,0
2022-12-22,14.5,14.5,14.5,14.5,-1,-1,0,0
2022-12-23,14.3,14.3,13.9,13.9,-1,-1,0,0
2022-12-27,13.9,13.9,13.6,13.7,-1,-1,0,0
