Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-07,42.5,43.0,40.8,40.95,-1,-1,0,0
2022-11-08,40.8,42.0,40.4,41.0,-1,-1,0,0
2022-11-09,41.1,41.4,40.8,41.0,-1,-1,0,0
2022-11-10,41.3,41.95,41.1,41.4,-1,-1,0,0
2022-11-14,41.5,42.0,40.8,41.05,-1,-1,0,0
2022-11-15,41.4,41.4,40.05,40.2,-1,-1,0,0
2022-11-16,40.1,40.8,40.1,40.7,-1,-1,0,0
2022-11-17,40.85,40.9,40.0,40.0,-1,-1,0,0
2022-11-18,39.8,40.9,38.9,40.5,-1,-1,0,0
2022-11-21,40.95,41.0,40.1,40.2,-1,-1,0,0
2022-11-22,41.0,41.95,40.9,41.5,-1,-1,0,0
2022-11-23,41.5,41.5,41.0,41.4,-1,-1,0,0
2022-11-24,41.3,41.5,40.8,41.5,-1,-1,0,0
2022-11-25,41.45,41.45,41.1,41.3,-1,-1,0,0
2022-11-28,41.35,44.3,41.35,43.5,-1,-1,0,0
2022-11-29,43.5,44.1,42.4,43.4,-1,-1,0,0
2022-11-30,51.0,54.9,48.2,54.9,-1,-1,0,0
2022-12-01,55.0,59.0,51.2,55.9,-1,-1,0,0
2022-12-02,54.0,55.8,53.0,55.0,-1,-1,0,0
2022-12-05,55.0,58.5,54.7,58.0,-1,-1,0,0
2022-12-06,57.9,58.5,56.8,57.4,-1,-1,0,0
2022-12-07,56.8,57.8,56.7,57.0,-1,-1,0,0
2022-12-08,58.5,59.9,58.2,59.6,-1,-1,0,0
2022-12-09,59.6,59.6,58.1,58.5,-1,-1,0,0
2022-12-12,59.5,60.5,59.0,59.5,-1,-1,0,0
2022-12-13,59.5,59.9,55.1,58.1,-1,-1,0,0
2022-12-14,58.2,59.6,57.5,57.6,-1,-1,0,0
2022-12-15,57.6,57.6,53.0,55.0,-1,-1,0,0
2022-12-16,55.2,56.4,53.9,55.2,-1,-1,0,0
2022-12-19,55.2,55.2,53.8,54.5,-1,-1,0,0
