Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-07,106.8,113.0,105.5,108.3,-1,-1,0,0
2022-11-08,109.1,110.8,106.5,110.6,-1,-1,0,0
2022-11-09,111.3,113.9,108.2,108.9,-1,-1,0,0
2022-11-10,108.6,112.7,106.6,111.0,-1,-1,0,0
2022-11-14,112.9,118.8,112.7,116.9,-1,-1,0,0
2022-11-15,117.5,117.5,113.7,113.9,-1,-1,0,0
2022-11-16,111.9,116.0,111.1,115.2,-1,-1,0,0
2022-11-17,115.8,116.0,107.4,108.2,-1,-1,0,0
2022-11-18,109.9,112.9,108.0,110.5,-1,-1,0,0
2022-11-21,110.6,111.8,103.4,104.6,-1,-1,0,0
2022-11-22,105.8,127.0,105.8,127.0,-1,-1,0,0
2022-11-23,129.1,138.0,125.1,131.2,-1,-1,0,0
2022-11-24,131.2,137.4,127.1,137.4,-1,-1,0,0
2022-11-25,136.5,141.0,134.5,135.2,-1,-1,0,0
2022-11-28,135.3,137.4,130.7,134.0,-1,-1,0,0
2022-11-29,134.6,136.9,128.9,136.9,-1,-1,0,0
2022-11-30,136.8,143.8,134.6,135.1,-1,-1,0,0
2022-12-01,137.0,138.0,131.8,132.1,-1,-1,0,0
2022-12-02,133.5,140.5,132.5,139.5,-1,-1,0,0
2022-12-05,140.0,145.5,140.0,142.6,-1,-1,0,0
2022-12-06,142.9,143.1,137.4,139.0,-1,-1,0,0
2022-12-07,138.8,142.9,137.8,141.5,-1,-1,0,0
2022-12-08,141.5,141.5,135.3,136.4,-1,-1,0,0
2022-12-09,137.7,141.2,136.0,141.1,-1,-1,0,0
