Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-10-10,6.148,6.148,5.82,5.82,-1,-1,0,0
2022-10-11,5.886,5.96,5.7,5.748,-1,-1,0,0
2022-10-12,5.818,5.928,5.62,5.662,-1,-1,0,0
2022-10-13,5.732,5.75,5.33,5.422,-1,-1,0,0
2022-10-14,5.524,5.64,5.3,5.334,-1,-1,0,0
2022-10-17,5.36,5.748,5.36,5.588,-1,-1,0,0
2022-10-18,5.646,5.65,5.16,5.226,-1,-1,0,0
2022-10-19,5.204,5.204,4.921,4.954,-1,-1,0,0
2022-10-20,4.94,5.046,4.79,4.877,-1,-1,0,0
2022-10-21,4.95,4.95,4.664,4.739,-1,-1,0,0
2022-10-24,4.84,4.87,4.672,4.739,-1,-1,0,0
2022-10-25,4.826,5.248,4.8,5.05,-1,-1,0,0
2022-10-26,5.08,5.298,5.038,5.2,-1,-1,0,0
2022-10-27,5.24,5.24,5.022,5.172,-1,-1,0,0
2022-10-28,5.15,5.34,5.09,5.33,-1,-1,0,0
2022-10-31,5.358,5.676,5.35,5.45,-1,-1,0,0
2022-11-02,5.55,5.85,5.55,5.838,-1,-1,0,0
2022-11-03,5.706,5.938,5.63,5.796,-1,-1,0,0
2022-11-04,5.862,6.2,5.772,6.186,-1,-1,0,0
2022-11-07,6.25,6.54,5.67,5.764,-1,-1,0,0
2022-11-08,5.77,6.004,5.586,5.89,-1,-1,0,0
2022-11-09,5.888,6.02,5.82,6.01,-1,-1,0,0
2022-11-10,6.018,6.26,5.782,6.248,-1,-1,0,0
2022-11-14,6.25,6.446,6.148,6.272,-1,-1,0,0
2022-11-15,6.3,6.36,6.08,6.314,-1,-1,0,0
2022-11-16,6.124,6.39,6.12,6.326,-1,-1,0,0
2022-11-17,6.326,6.72,6.304,6.602,-1,-1,0,0
2022-11-18,6.602,6.686,6.402,6.558,-1,-1,0,0
2022-11-21,6.576,6.826,6.472,6.72,-1,-1,0,0
2022-11-22,6.75,6.99,6.692,6.824,-1,-1,0,0
2022-11-23,6.826,6.944,6.568,6.606,-1,-1,0,0
2022-11-24,6.588,6.614,6.31,6.486,-1,-1,0,0
2022-11-25,6.5,6.624,6.422,6.528,-1,-1,0,0
2022-11-28,6.54,6.556,6.41,6.446,-1,-1,0,0
