Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-07-31,2.94,2.94,2.94,2.94,-1,-1,0,0
2023-08-01,2.94,2.94,2.82,2.82,-1,-1,0,0
2023-08-02,2.82,2.82,2.82,2.82,-1,-1,0,0
2023-08-03,2.82,2.82,2.82,2.82,-1,-1,0,0
2023-08-04,2.82,2.98,2.8,2.94,-1,-1,0,0
2023-08-07,3.0,3.16,2.92,2.92,-1,-1,0,0
2023-08-08,2.9,2.9,2.86,2.86,-1,-1,0,0
2023-08-09,2.86,2.94,2.8,2.94,-1,-1,0,0
2023-08-10,2.94,2.94,2.94,2.94,-1,-1,0,0
2023-08-11,2.96,3.54,2.96,3.54,-1,-1,0,0
2023-08-14,4.46,4.46,3.8,3.8,-1,-1,0,0
2023-08-16,3.68,4.44,3.32,4.0,-1,-1,0,0
2023-08-17,3.9,4.08,3.6,4.0,-1,-1,0,0
2023-08-18,4.06,4.36,4.0,4.36,-1,-1,0,0
2023-08-21,4.12,4.12,3.66,3.98,-1,-1,0,0
2023-08-22,3.98,3.98,3.68,3.9,-1,-1,0,0
2023-08-23,3.78,3.78,3.44,3.48,-1,-1,0,0
2023-08-24,3.48,3.48,3.48,3.48,-1,-1,0,0
2023-08-25,3.48,3.48,3.48,3.48,-1,-1,0,0
