Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-07-10,28.0,28.6,27.35,27.6,-1,-1,0,0
2023-07-11,27.95,27.95,26.5,27.2,-1,-1,0,0
2023-07-12,27.25,28.8,27.25,28.0,-1,-1,0,0
2023-07-13,28.3,28.75,27.2,27.7,-1,-1,0,0
2023-07-14,27.7,28.2,26.55,26.9,-1,-1,0,0
2023-07-17,26.5,28.6,26.3,28.3,-1,-1,0,0
2023-07-18,28.25,28.45,27.5,28.0,-1,-1,0,0
2023-07-19,28.2,28.35,26.7,27.1,-1,-1,0,0
2023-07-20,27.3,27.95,26.7,27.1,-1,-1,0,0
2023-07-21,26.9,27.9,26.8,27.7,-1,-1,0,0
2023-07-24,27.7,28.0,27.05,27.15,-1,-1,0,0
2023-07-25,27.3,27.85,27.1,27.6,-1,-1,0,0
2023-07-26,27.6,27.6,27.0,27.55,-1,-1,0,0
2023-07-27,27.55,31.4,27.1,30.6,-1,-1,0,0
2023-07-28,30.55,33.0,30.0,32.1,-1,-1,0,0
2023-07-31,32.4,34.5,31.5,32.9,-1,-1,0,0
2023-08-01,33.5,33.5,31.5,31.5,-1,-1,0,0
2023-08-02,31.0,33.2,30.1,33.2,-1,-1,0,0
2023-08-03,32.7,33.55,31.1,31.4,-1,-1,0,0
2023-08-04,31.35,32.7,31.1,32.3,-1,-1,0,0
2023-08-07,32.8,36.95,32.5,36.5,-1,-1,0,0
2023-08-08,36.75,39.8,34.9,38.0,-1,-1,0,0
2023-08-09,38.45,38.9,37.3,38.6,-1,-1,0,0
2023-08-10,38.85,45.95,38.75,42.9,-1,-1,0,0
2023-08-11,42.9,44.8,41.5,44.65,-1,-1,0,0
2023-08-14,45.0,46.8,43.8,45.0,-1,-1,0,0
2023-08-16,45.0,45.0,41.55,41.9,-1,-1,0,0
2023-08-17,40.4,43.75,38.8,39.3,-1,-1,0,0
2023-08-18,38.8,39.6,36.7,38.3,-1,-1,0,0
2023-08-21,37.9,40.65,36.1,36.6,-1,-1,0,0
2023-08-22,36.6,38.4,36.35,38.15,-1,-1,0,0
2023-08-23,38.4,39.4,37.25,37.25,-1,-1,0,0
2023-08-24,37.95,38.3,34.6,34.95,-1,-1,0,0
2023-08-25,35.5,37.8,35.05,37.0,-1,-1,0,0
2023-08-28,37.5,41.9,37.5,41.9,-1,-1,0,0
2023-08-29,42.8,42.95,40.25,41.15,-1,-1,0,0
2023-08-30,41.6,42.85,40.05,42.35,-1,-1,0,0
2023-08-31,42.7,43.35,38.8,38.8,-1,-1,0,0
