Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-07-25,16.84,16.94,16.82,16.92,-1,-1,0,0
2023-07-26,17.18,17.18,16.84,16.88,-1,-1,0,0
2023-07-27,16.84,16.86,16.5,16.52,-1,-1,0,0
2023-07-28,16.54,16.68,15.94,16.4,-1,-1,0,0
2023-07-31,16.4,16.7,16.4,16.52,-1,-1,0,0
2023-08-01,17.5,17.5,16.9,16.94,-1,-1,0,0
2023-08-02,17.18,17.18,16.7,16.92,-1,-1,0,0
2023-08-03,16.78,16.94,16.5,16.84,-1,-1,0,0
2023-08-04,16.84,16.84,16.5,16.78,-1,-1,0,0
2023-08-07,16.78,17.18,16.66,17.0,-1,-1,0,0
2023-08-08,16.9,17.0,16.5,16.72,-1,-1,0,0
2023-08-09,17.0,17.44,17.0,17.4,-1,-1,0,0
2023-08-10,17.4,18.98,17.2,18.78,-1,-1,0,0
2023-08-11,18.56,21.6,18.56,20.0,-1,-1,0,0
2023-08-14,20.5,21.9,20.3,21.0,-1,-1,0,0
2023-08-16,21.05,21.25,19.1,19.6,-1,-1,0,0
2023-08-17,19.28,19.78,18.3,18.6,-1,-1,0,0
2023-08-18,18.6,19.46,18.2,19.36,-1,-1,0,0
2023-08-21,19.62,19.62,19.0,19.08,-1,-1,0,0
2023-08-22,18.9,19.48,18.5,19.48,-1,-1,0,0
2023-08-23,19.48,19.8,18.9,19.5,-1,-1,0,0
2023-08-24,19.5,19.5,18.5,18.98,-1,-1,0,0
2023-08-25,18.72,18.94,18.62,18.94,-1,-1,0,0
2023-08-28,18.94,19.9,18.94,19.88,-1,-1,0,0
2023-08-29,19.86,19.88,19.22,19.58,-1,-1,0,0
