Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-04-03,20.9,22.5,20.8,22.0,-1,-1,0,0
2023-04-04,22.2,23.4,20.3,20.6,-1,-1,0,0
2023-04-05,20.6,21.3,20.6,20.8,-1,-1,0,0
2023-04-06,21.0,21.2,20.6,20.9,-1,-1,0,0
2023-04-11,20.9,21.1,20.6,20.7,-1,-1,0,0
2023-04-12,20.8,21.1,20.7,20.8,-1,-1,0,0
2023-04-13,21.1,21.2,20.9,20.9,-1,-1,0,0
2023-04-14,21.1,21.3,20.8,20.9,-1,-1,0,0
2023-04-17,21.0,21.2,20.9,20.9,-1,-1,0,0
2023-04-18,21.0,21.1,20.6,20.8,-1,-1,0,0
2023-04-19,20.8,22.0,20.6,22.0,-1,-1,0,0
2023-04-20,23.2,25.1,22.65,24.85,-1,-1,0,0
2023-04-21,25.0,26.25,24.05,25.5,-1,-1,0,0
2023-04-24,25.7,29.55,25.7,29.1,-1,-1,0,0
2023-04-25,29.9,30.9,27.75,28.0,-1,-1,0,0
2023-04-26,28.0,29.4,26.8,29.4,-1,-1,0,0
2023-04-27,30.0,30.0,26.65,27.0,-1,-1,0,0
2023-04-28,26.5,27.75,25.6,27.5,-1,-1,0,0
2023-05-02,27.7,27.7,26.7,26.7,-1,-1,0,0
2023-05-04,26.8,27.1,25.7,26.0,-1,-1,0,0
2023-05-05,25.7,25.9,24.1,24.45,-1,-1,0,0
2023-05-08,24.45,25.7,23.75,25.2,-1,-1,0,0
2023-05-09,25.35,25.4,24.25,24.75,-1,-1,0,0
2023-05-10,24.6,25.2,24.25,24.9,-1,-1,0,0
2023-05-11,24.6,27.45,24.6,26.8,-1,-1,0,0
2023-05-12,27.0,28.5,26.4,28.2,-1,-1,0,0
