Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-07-10,7.14,7.14,7.0,7.04,-1,-1,0,0
2023-07-11,7.0,7.02,7.0,7.02,-1,-1,0,0
2023-07-12,7.0,7.02,6.9,7.02,-1,-1,0,0
2023-07-13,7.0,7.0,6.76,6.96,-1,-1,0,0
2023-07-14,7.0,7.64,7.0,7.6,-1,-1,0,0
2023-07-17,7.68,7.98,7.62,7.9,-1,-1,0,0
2023-07-18,7.96,7.98,7.68,7.88,-1,-1,0,0
2023-07-19,7.98,7.98,7.54,7.74,-1,-1,0,0
2023-07-20,7.94,8.02,7.84,8.02,-1,-1,0,0
2023-07-21,8.1,9.78,7.88,9.64,-1,-1,0,0
2023-07-24,9.78,10.45,9.1,9.56,-1,-1,0,0
2023-07-25,9.56,10.2,9.56,9.7,-1,-1,0,0
2023-07-26,9.78,9.78,9.3,9.5,-1,-1,0,0
2023-07-27,9.52,9.98,9.52,9.76,-1,-1,0,0
2023-07-28,9.7,10.0,9.7,10.0,-1,-1,0,0
2023-07-31,10.2,12.2,10.2,12.05,-1,-1,0,0
2023-08-01,12.35,12.7,11.2,11.65,-1,-1,0,0
2023-08-02,11.4,11.75,10.75,11.15,-1,-1,0,0
2023-08-03,11.0,11.75,10.7,11.6,-1,-1,0,0
2023-08-04,11.55,11.85,10.9,10.9,-1,-1,0,0
